@relation 'arff_arc.csv-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-9'

@attribute 0.328rfc... numeric
@attribute 0.458ic... numeric
@attribute 0.529mfa... numeric
@attribute 0.477ca... numeric
@attribute '0.6  avg_cc...' numeric
@attribute -0.685noc... numeric
@attribute 0.544noc... numeric
@attribute 0.551cam... numeric
@attribute class {buggy,clean}

@data
0.512068,0.5452,-0.439287,-1.469689,-0.387734,-0.676896,-0.48454,-0.354611,clean
0.120005,0.546446,-1.067243,-0.90165,0.005231,-0.51818,-0.378718,1.098835,clean
0.636601,-2.975437,0.12603,5.672098,1.933432,-3.258741,-3.093292,-3.543955,clean
-2.394831,-0.982826,-0.664979,-0.263934,0.734609,0.52846,0.200443,0.729155,clean
-2.97957,-1.490562,2.428719,1.330312,-0.979862,0.051083,-0.421741,0.236952,clean
-0.922572,0.441288,-1.258351,-0.84485,-0.672764,-0.784513,-0.460974,0.104013,clean
-1.303477,-1.005847,-1.140691,-0.079264,0.557906,0.680736,0.668303,-0.13515,clean
1.628492,2.536032,-0.872752,0.961624,-0.021169,0.557677,0.626614,0.125234,clean
2.372268,-0.426331,-1.612746,0.151271,-0.338535,0.380018,-0.251573,3.037482,clean
1.063927,2.745807,-0.512973,0.37624,-0.607871,0.259421,0.515996,-0.16668,clean
-1.232339,0.003529,-0.059936,-1.202757,1.92871,0.692019,0.565575,-0.107121,clean
1.18965,2.758752,-0.690402,0.949562,0.310341,0.032531,0.208051,-0.297886,clean
0.875426,-0.136312,-0.476655,-0.722533,0.245073,-1.473204,-0.466551,-0.436544,clean
-2.621018,-1.185695,2.505838,0.648456,-0.166404,0.155872,-0.429895,0.448909,clean
1.159429,0.102204,-0.495353,-1.198645,-0.498781,-0.638879,-0.154182,0.178591,clean
-3.497334,-1.463956,2.233938,1.012232,-0.799587,0.033399,-0.50487,0.631341,clean
-1.284532,-1.217429,-1.502587,0.822447,1.127475,0.450216,-0.188961,-0.902798,clean
0.844366,2.927369,-0.58925,0.75709,0.472358,0.018661,0.22043,-0.15516,clean
0.422154,3.042902,-0.644137,0.642789,0.46225,-0.137505,0.407382,0.042378,clean
0.415498,1.584752,1.854787,0.936388,-2.554684,1.544158,0.244015,-1.871775,clean
1.145742,-0.18639,4.635715,-0.95096,3.912652,0.658453,-0.478933,-0.502945,clean
-3.570416,-1.383273,2.155807,1.09398,-0.775482,0.02664,-0.605036,0.669472,clean
1.827854,-0.125761,-0.364531,-1.439362,-1.309273,-0.368069,-0.20375,-0.377247,clean
-3.497334,-1.463956,2.233938,1.012232,-0.799587,0.033399,-0.50487,0.631341,clean
-2.733721,-0.8344,-0.640174,-0.352364,0.777529,0.443461,0.171063,0.563863,clean
1.276908,3.454597,-0.056584,0.113117,1.062761,0.235701,0.199581,0.053952,clean
-2.290114,-0.770331,-0.827099,-0.388324,0.687973,0.465987,0.479137,-0.092674,clean
1.98425,1.492264,0.770815,-2.35575,2.230888,-0.38798,-0.753364,-0.486414,clean
1.697231,-0.616705,-1.367589,0.10442,-0.68152,-0.213056,-0.846612,0.237649,clean
-2.63697,-0.904408,-0.524825,-0.455898,0.756218,0.443056,0.25894,0.509709,clean
2.075187,0.210141,-0.943161,-0.560304,0.178533,-0.148009,-0.717488,0.241632,clean
-1.137165,-0.986866,-1.259386,-0.007977,0.578483,0.662906,0.712673,-0.501383,clean
-0.658221,-0.912219,3.197233,0.047374,1.350245,0.410156,-0.200075,-0.331579,clean
-1.837243,1.038337,1.398216,2.038459,-0.315019,0.842058,0.996861,-0.631694,clean
-0.123077,2.901691,1.524354,0.833668,-0.339793,-0.575917,0.020609,-0.0704,clean
11.283176,-3.842887,-4.982372,11.287513,2.024549,2.345581,-4.626405,-0.575748,clean
4.98546,-1.282071,0.347298,-1.404133,-0.8844,0.684155,0.024369,-0.719566,clean
2.102839,-2.852098,-2.613367,3.160529,1.320334,1.199322,-0.780041,-0.245253,clean
-0.630208,2.89612,1.118798,1.048928,-0.738275,-0.58084,0.076144,0.128882,clean
0.601954,3.629061,3.389568,1.192958,-1.589214,-0.585562,0.371075,-0.783761,clean
-0.912298,-1.089284,-1.286221,0.047464,0.47253,0.799836,0.767178,-0.033462,clean
2.446988,1.808274,-1.273849,2.072098,0.213156,0.506643,-0.20075,-0.996299,clean
-2.136584,-0.724148,-0.811516,-0.57221,0.233213,0.480888,0.787622,-0.274896,clean
-2.18289,-0.618785,-0.672481,-0.607787,0.147575,0.387639,0.629858,-0.430182,clean
-2.528328,-0.964734,-0.650987,-0.230256,0.832498,0.446039,0.104077,0.481991,clean
-0.073134,2.89546,1.539694,0.876315,-0.300807,-0.595035,-0.052888,-0.135457,clean
1.862531,2.339089,-1.213008,1.466163,0.040953,0.553457,0.707872,1.121122,clean
-2.256021,-0.740804,-1.392528,-0.305811,-0.433539,0.272618,1.11361,-1.72758,clean
1.113043,4.515938,1.423323,2.766516,1.243525,1.643184,1.877538,0.710672,clean
-1.903567,-0.766286,-1.112167,-0.167486,0.68722,0.503436,0.523924,-0.46804,clean
-2.42065,-0.527165,-0.812713,-0.594294,-0.919762,-0.274326,-0.276474,0.649038,clean
-2.038844,-0.771605,-0.730933,-0.598418,0.25297,0.464889,0.78013,-0.36116,clean
-3.497334,-1.463956,2.233938,1.012232,-0.799587,0.033399,-0.50487,0.631341,clean
-2.279427,-0.898997,-0.849717,-0.200684,0.636181,0.6157,0.281327,0.873142,clean
-1.298133,-1.208582,3.578169,0.077029,0.808532,0.139071,-0.579535,-0.114924,clean
-0.630663,-1.258048,-1.163945,-0.008291,0.447124,0.831613,0.869676,-0.071907,clean
1.186196,2.92171,-0.504164,0.395317,-0.032817,0.140339,0.708973,0.260357,clean
-2.390446,-1.222726,2.791705,0.51495,-0.259378,0.042191,-0.426854,-0.06548,clean
-2.498158,1.031691,1.447718,1.979446,-0.567006,0.874865,1.087302,-0.015945,clean
-2.158176,-0.863363,-1.058924,0.036725,0.860813,0.442497,0.160253,-0.222718,clean
-0.164641,0.219154,-0.181481,-1.229416,0.082776,-0.704351,-0.344479,-0.542323,clean
-1.965129,-0.908725,-0.922078,-0.18234,0.778396,0.451491,0.405789,-0.425705,clean
-1.970177,1.492186,1.804197,1.686542,0.610401,1.001297,0.870336,0.077291,clean
-0.64641,0.429452,-0.995949,-0.960869,-0.718038,-1.08911,-0.563066,0.388744,clean
-2.646507,-0.86343,-0.661553,-0.323961,0.757238,0.473926,0.179867,0.640532,clean
-0.566454,0.784317,-1.02414,-1.077936,-0.086131,-0.8392,-0.428824,0.438318,clean
6.147659,-1.859363,0.347666,-1.200058,-1.183183,1.15379,0.207863,-0.382996,clean
3.355982,1.612555,-1.366487,1.74815,-0.849403,1.361364,0.69941,0.820312,clean
6.531733,-1.409323,1.112526,-1.82749,-0.233656,0.936939,0.10565,-0.585079,clean
4.89335,0.430503,1.360214,-2.069362,3.167353,-0.233794,-0.890651,-0.06017,clean
1.485112,2.201436,2.15313,-3.013529,7.053236,1.312484,-0.188866,0.370862,clean
1.818987,0.306308,0.571479,-2.081872,-1.302451,-0.862905,-0.726848,-0.838548,clean
0.566017,2.905067,-0.663261,0.659757,0.216477,0.003765,0.41459,-0.135834,clean
4.114263,1.106512,-1.671796,2.594351,-0.518318,1.767508,0.460447,1.22166,clean
-0.12032,0.885259,-0.82681,-1.208669,-0.149543,-1.034223,-0.610207,0.246253,clean
-2.378005,-1.217646,2.810662,0.50377,-0.258236,0.038758,-0.432806,-0.073327,clean
-1.517272,0.260677,-0.968489,-0.895568,-0.78913,-0.85127,-0.601549,0.375387,clean
-2.431338,-0.812291,-0.826741,-0.280288,0.665926,0.54788,0.3031,0.622586,clean
0.892534,-0.21195,-1.824618,0.090714,-0.671746,-0.259502,-0.390615,1.489812,clean
-2.510889,-0.938071,-0.715218,-0.196411,0.794214,0.486946,0.108498,0.631619,clean
2.485255,-1.809531,4.167633,-0.526565,1.337911,0.711269,0.127633,-0.597478,clean
3.598049,-0.619746,0.107479,-1.585195,-1.533843,-0.307945,-0.117658,0.508402,clean
-0.610881,0.301153,-1.04066,-0.996583,-0.892029,-0.963384,-0.414159,-0.22676,clean
-1.876653,-1.655667,3.052441,0.509254,-0.147026,-0.011658,-0.367864,-0.531722,clean
0.66864,0.0719,-0.74167,-1.197692,-1.031429,-0.640168,-0.272699,-0.330312,clean
-2.000115,-0.735793,-1.094871,-0.211019,0.613453,0.564449,0.533646,-0.06107,clean
-2.3742,-0.6395,-1.403094,-0.399516,-0.508799,0.300505,1.1894,-1.56904,clean
1.674487,2.446107,-0.922146,0.917656,-0.337852,0.560857,0.770413,0.202262,clean
0.427999,1.240577,-0.503578,-1.260394,1.428732,-0.85863,-0.880338,-0.185201,clean
-1.478057,-1.019506,-0.960308,-0.205168,0.661846,0.552166,0.632883,-0.491493,clean
0.738779,0.904731,0.007153,-1.578364,1.159626,-0.86421,-0.928101,-0.348276,clean
-0.856572,0.243288,-0.184041,-1.326777,-0.352996,-0.706172,-0.225384,-0.328977,clean
1.260438,-0.390545,-2.03516,0.445087,-0.605143,-0.1842,-0.493415,1.442232,clean
-2.733721,-0.8344,-0.640174,-0.352364,0.777529,0.443461,0.171063,0.563863,clean
-3.532392,-1.249649,1.708196,0.768916,-0.772234,0.112115,-0.369587,0.701439,clean
-0.557618,0.842487,-1.249599,-0.827135,-0.72182,-1.629101,-1.142093,0.20431,clean
0.863787,0.243788,-1.19631,-0.612175,-0.057004,-0.212475,-0.337641,1.774399,clean
