@relation 'arff_velocity-1.4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.377wmc... numeric
@attribute '0.46 ic...' numeric
@attribute 0.409max_cc... numeric
@attribute -0.59lcom3... numeric
@attribute 0.516noc... numeric
@attribute 0.673amc... numeric
@attribute -0.441cam... numeric
@attribute -0.616noc... numeric
@attribute '0.44 cbm...' numeric
@attribute class {buggy,clean}

@data
-2.617865,-0.131597,0.225251,-1.154539,-0.001331,-0.807955,-1.187355,-0.698374,-1.625307,clean
-1.472947,3.989858,-1.220612,1.111338,0.35697,-0.822096,-0.008939,0.477473,0.430213,clean
18.133103,2.910687,-0.019627,-3.87569,1.374272,1.388594,-7.199789,-0.319321,0.923501,clean
0.29729,3.669887,-1.223684,0.506535,-0.410074,0.252384,0.617636,0.578572,1.044485,clean
5.294882,-2.506396,-4.398615,-2.655798,-2.117874,0.439608,1.32248,1.990492,-0.209513,clean
-1.570157,3.710889,-0.966571,-0.194261,0.174753,-0.195788,0.047849,0.042681,0.286722,clean
11.770515,4.030771,11.426275,-5.398149,2.401193,-2.461697,0.909317,0.906219,-1.094709,clean
-0.930858,3.896083,-0.649287,0.336229,-0.282518,0.13437,0.609061,-0.158982,0.458756,clean
-1.722304,4.242319,-1.066041,-0.276681,0.151885,-0.218033,0.220076,-0.034759,0.800635,clean
-0.818178,0.246452,0.058726,-0.276804,-0.356532,-0.149303,-0.320464,0.034726,-1.333223,clean
3.825056,-1.537548,-0.175464,-0.256123,-3.912043,-2.117042,2.245779,-1.092945,-0.267365,clean
0.221967,5.698039,-1.732041,0.440765,0.782107,1.666106,-0.709141,-1.48457,1.71485,clean
0.199878,5.381488,2.055059,-0.717075,1.257227,1.002695,2.064842,0.451517,-0.286253,clean
-1.710645,0.97698,0.154752,0.924946,0.343165,-0.789492,-0.362362,0.00182,-0.491359,clean
1.311809,-0.203357,0.577445,1.26753,-0.265089,1.785766,-0.286567,0.241222,-0.864513,clean
-1.471484,3.910919,-0.538848,-0.236706,0.266665,0.090712,0.339576,-0.063615,0.077777,clean
-1.484824,1.548636,0.292242,1.410763,0.502983,-1.014328,-0.048485,0.281784,-0.667605,clean
-0.930858,3.896083,-0.649287,0.336229,-0.282518,0.13437,0.609061,-0.158982,0.458756,clean
-1.196989,2.110004,-0.378131,-1.461728,-0.66704,0.822945,0.216121,-0.607466,0.050368,clean
-1.499578,3.482817,-0.936283,1.277653,0.335493,-0.839037,0.033598,0.385706,0.818231,clean
-1.555096,3.723176,-0.901615,-0.179987,0.141776,-0.220134,0.099716,-0.013783,0.280656,clean
-0.563701,0.005226,-0.214003,1.76164,0.188259,-0.677906,-0.238051,0.769631,-0.93087,clean
-1.877539,-1.979548,1.0456,-0.698838,0.067965,-0.840539,-0.957561,-0.632857,0.244774,clean
-1.92116,3.506709,-0.376423,-0.114173,0.494505,-1.365718,0.283168,0.131127,0.747127,clean
-2.351545,2.960773,-1.018142,-1.548713,-0.586063,-0.288526,0.433,-0.549296,1.192477,clean
-0.559284,-0.231062,2.339491,-0.108891,-0.35687,6.402483,2.332105,-1.208622,-2.248887,clean
-2.238987,-1.14698,0.559864,-0.972169,0.09385,-1.068509,-1.097463,-0.532226,-0.528785,clean
-1.921618,-2.044919,0.875445,-0.709765,0.311201,-0.799638,-0.879763,-0.764576,0.183201,clean
0.284503,-0.750655,0.527502,2.656597,0.644042,0.456498,-0.841678,-0.278409,0.155107,clean
-0.782068,-1.001027,1.589916,-0.067515,-0.493352,4.310638,1.733765,-0.792513,-0.97734,clean
-1.876193,1.750247,-0.733857,-1.486102,-0.406291,-0.185565,-0.311946,-0.420423,0.406315,clean
7.315413,0.781829,-0.683625,-0.149893,-4.832678,-3.915872,3.051139,-1.387118,-1.939816,clean
1.006538,-0.128962,0.326507,-0.964501,-0.509017,5.02052,-0.392237,-0.395465,-2.189359,clean
-0.776745,1.308323,1.410833,-0.878063,0.369769,-0.730948,0.857882,0.165108,-0.100556,clean
-0.016151,-2.242322,-0.310886,-0.477757,1.212353,0.32751,-0.396416,0.286569,1.109192,clean
0.019052,-0.866959,1.296368,1.988495,0.270301,-0.243274,0.076876,0.401611,0.208381,clean
-0.716452,0.285501,0.362008,1.550055,0.283806,-0.326987,-0.244856,0.487698,-1.205859,clean
-1.756475,3.330282,-0.825704,-1.846335,-0.309151,0.466318,0.05593,-0.521051,0.326864,clean
-1.458141,3.491995,-0.713203,-0.979952,-0.202956,-0.329411,0.47336,-0.028211,0.963361,clean
-0.996717,1.103091,0.351041,-0.428926,-0.104417,0.775992,0.003454,-0.098913,-2.289679,clean
-1.131041,-2.2919,0.281129,-0.049052,-0.625856,0.94418,0.788986,-0.016318,1.089921,clean
-0.657058,3.50215,-0.773579,1.166728,0.208051,-0.322074,0.484036,0.067391,1.460234,clean
0.188409,-0.023176,-2.002666,0.461425,4.215384,-1.456263,1.187307,-1.753326,-2.332562,clean
0.570798,2.022873,1.567259,-0.331739,1.796864,0.288426,1.516383,0.591965,-0.470665,clean
-2.060607,2.949469,-0.707925,0.020526,0.187369,-1.182998,0.107008,0.03713,0.484407,clean
-1.70738,3.516275,-0.260817,-1.933225,-0.082284,0.637978,0.438696,-0.529133,0.201099,clean
-1.92116,3.506709,-0.376423,-0.114173,0.494505,-1.365718,0.283168,0.131127,0.747127,clean
-0.356336,3.584297,-1.05954,0.89692,0.053695,0.057802,0.247032,0.045002,1.293353,clean
-0.591511,-2.037463,0.679798,-0.623971,-0.748974,-0.651875,0.024893,-0.495609,0.619769,clean
-0.219824,-2.771961,-1.179051,-1.822235,1.502448,0.081815,0.046919,1.729119,0.652891,buggy
-1.801234,-0.73799,0.147549,-0.775015,-0.543031,-0.364651,-0.436057,-0.422591,-0.63699,buggy
-0.327262,-0.914236,0.924789,2.470757,0.508618,-0.234205,0.060532,0.21443,-0.119019,buggy
-1.238904,0.564307,-0.681311,-1.169968,-0.615332,0.270367,0.067733,-0.165771,0.551067,buggy
