@relation 'arff_camel-1.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.379rfc... numeric
@attribute -0.436mfa... numeric
@attribute -0.472cbo... numeric
@attribute 0.418ca... numeric
@attribute '0.47 moa...' numeric
@attribute -0.404dit... numeric
@attribute 0.768noc... numeric
@attribute 0.464moa... numeric
@attribute -0.636moa... numeric
@attribute class {buggy,clean}

@data
-1.86597,0.585445,-0.08215,-0.313247,-1.280676,0.030843,-0.560282,1.067139,0.340625,clean
0.912467,-1.703738,-0.339974,2.193536,-2.184647,1.621206,-0.65673,2.55606,1.431827,clean
-2.140521,-0.752019,-0.022695,0.352633,-2.071116,0.352153,0.007426,1.152731,-0.018806,clean
2.792806,0.991179,-0.299935,-1.42121,1.052732,-0.095911,0.195714,-1.110569,0.590276,clean
-1.18368,-0.811726,-0.068262,0.45138,-2.003859,0.571554,-0.266149,1.343632,0.680086,clean
-0.123146,-1.96927,-0.454811,0.029014,-0.580879,-0.070656,-0.113115,-0.455647,0.401945,clean
8.904011,0.700514,6.851595,6.722185,-0.648356,-1.228688,-0.665361,1.645545,1.009644,clean
-0.580194,3.971426,-4.110551,2.247764,-0.252966,-0.090652,-0.857563,-0.873669,-0.059136,buggy
-1.676323,0.195151,0.323901,-1.047217,1.695643,-0.131398,0.178072,-1.332616,-0.543494,clean
0.16718,-1.98322,-0.53096,0.395976,-0.280342,0.233966,-0.589072,0.177823,0.985841,clean
4.333019,-0.202934,-0.842002,-0.398919,0.423781,0.619424,-0.392457,0.50558,-1.265283,clean
-2.07243,-1.698083,0.155664,-0.489918,-0.750352,-2.067766,-0.895389,-0.057515,0.05394,clean
1.171029,-1.326285,1.064796,0.965579,0.466676,0.084562,0.056622,-0.472594,-0.173938,clean
-3.05418,-0.673528,-0.528488,-0.920602,-2.215884,-1.386018,-0.992731,1.394972,0.039774,clean
-0.267923,0.64594,1.360147,-0.324892,0.794658,-0.340956,-0.076513,-0.914235,1.249397,clean
3.015837,-0.88359,-1.366095,-0.290294,0.602464,1.067694,-0.648581,0.515864,-0.064474,clean
-0.049576,0.119724,0.316573,-0.051278,0.49712,-0.551655,-0.427983,-0.815246,0.684245,clean
-0.986528,0.144167,-0.007997,-0.901243,1.928905,0.162753,-0.205056,-1.091389,0.136362,clean
-2.269102,2.161023,-1.943224,0.153755,0.209676,1.285473,-0.544615,0.010523,1.224167,clean
-1.44207,-1.304829,0.005146,-0.73043,1.051431,-0.952011,-0.712871,-0.38541,-0.336826,clean
0.885165,-1.439355,-0.090533,0.144708,-0.430633,-0.020685,0.11898,-0.87412,0.122247,clean
-1.850963,-2.492821,0.251161,-0.43923,-0.404216,-2.644948,-1.085131,-0.52599,0.073957,clean
2.016169,-4.345634,-1.248945,1.637718,-2.412333,2.901656,2.56815,-1.966858,-0.646804,clean
-2.461492,1.486955,-0.362211,-1.245421,-0.102217,1.686242,0.01207,0.258546,1.282624,clean
0.748309,-0.75062,-1.254723,0.541185,0.561639,-1.100184,2.958302,0.310118,0.962752,clean
1.027139,-0.064759,-0.421291,-0.408829,0.347243,-0.700376,-0.878435,-0.118988,0.225864,clean
-1.82835,-0.919925,-0.47977,0.190111,-2.019172,0.551646,-0.217759,1.286828,0.290803,clean
2.265318,-3.828126,-0.711956,1.993063,-2.395735,2.474161,2.189388,-1.491342,-0.69695,clean
-1.357438,0.691844,0.252808,-0.703738,0.990199,0.105424,0.279268,-1.521136,0.382862,clean
1.465716,-1.566337,-0.371239,0.028541,0.345826,0.448182,-0.43513,0.490346,-0.535655,clean
