@relation 'arff_tomcat-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R8,21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-11'

@attribute 0.375rfc... numeric
@attribute -0.491ic... numeric
@attribute 0.432avg_cc... numeric
@attribute 0.478lcom3... numeric
@attribute -0.413ca... numeric
@attribute -0.688noc... numeric
@attribute 0.546amc... numeric
@attribute -0.532amc... numeric
@attribute 0.774moa... numeric
@attribute -0.788cam... numeric
@attribute class {buggy,clean}

@data
-0.448337,0.847518,0.229315,-0.913281,1.11552,0.08434,0.183918,0.058906,0.567997,0.060932,clean
-2.104905,-2.324945,-1.490987,1.04385,-1.214635,0.556043,-0.669195,-0.037716,0.052958,0.617285,clean
7.640475,3.151972,-3.028949,-2.932535,-0.769603,4.632327,-0.45154,-0.635641,6.645111,0.581478,clean
-2.511153,-1.781703,-1.90858,0.697611,-0.899617,0.877128,-1.775237,-0.995773,-0.522105,0.838994,clean
-1.986743,-0.363287,-0.689341,0.837448,-0.80225,0.726197,-0.608619,-0.358129,-0.395681,-0.442466,clean
-2.375886,1.322347,-0.646529,1.45251,-0.035437,-0.213703,-0.061685,0.081512,0.391663,-1.069799,clean
-0.103264,-1.949444,0.31811,-1.035003,0.707759,-0.185429,-0.078659,0.438592,-0.316242,0.742197,clean
-2.083013,-0.381835,-0.743344,0.817848,-0.634564,0.65296,-0.805605,-0.234332,-0.345212,-0.491096,clean
-1.950628,-0.996804,-0.490789,-0.509469,0.252569,1.080546,-0.37865,-0.909541,-0.40147,-1.51719,clean
-0.296665,-0.404532,0.645461,-0.72094,0.974117,0.12336,-0.221028,-0.303545,-0.720204,0.423343,clean
-1.779054,-2.636124,-1.506953,0.94242,-1.016132,0.409707,-1.242997,0.268852,-0.20648,1.324502,clean
-1.710487,1.253936,-0.483623,0.466386,0.681872,-0.796393,0.03846,0.68051,0.427495,2.162341,clean
-0.069089,-3.625057,-0.063495,-0.662105,0.093254,-0.532651,1.111685,0.708565,0.402621,-0.213506,clean
-0.91079,-1.90351,0.090807,-1.477817,0.72856,0.198027,0.590251,0.07004,-0.035087,-0.538577,clean
-0.95233,1.43604,-0.751307,0.877148,0.367148,-0.643533,-0.122717,0.69148,-0.023307,1.212998,clean
-2.495681,1.321635,-0.891233,1.215081,-0.11102,-0.504401,-0.070167,-0.28368,0.5443,-1.032407,clean
2.950108,-2.460345,0.835261,0.597461,-0.854412,-0.256102,0.384991,0.597493,0.500218,0.322782,clean
-2.694623,1.263469,-1.048574,1.288245,0.184381,-0.095301,0.217512,-0.202028,0.61444,-0.919019,clean
-2.100717,-2.324657,-1.503342,1.038617,-1.203887,0.553076,-0.688716,-0.021094,0.058007,0.611421,clean
2.189507,-0.164617,0.324891,-0.050642,0.878872,0.44186,-0.778664,-0.533796,-0.338685,0.828776,clean
-0.806576,0.550733,0.57307,-1.267742,1.298672,-0.0484,0.535463,0.044146,-0.275914,-0.8274,clean
-0.002233,0.549452,1.360391,-0.736636,1.047432,-0.321533,0.269155,0.080995,-0.464863,0.004428,clean
3.113063,-3.153718,0.52528,0.516812,-0.340763,-0.343889,-0.468093,0.841183,0.769325,0.31745,clean
-1.014207,0.604563,0.612765,-0.896013,1.394171,-0.10973,0.255374,-0.074807,0.259679,-0.378659,clean
-1.658763,-0.7775,-0.264305,-0.546683,0.20733,0.74669,-0.25636,-0.366843,-0.513575,-0.209333,clean
-2.495681,1.321635,-0.891233,1.215081,-0.11102,-0.504401,-0.070167,-0.28368,0.5443,-1.032407,clean
-1.583194,1.350254,-0.641052,0.293894,0.441227,-0.685398,0.166381,0.801998,0.369756,2.128514,clean
0.69624,0.830446,0.538991,-1.391084,0.674991,0.65117,0.752579,-0.302766,0.784236,0.22841,clean
-2.604311,-2.822029,-1.848358,1.291503,-1.361062,0.930124,-1.122415,-0.332147,0.009806,-0.315887,clean
-0.532311,0.761882,0.374359,-0.589456,0.838212,-0.077078,0.624191,0.005597,-0.124864,0.029106,clean
-1.59657,1.037602,-0.194004,0.243946,0.574521,-0.184986,0.269855,0.18807,0.040957,-0.688404,clean
-0.544924,1.052835,0.150867,0.134281,0.814049,-0.341972,0.069668,0.299312,0.200006,0.710305,clean
-0.986826,1.201462,-0.32134,0.192928,0.592779,-0.48367,0.105041,0.629678,-0.079012,0.715927,clean
3.900252,-3.380489,-1.157395,0.344457,-0.550402,-1.27677,1.433547,1.938578,0.164171,-0.137644,clean
-1.002995,-1.116403,0.592378,-1.562318,0.804273,0.62931,-0.365796,-0.284763,-0.84761,-0.249056,clean
