@relation 'arff_poi-1.5-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.372rfc... numeric
@attribute -0.392ic... numeric
@attribute -0.428ca... numeric
@attribute 0.432cbo... numeric
@attribute 0.581dam... numeric
@attribute 0.467cam... numeric
@attribute 0.716cam... numeric
@attribute 0.694amc... numeric
@attribute 0.476moa... numeric
@attribute class {buggy,clean}

@data
-0.087656,-0.965846,0.100214,-0.103331,0.772829,0.258389,-0.225582,0.018372,0.365252,clean
-0.965529,-1.365297,0.533907,0.813687,-0.218078,-0.280609,0.395123,-0.181991,-0.251511,clean
-0.672757,-1.35225,0.728292,0.782038,0.214379,-0.386514,0.064811,-0.106152,-0.071319,clean
-0.967775,-1.366458,0.532524,0.813559,-0.217943,-0.281906,0.395188,-0.185928,-0.249894,clean
0.470137,1.725937,-0.021935,-1.265808,1.483501,-0.027234,-0.87807,0.160383,0.106465,clean
-2.067758,0.744687,-0.562782,-0.025282,-1.870928,0.377197,-0.986412,0.201494,0.033642,clean
-2.99321,2.031399,-1.155604,-0.954361,-1.762675,0.410183,1.873577,-0.842483,-0.296909,clean
-0.040633,1.676237,0.044002,-1.246214,1.434185,0.721061,0.364196,-0.364529,0.445893,clean
-0.882395,2.654928,0.598182,-1.33617,-1.371705,-0.976174,-0.279103,1.292238,0.330369,clean
-2.805056,1.88995,-1.320264,-0.988616,-1.763736,0.356105,1.878904,-0.883597,-0.260073,clean
-2.979441,2.06127,-1.207682,-0.891201,-1.752781,0.407492,1.860362,-0.861591,-0.270601,clean
0.326692,1.321898,1.669284,-0.550637,1.900346,-0.019722,1.174901,0.323593,0.744524,clean
-0.808018,1.98172,0.356279,-1.101642,0.371004,-0.16719,0.060129,-0.055367,0.08201,clean
-0.919396,-1.306961,0.648712,0.783034,-0.511137,-0.808889,0.052598,0.061276,-0.076043,clean
-0.965529,-1.365297,0.533907,0.813687,-0.218078,-0.280609,0.395123,-0.181991,-0.251511,clean
-2.351673,1.312705,-0.8545,-2.136495,-0.455604,-1.848214,-2.08441,0.537278,0.265923,clean
3.533971,-2.602681,-0.926621,-0.858075,0.321448,-0.067117,0.355703,0.607882,0.664892,clean
0.847418,1.230351,0.973664,-0.200502,2.110857,-0.400725,0.357078,0.215196,0.639318,clean
-0.886586,1.343049,-0.424735,-1.523118,1.64989,0.380167,-0.142882,-0.385304,0.586831,clean
-0.726228,1.593997,0.003472,-1.194494,2.126662,0.41546,-0.386801,-0.586879,0.183528,clean
-0.65377,-0.020843,1.163859,0.437914,0.979891,0.878347,-0.268859,0.65459,0.382821,clean
