@relation 'arff_skarbonka-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3,21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-8'

@attribute 0.345rfc... numeric
@attribute 0.448ic... numeric
@attribute 0.407mfa... numeric
@attribute 0.418ca... numeric
@attribute '0.49 cbo...' numeric
@attribute '0.49 moa...' numeric
@attribute -0.428amc... numeric
@attribute class {buggy,clean}

@data
-1.405878,0.921123,-1.724562,0.622507,0.532806,0.760271,-0.013429,buggy
-3.259247,0.140006,-0.601499,0.012797,-0.341035,-0.584355,0.111174,clean
2.95027,-2.433669,0.986558,1.008808,0.685657,-0.229077,0.137202,clean
-3.336928,0.231501,-0.83884,-0.088689,-0.658726,-0.317675,-0.033842,clean
-0.299741,-0.826035,0.088896,-1.377279,1.007231,0.621985,0.849732,clean
-3.77369,-0.18691,-0.654436,-0.099818,-0.40297,0.020872,-0.473812,clean
1.997647,-1.285162,0.542257,1.123113,-0.573,1.043667,0.236016,clean
-2.413593,0.011435,-1.0795,-0.115186,-0.244555,-0.414094,-0.71567,clean
-3.203301,0.336368,-0.612363,0.194014,-0.316519,-0.58789,0.159034,clean
-3.008218,-0.509754,1.112134,1.732455,-0.660805,-0.402374,-0.066204,clean
1.410123,-1.714861,1.615671,0.353868,-0.890105,0.585041,0.869944,clean
0.551073,3.915259,5.585482,2.289162,3.331826,-1.7998,1.010715,clean
-2.65429,0.437372,-0.778676,0.27274,0.11907,-0.242087,0.205837,clean
1.02965,-0.281912,0.099086,-3.037966,-1.123516,-0.740665,1.699674,clean
-2.979707,-0.507884,1.277808,1.862924,-0.512543,-0.578965,0.032027,clean
-2.824243,0.126133,-1.013484,-0.122796,-0.088336,0.355889,-0.279519,clean
1.562167,-2.993333,0.414819,-2.499215,2.42022,-2.037277,-0.8669,clean
-3.046521,-0.560317,1.164569,1.721572,-0.683646,-0.443857,-0.06441,clean
3.136187,-1.028626,-1.326345,-0.100932,2.652779,0.675691,0.316001,clean
-0.528005,-1.148391,-0.454805,-1.255504,0.825788,-0.471422,0.247044,clean
6.56185,-0.344864,-1.216513,2.583796,-1.997024,-0.480514,-0.434975,clean
-0.869701,-0.850797,-0.820515,-0.685799,0.695172,-1.309426,-1.890834,clean
1.375099,3.784481,0.408234,-1.589035,0.214071,1.455463,-0.271413,clean
-3.147206,-0.608101,0.884039,1.45817,-1.004586,-0.12255,-0.247712,clean
-0.990819,-0.850826,-0.327148,-1.741414,-0.122269,-0.25728,0.327997,clean
3.509342,-2.535472,0.789802,0.508303,-0.096458,-1.029623,-0.926425,clean
-2.562546,0.175642,-0.741235,0.095072,0.296335,-0.261784,0.192789,clean
-0.571769,3.007427,3.889081,-1.758807,-0.721082,2.837387,-2.275267,clean
-2.21989,-0.29191,-0.949598,-0.223238,0.018661,-0.57624,-0.781927,clean
-1.513534,0.740798,-1.541193,0.542443,0.623107,0.52411,0.036992,clean
-0.641199,0.464172,-1.321153,-0.731114,-0.041101,1.391212,1.19669,clean
-2.503646,0.227054,-0.81783,0.14038,0.288617,-0.235549,0.165632,clean
3.413012,3.937829,0.450673,-2.427253,-3.88044,-2.940479,0.334771,clean
-2.148438,0.815336,-1.408347,0.380945,0.030169,0.492553,0.006131,clean
3.71261,-1.016119,-1.290693,-0.903241,1.473607,0.042331,-0.997128,clean
2.786686,5.160589,0.531971,0.149709,1.349361,-0.311729,-0.31905,clean
2.019665,1.938847,-3.165712,1.188263,-0.330249,0.579968,0.168926,buggy
0.490501,-2.436184,3.553203,-1.200747,-1.122017,1.400615,-0.213995,buggy
5.030353,1.996723,-3.638057,1.507601,0.033743,0.552963,-0.165047,buggy
0.315692,-0.805643,-0.42924,-1.066808,1.022359,0.512904,0.684795,buggy
0.868385,0.218227,-0.409902,-0.139497,1.022138,-0.07379,0.559025,buggy
3.455426,-2.013306,0.86733,0.887252,-0.529421,0.163113,-0.771479,buggy
1.920972,-1.285269,0.530857,0.430768,-1.552261,0.234607,0.448399,buggy
1.62392,-1.520519,1.748177,0.427171,-1.054663,0.904461,0.640758,buggy
0.181481,-0.550459,0.621,-0.329497,0.304612,1.293402,1.171731,buggy
