@relation 'arff_xalan-2.4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-11'

@attribute 0.365rfc... numeric
@attribute 0.478ic... numeric
@attribute 0.444avg_cc... numeric
@attribute 0.585dam... numeric
@attribute 0.479ca... numeric
@attribute -0.48amc... numeric
@attribute -0.747noc... numeric
@attribute -0.482moa... numeric
@attribute 0.603cbm... numeric
@attribute -0.537moa... numeric
@attribute class {buggy,clean}

@data
0.354696,1.258899,-0.116236,0.837408,-1.209247,0.209039,-0.478066,0.315836,0.488743,0.540936,clean
1.309203,0.607663,-1.30642,2.192157,2.455795,1.020365,-3.646591,-1.645444,-0.282634,-0.108907,clean
5.009898,1.787957,-2.025963,-1.617819,-0.357456,2.600038,-0.648946,1.35379,2.078894,0.1023,clean
-2.535522,-2.187441,-0.129412,-0.893056,0.326241,0.106953,0.404901,-0.490197,0.30476,-0.728846,clean
-1.327368,-2.140611,-0.292326,-0.331545,0.078596,1.195751,0.606077,-0.209409,0.077008,0.467699,clean
-1.292559,0.690106,-0.725855,-1.054906,-0.51512,0.690527,0.019937,0.033696,0.133385,0.537854,clean
-1.507202,-2.062462,-0.032725,-0.303867,-0.255733,1.336272,0.480589,-0.434276,-0.013435,0.58489,clean
-0.665552,-0.185424,1.125846,1.838602,-0.345916,-0.360609,-0.478034,0.783852,-0.685103,-0.211351,clean
-1.128896,-1.095211,0.633704,2.097571,-0.591846,0.311226,-0.12426,0.128002,0.392518,-0.218095,clean
6.612091,-2.709717,-5.137359,0.975782,5.362907,-2.27836,0.959128,-2.803648,2.199,-3.297004,clean
-0.216416,-0.04383,0.926487,1.474345,-0.783894,-0.682497,-0.760399,0.607892,0.390141,0.685915,clean
-2.385077,-2.127284,-0.111237,-0.648518,-0.068229,0.40152,0.364705,-0.635602,0.230416,-0.126207,clean
-2.263843,0.8498,-1.048748,-1.282221,-0.351684,-0.002315,-0.015765,-0.051001,-0.04233,-0.370497,clean
5.15863,2.709321,1.556036,-0.293355,1.011385,-2.22859,2.252178,-3.093686,-0.690698,-0.216273,clean
-2.841314,-2.266419,-0.340559,-0.804264,-0.156309,-0.133913,0.216041,-0.69932,0.415061,-0.429755,clean
4.414758,-1.934129,2.522874,-0.701152,-1.313415,0.139318,-0.78586,-0.27885,-0.330069,0.330788,clean
-2.348062,0.719467,-1.054494,-1.243332,-0.400526,-0.101678,-0.115699,0.321393,-0.721948,-0.45288,clean
-1.00201,-1.815133,1.009362,-0.164284,0.05167,-0.235175,0.009768,-0.379818,0.731657,0.048573,clean
0.263888,1.842367,-0.196202,0.30516,-0.41749,0.017885,0.330583,-0.523249,0.549153,0.262732,clean
-0.752928,0.00018,-0.763363,-0.982394,-0.729796,1.17756,-0.083828,0.07694,0.445769,0.594027,clean
-0.413235,-2.49445,-2.177414,-0.146154,3.4021,0.19222,1.963875,1.462618,0.907636,-0.325892,clean
-1.376147,-2.116328,-0.638246,-0.244222,0.817084,0.94542,0.600353,-0.263338,0.153222,0.394648,clean
