@relation 'arff_redktor-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-9'

@attribute 0.344loc... numeric
@attribute 0.346amc... numeric
@attribute -0.555ca... numeric
@attribute -0.436dam... numeric
@attribute -0.501cbo... numeric
@attribute 0.606lcom... numeric
@attribute 0.463noc... numeric
@attribute -0.733noc... numeric
@attribute class {buggy,clean}

@data
2.99144,0.215163,-0.320334,-0.829278,-0.185624,-0.199912,-1.161308,-0.083707,clean
-2.919101,-4.306389,1.236199,0.861182,0.262966,-1.877106,-0.577699,-0.820085,clean
0.741367,-0.179009,1.361822,-0.106613,-1.122502,0.667324,-0.012614,0.588287,clean
1.788614,-0.051116,1.35386,0.089704,-0.639479,0.352368,-0.020075,0.354885,clean
0.565268,1.173328,-1.036758,-0.036226,0.711242,-0.638521,0.528845,0.685904,clean
-0.197133,-0.928758,1.253133,-1.066786,-0.276651,0.131761,0.315739,0.566101,clean
5.420552,-0.894981,-1.00284,1.998066,1.864978,-1.458998,3.004853,1.058217,clean
0.770415,-0.174506,1.332569,-0.513462,-0.602637,0.537921,-0.124615,0.348554,clean
-2.787443,1.743861,-0.531625,-0.631152,0.05451,0.168896,0.700981,0.486026,clean
-1.626914,1.076037,-0.536431,-0.503465,0.835901,-0.298426,0.63376,0.540081,clean
-2.590089,1.377697,-0.349215,-0.568925,0.280676,-0.209607,0.71682,0.588611,clean
-1.578914,1.840712,-0.285531,-1.488221,1.269877,0.348963,-0.041804,0.054877,clean
0.556896,-0.385842,1.305349,-0.232343,-0.927479,0.552546,0.400703,0.667999,clean
-2.769293,2.699061,-0.438402,1.953928,-0.005231,0.756277,-0.364938,-0.885604,clean
1.456349,-0.178209,1.422117,0.128104,-0.717062,0.289662,0.390678,0.457595,clean
-2.242753,0.596845,-3.219055,-0.489609,-2.95089,-0.86756,0.42344,2.153185,clean
-3.21153,1.67697,-0.856412,0.592308,1.00587,-1.235484,0.983729,0.044444,clean
2.400519,-0.245372,0.848274,0.811123,0.295836,-0.842178,0.220695,-0.114819,clean
2.836116,2.086476,1.715854,3.617245,-6.055778,1.913577,-1.257589,1.388666,clean
-2.764328,1.431727,-0.335289,-0.696736,0.656663,0.026755,0.13794,-0.016002,clean
