@relation 'arff_ant-1.3.csv-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.369rfc... numeric
@attribute -0.443dit... numeric
@attribute 0.533avg_cc... numeric
@attribute -0.563lcom3... numeric
@attribute -0.443ca... numeric
@attribute 0.572moa... numeric
@attribute -0.453amc... numeric
@attribute -0.8cam... numeric
@attribute -0.599noc... numeric
@attribute class {buggy,clean}

@data
1.571398,-2.993698,-0.686629,0.267821,-0.537011,0.907942,0.262224,0.597893,-0.10077,clean
-0.127432,1.570074,0.407539,0.47328,0.904997,-0.351124,0.567689,0.520103,-0.328957,buggy
-1.77611,-0.866716,-0.585051,1.355534,0.714297,-0.816846,0.022657,-0.523231,-0.127945,clean
0.53032,-0.42534,-0.056427,0.306034,0.789349,0.420597,-1.179648,-0.204582,0.897753,clean
-0.734565,-1.846734,-0.88007,0.195646,0.158445,-0.458235,0.328433,0.355043,-0.251554,clean
-1.963265,1.095491,0.898326,0.882377,0.337817,-1.162359,0.025056,-1.07987,-0.503488,clean
0.259073,-2.812213,3.40874,-2.147033,-4.12393,1.098355,1.373636,-0.905607,-0.13104,clean
1.568203,-2.284847,-0.897564,-0.255845,0.419386,0.147282,1.7267,0.274556,-1.216423,clean
-1.229639,-2.161998,-0.469016,0.68289,-0.440845,-1.178591,-0.678744,-1.570369,0.447147,clean
1.322944,-0.510357,0.716509,0.342934,0.095517,-0.603182,0.418446,0.458604,0.073175,buggy
-0.19044,-0.544926,-0.257797,0.789961,0.854152,0.157139,-0.773274,-0.143374,0.905292,clean
-1.570093,-1.462197,-0.614107,0.59962,0.094858,-0.87082,-0.539033,-0.25905,-0.120855,buggy
-0.319599,-0.498915,0.07212,0.234308,0.49186,-0.545743,-1.054132,0.512938,-0.072874,clean
