@relation 'arff_xerces-1.2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.357rfc... numeric
@attribute -0.516mfa... numeric
@attribute '0.46 lcom3...' numeric
@attribute -0.618ca... numeric
@attribute -0.548avg_cc... numeric
@attribute -0.512amc... numeric
@attribute -0.421npm... numeric
@attribute 0.448cbm... numeric
@attribute -0.753noc... numeric
@attribute class {buggy,clean}

@data
-0.176393,-1.864092,-1.674238,0.293409,1.406056,0.949862,-0.52734,-1.179655,-0.619212,clean
11.456948,-1.634997,1.963763,1.282063,0.552207,-1.043163,0.520472,2.773235,-0.309376,clean
-0.138216,-0.586185,2.017442,0.794863,-0.432799,-0.501242,-1.37961,-0.733874,0.170927,clean
-0.274081,0.603992,-0.344549,-3.880626,0.037023,-0.315051,0.610868,-0.002437,2.34635,clean
-1.427131,-1.062435,0.337847,0.351191,-0.829699,-1.226697,-0.318882,-1.226086,-0.113897,clean
-0.87801,-2.556912,0.796164,0.631382,-0.588124,-0.268479,0.315097,0.333933,-0.098764,clean
-0.248073,-1.65188,1.003718,0.748944,-0.62802,-0.083785,-0.658353,-0.300459,-0.313131,clean
2.028057,1.689779,-1.800883,-0.235431,-2.29326,0.670887,-0.205216,-0.583273,-0.058209,clean
2.686031,-0.995373,-3.868996,0.724455,-4.013329,0.363126,-0.264716,0.243295,-0.229814,clean
-1.006379,-1.116828,-0.562616,-1.242476,0.850297,-0.72305,-0.20401,-1.535292,1.117532,clean
0.514549,0.79358,-0.124676,-2.86355,0.395494,0.545457,-0.246107,0.136417,1.720704,clean
-0.87801,-2.556912,0.796164,0.631382,-0.588124,-0.268479,0.315097,0.333933,-0.098764,clean
0.558222,1.400541,-2.804174,0.520465,-0.391325,0.899937,-1.038238,-0.270326,-0.332366,clean
-1.278002,1.378782,0.750438,0.051859,-0.333762,0.260887,0.001301,0.473346,0.072133,clean
0.533234,-2.101051,-2.567809,0.700657,1.646654,-0.711908,-0.636669,0.009196,0.005924,clean
-0.11205,1.373651,1.231987,-0.395254,-0.198831,0.603544,-0.473959,0.586534,0.389232,clean
1.637359,-0.124097,3.398868,1.193681,-0.490233,0.102737,-2.338104,-0.470694,0.415676,clean
-0.822741,1.378088,0.906042,-0.040769,-0.248103,0.454747,-0.207234,0.53185,0.087346,clean
1.027853,0.841613,-1.063604,-0.141612,1.755143,0.795122,0.364008,-0.396806,0.063124,clean
-0.242308,0.237642,-0.645098,-0.776257,0.6378,0.474659,0.821844,0.652339,0.411259,clean
-1.11588,-0.990128,0.932887,0.561537,-0.182411,-0.614491,-0.873489,-0.935953,-0.390614,clean
0.576976,1.610582,-0.117524,-0.011371,-1.697436,0.432409,-0.365085,0.346737,-0.013704,clean
0.921951,-2.280705,-2.747737,0.264553,1.972453,-0.272182,0.585052,0.328293,0.331889,clean
-1.781664,-1.146754,0.730927,0.343412,-0.235971,-1.245951,-0.224076,-1.125699,-0.126586,clean
7.049243,1.85326,1.806414,0.279474,2.58907,-0.397788,1.461937,-0.654329,-0.917128,clean
-1.381659,1.369622,0.759317,0.01132,-0.389137,0.090586,0.152882,0.433981,0.188185,clean
-1.255607,0.996254,0.116561,-1.21098,0.594964,0.652839,-0.168911,0.626246,-0.069068,clean
0.950715,0.254592,-0.911809,0.322076,2.129768,0.378932,0.068665,-1.003966,-0.33819,clean
4.528958,-0.267369,-0.794949,1.049579,1.730497,-0.191304,-0.138755,1.173342,-0.217358,clean
-1.976026,1.232906,0.176883,-0.169439,-0.338039,-0.106227,0.604427,0.314698,0.00265,clean
-1.742799,1.253517,0.156905,-0.078227,-0.213445,0.27695,0.263369,0.40327,-0.258466,clean
5.431681,-0.684074,1.329808,1.273795,1.760661,0.542568,0.728513,0.563592,-0.113252,clean
-1.947519,1.152403,0.05237,-0.40312,-0.29605,-0.223651,0.81114,0.264354,0.070162,clean
1.246994,0.419072,-0.870854,0.322822,1.138006,0.336167,0.017971,-0.884777,-0.344694,clean
0.972399,-1.8977,0.594997,0.769863,-1.284722,1.097117,0.310563,1.513002,-0.331237,clean
-0.699948,0.951251,-1.237931,-0.709524,1.061769,0.301198,0.235165,-0.2006,0.526413,clean
-0.87801,-2.556912,0.796164,0.631382,-0.588124,-0.268479,0.315097,0.333933,-0.098764,clean
-1.601887,1.285311,0.29434,-0.034111,-0.22406,0.327035,0.15076,0.434992,-0.215023,clean
-2.111819,1.202703,0.044897,-0.21284,-0.328863,-0.1569,0.716851,0.281708,-0.038833,clean
-1.24494,-1.036502,0.541163,0.425936,-0.739247,-1.028862,-0.356155,-1.221397,-0.179268,clean
-1.395485,-1.062281,0.81638,0.472851,-0.19884,-0.837311,-0.622621,-1.01717,-0.318073,clean
2.473063,0.839843,-1.326291,0.852092,1.477297,-0.544937,-0.852308,-0.008707,-0.365383,clean
4.208592,2.192958,-0.928938,1.27575,-1.623636,1.625234,-1.783937,-0.936079,0.153191,clean
-1.382513,-1.060435,0.817251,0.476934,-0.198786,-0.842677,-0.623226,-1.014053,-0.319938,clean
-2.111819,1.202703,0.044897,-0.21284,-0.328863,-0.1569,0.716851,0.281708,-0.038833,clean
2.736619,0.765017,-1.308954,-0.829431,1.570355,-0.583188,0.953529,0.041748,0.229187,clean
-1.947519,1.152403,0.05237,-0.40312,-0.29605,-0.223651,0.81114,0.264354,0.070162,clean
-0.92726,1.233932,-0.2222,-0.802426,-0.634143,0.36147,-0.12188,0.411664,0.142479,clean
-1.744409,-1.155832,0.72664,0.255924,-0.239558,-1.256067,-0.237437,-1.122957,-0.066359,clean
-2.563991,1.104968,0.274558,-0.358741,0.07777,-0.758096,1.110404,0.362067,0.239145,clean
0.908762,1.584857,-0.673999,0.726171,-0.384352,1.068477,-1.228166,0.080085,0.31819,clean
3.006182,2.112631,0.55539,1.337404,1.591233,0.811819,-0.454767,-0.18702,-0.866525,clean
-2.111819,1.202703,0.044897,-0.21284,-0.328863,-0.1569,0.716851,0.281708,-0.038833,clean
-1.140404,1.303369,0.593029,-0.134011,-0.216796,0.358692,0.019278,0.47728,-0.013261,clean
-1.947519,1.152403,0.05237,-0.40312,-0.29605,-0.223651,0.81114,0.264354,0.070162,clean
6.582718,1.609777,0.177054,-0.883138,1.774941,-1.030656,1.400741,-0.577002,-0.309597,clean
-1.714836,-0.769535,0.857404,-0.276176,-0.035231,-0.893379,-0.510548,-0.710612,-0.459477,clean
0.873193,-1.172584,-2.176074,0.34028,1.401082,0.985961,0.494553,-0.828959,0.052818,clean
-0.328342,-2.50791,1.213416,0.796982,-0.676916,0.034892,0.027687,0.617579,0.018922,clean
0.69524,-1.541313,-1.007819,-1.879076,1.9118,0.10021,-1.136282,-2.044073,1.712319,clean
-1.551144,1.119807,0.157415,-0.214076,0.613027,0.711801,-0.085262,0.660456,-0.715633,clean
-1.742799,1.253517,0.156905,-0.078227,-0.213445,0.27695,0.263369,0.40327,-0.258466,clean
-1.626179,-1.133013,0.717609,0.40422,-0.152908,-0.990499,-0.451449,-1.066651,-0.300664,clean
