@relation 'data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-21'

@attribute 0.194WCHU_rfc... numeric
@attribute -0.26ck_oo_lcom... numeric
@attribute 0.318ck_oo_numberOfMethodsInherited... numeric
@attribute -0.289LDHH_numberOfAttributes... numeric
@attribute -0.311LDHH_fanIn... numeric
@attribute -0.36LDHH_numberOfPublicAttributes... numeric
@attribute -0.516LDHH_noc... numeric
@attribute 0.426CvsLogEntropy... numeric
@attribute 0.343LDHH_dit... numeric
@attribute -0.346ck_oo_dit... numeric
@attribute 0.387LDHH_numberOfPrivateAttributes... numeric
@attribute 0.434numberOfCriticalBugsFoundUntil:... numeric
@attribute 0.434ck_oo_numberOfAttributesInherited... numeric
@attribute 0.425LDHH_numberOfMethodsInherited... numeric
@attribute -0.337ck_oo_numberOfLinesOfCode... numeric
@attribute -0.374LDHH_numberOfPrivateMethods... numeric
@attribute 0.353LDHH_numberOfPrivateMethods... numeric
@attribute 0.426CvsWEntropy... numeric
@attribute 0.494ck_oo_noc... numeric
@attribute 0.419ck_oo_noc... numeric
@attribute class {buggy,clean}

@data
1.23315,-0.662268,-1.272892,-3.052325,-2.442876,1.480709,0.52638,0.217603,-0.411131,0.08097,2.088679,0.843046,-0.238223,-0.580254,0.25195,0.247538,-0.008668,1.352688,-0.377509,0.233267,clean
2.396632,2.594586,-0.501478,2.483104,3.102962,-0.772298,-0.624021,-2.251081,0.632811,-0.811466,-0.861121,3.068987,0.227465,0.596963,-0.44211,-0.525218,-0.114292,1.097421,1.62144,-0.205096,buggy
-3.147489,-0.991629,-0.740788,-0.662384,-0.216898,0.95325,0.391134,-1.122163,0.586012,0.517249,-0.179944,-0.332722,0.036893,0.118882,-0.089832,0.086571,0.017851,-0.066561,-0.105811,0.168573,buggy
2.329766,0.392437,-0.487163,2.472883,-0.99758,-2.356257,1.678443,-0.064911,-0.038439,0.666837,1.175861,1.292591,-0.114418,0.100526,-0.067217,-0.083516,0.782857,-0.526587,-1.502024,0.491499,clean
1.764687,2.175482,3.153892,0.613186,-0.355941,-2.559384,1.223972,0.072329,-0.08877,-0.630245,-0.796493,1.088159,0.516429,1.565966,-2.194562,2.107035,0.677592,-2.327177,-0.505727,2.050733,clean
-2.457998,0.402756,-1.010832,0.687894,0.528833,0.357029,-0.191776,0.605315,0.215635,0.796783,0.163797,-0.03638,0.727228,-0.253306,-0.165244,-0.078856,0.033104,0.030139,0.095527,0.009663,clean
4.913453,2.329864,-3.182381,-3.010851,0.068067,1.528842,-0.848229,3.616129,1.346717,-4.31098,1.42541,1.642126,-3.439801,-2.412342,-3.71029,0.748219,-0.212001,-0.394879,-0.646481,1.0175,clean
-2.597387,-0.43937,0.066783,-0.531255,-1.058411,0.256687,0.666347,-1.338997,-0.414288,0.100603,-0.024265,-0.092505,-0.814081,0.314855,-0.363845,-0.227401,0.033921,-0.127984,-0.095331,0.603324,clean
-0.936393,1.208366,-1.09042,1.215697,1.868637,-0.02321,-0.343751,-0.089794,0.483557,0.751282,0.610379,1.283455,1.216276,-0.417484,-0.006824,-0.395025,-0.534468,-0.496935,-0.326741,0.020673,clean
-1.688706,0.459636,0.580679,-1.013583,-0.154856,0.209991,0.439658,-0.758496,0.949382,1.355918,-1.933426,-0.125902,-2.632532,-0.0373,0.422573,-0.436861,0.148422,0.068415,0.05408,0.406765,clean
