@relation 'data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-18'

@attribute 0.194WCHU_numberOfLinesOfCode... numeric
@attribute -0.361WCHU_numberOfPublicAttributes... numeric
@attribute 0.371WCHU_fanIn... numeric
@attribute 0.403ck_oo_numberOfMethodsInherited... numeric
@attribute -0.317ck_oo_numberOfMethods... numeric
@attribute -0.486WCHU_noc... numeric
@attribute 0.433LDHH_numberOfAttributesInherited... numeric
@attribute 0.297WCHU_numberOfAttributesInherited... numeric
@attribute -0.277numberOfHighPriorityBugsFoundUntil:... numeric
@attribute 0.506LDHH_dit... numeric
@attribute 0.305numberOfCriticalBugsFoundUntil:... numeric
@attribute -0.5LDHH_numberOfPrivateAttributes... numeric
@attribute -0.346ck_oo_numberOfAttributesInherited... numeric
@attribute 0.317ck_oo_numberOfAttributesInherited... numeric
@attribute -0.523LDHH_fanOut... numeric
@attribute -0.381ck_oo_numberOfPublicMethods... numeric
@attribute 0.447ck_oo_dit... numeric
@attribute class {buggy,clean}

@data
4.784652,-1.172124,-0.056647,0.952959,4.396527,-1.117729,2.106254,-2.02235,0.458396,2.302491,3.121266,-0.842906,2.356032,0.137196,-1.257288,0.64676,1.300377,clean
-3.510411,0.254139,-0.174158,-0.020495,-0.53537,0.427801,-0.339891,0.032105,-0.062025,-0.315641,0.26901,0.072685,-1.12104,-0.451194,-0.349269,0.343261,0.842698,clean
1.608664,-0.420021,-1.158524,-1.205279,-0.0623,0.62941,-0.588542,2.396254,-0.059856,-0.100742,0.602677,-0.151858,0.120128,-0.427824,0.522851,0.351154,0.366429,clean
-0.084357,-0.344533,-0.302125,-1.503849,-0.109329,0.33034,-0.337874,0.723486,0.418453,0.408328,-0.448984,0.186964,0.778556,1.475007,0.221168,0.525521,0.130256,buggy
5.507188,0.664414,4.106646,-0.603257,-1.624086,-5.549256,1.247155,-1.66384,-2.313568,-0.67552,-1.064586,-0.643444,-0.787727,1.69892,1.137115,0.158191,1.212489,clean
4.822972,-0.152755,-2.238742,-2.375791,-0.688933,-0.185837,1.595779,0.483937,1.665492,1.192448,1.25619,-0.5363,1.482197,0.994783,0.391059,0.338931,-0.037487,buggy
3.339675,-0.54758,0.757702,-1.790291,1.127315,1.593382,-1.34234,2.220051,-1.672886,-1.768076,1.793365,-0.041526,0.619148,-0.144059,0.101583,0.095181,-0.267634,buggy
-3.604279,-0.301984,0.066663,-0.819968,0.384917,0.136644,-0.052618,-0.09905,-0.307274,-0.148315,0.105966,0.282306,-0.360136,-0.18251,-0.012093,-0.203049,0.136253,clean
-2.50724,0.127973,-0.600053,-0.653333,-0.532827,0.215908,-0.318754,0.322287,0.077167,0.083406,0.070629,0.123265,-0.027102,-0.461697,-0.025334,0.597277,0.022004,clean
-3.678207,-0.246545,0.084538,-1.162396,0.433377,0.136312,0.077134,-0.132213,-0.482069,0.089219,0.032353,0.23673,-0.306591,-0.288037,-0.003793,-0.072841,-0.247095,clean
-3.695601,-0.185051,0.095485,-0.755156,0.496736,0.084653,-0.091527,-0.151785,-0.277031,-0.064666,-0.055167,0.202004,-0.169769,-0.418458,-0.052366,-0.173915,-0.340639,clean
-3.065836,-0.299216,0.089695,-0.951233,0.503891,0.185673,-0.163325,0.157102,0.032068,0.076612,-0.175318,0.074027,-0.28448,0.07096,-0.195972,0.158944,0.137762,buggy
-2.574293,0.004749,-0.112208,1.317763,1.777903,-0.284043,-2.027672,-0.3516,-1.502407,4.051151,1.350263,-0.547973,0.438204,0.34593,-1.057312,-0.113031,0.148889,clean
-0.335344,1.143294,-1.125566,1.602062,-3.745474,1.329726,0.324545,-0.05116,0.07899,-0.576109,0.511729,-0.454978,0.144808,1.896681,-0.795567,-0.909961,0.86264,clean
3.25971,0.828964,-1.672447,-0.077642,0.065943,-0.365257,0.399664,-0.409101,0.34516,0.104279,-1.165967,-0.399811,-0.707521,-0.595359,-0.18541,0.053518,-0.500825,buggy
3.43561,0.027495,1.368715,-1.020569,1.0696,-1.567522,0.916505,-1.889902,-0.954657,-0.684789,-0.357313,0.588733,-0.094366,0.932114,0.173118,0.807213,0.545638,clean
-3.046258,-0.013447,0.285266,0.416606,0.325035,0.52429,0.641772,0.446716,0.11667,-0.032193,-0.152542,-0.050157,-0.41909,-0.359212,0.181882,0.004045,0.020557,clean
-3.355997,0.011175,1.063266,-0.456182,0.482064,0.465804,-0.390555,-0.176001,0.15855,-0.015841,-0.148966,0.003231,-0.685752,-0.392975,-0.070457,-0.191413,-0.73973,buggy
1.743875,0.921745,7.444054,-0.770758,-1.148466,-7.654062,0.848304,1.357202,-0.476779,0.0056,-0.053724,0.298438,0.263707,0.873937,0.138103,0.977738,-1.038277,clean
13.092561,1.672276,-0.012816,0.49236,3.55932,-2.129828,-3.384353,-3.530188,-3.544106,0.834121,-4.352483,1.899024,-3.718892,2.20574,2.061349,-0.551045,0.801039,buggy
-2.390219,0.071731,-0.448328,1.969482,-0.006403,0.03417,0.862145,1.575802,0.151653,-0.185784,-1.371237,-0.255962,1.04052,-1.276286,-0.072135,-0.123269,-0.606892,buggy
-1.852027,0.123319,-0.744465,-1.160591,-0.818113,0.317455,-0.4042,0.526093,0.004999,0.491515,-0.355464,-0.120466,0.341232,-0.173434,-0.092776,0.86402,-0.439887,clean
-1.435454,-0.036809,0.101087,-0.05517,-0.169126,0.13814,0.341327,-1.217066,-0.352082,-0.655279,0.007814,-0.329665,0.138547,0.223813,0.580172,0.027224,0.416071,clean
-2.605286,0.125761,0.230227,-0.404857,-0.505763,0.474388,-0.224646,-0.078377,0.212478,-0.032973,0.036325,0.151795,0.264286,0.039398,-0.074025,-0.081286,0.493257,clean
-2.944464,0.409137,3.381026,1.808788,-1.384059,-8.172269,-0.944705,2.38565,-2.00899,1.603777,1.565646,-1.192123,0.043115,0.086442,-0.237565,-0.445403,1.517089,clean
-2.882281,1.140102,10.056804,0.013675,-5.761754,-21.153939,1.290039,7.254691,-3.404085,-1.406429,1.259662,-1.169908,-0.41177,0.816922,-1.288256,-0.111436,0.241813,clean
-2.517461,-0.228703,-0.47609,-1.385275,-0.379683,0.226624,0.200327,0.022066,-0.489456,0.249336,0.096463,-0.039619,0.146878,0.070159,0.317868,0.27013,-0.158235,clean
5.570049,1.293365,-3.945538,0.792483,-4.466217,0.376123,-0.642522,0.913511,0.307828,0.276595,-1.085564,-0.977234,-0.179334,-1.197312,1.183052,1.374055,-0.362548,clean
-3.360518,-0.356895,0.033601,-1.162078,0.663764,0.02713,0.042663,0.00768,-0.264069,0.045358,0.021866,0.348794,0.004847,0.021601,0.179742,-0.042669,-0.115241,clean
0.766174,-0.392288,-0.655913,-1.628305,2.162889,-0.879584,1.218836,-0.425215,1.104292,0.398693,0.718554,1.230901,0.58555,-0.187609,0.471963,-0.188922,0.438846,clean
-3.251148,-0.210229,0.276068,-0.7144,0.117303,0.245046,-0.026153,-0.321629,-0.320738,-0.106025,-0.020811,0.107245,0.064119,0.002225,0.127012,-0.553126,-0.442126,clean
-1.487584,-0.652854,-0.507668,-1.545415,0.881879,-0.077719,0.515957,0.601113,0.691826,0.38016,0.701517,0.625085,0.689214,0.004174,0.191474,0.729593,0.727832,clean
7.554561,-0.080931,0.358576,-1.091851,0.013488,-1.85765,0.738497,-0.831261,0.191836,-0.34112,0.63723,1.566022,1.076851,0.500271,0.357636,0.65654,0.244211,clean
-1.306634,-0.570328,-0.126879,-1.336126,1.586966,-0.460665,1.01517,-0.94224,-0.022164,0.071522,0.325008,-0.230309,-0.490346,-0.303886,-0.511108,-0.009757,-0.042799,buggy
-3.214748,-0.269927,0.003122,-1.205353,-0.074326,0.023331,0.177021,-0.024309,-0.459153,0.156413,0.144098,0.173712,-0.029239,-0.140922,0.076208,-0.083756,-0.148336,clean
-1.544996,-0.339506,-0.208787,-0.534548,0.894549,-0.038238,-0.503311,0.60233,0.938292,0.041883,-0.537957,-0.0712,0.423448,0.779487,-0.318107,0.117136,-0.350719,clean
2.794771,2.378424,7.430127,-0.736476,-6.508341,-6.633466,0.358814,1.797452,-0.841879,0.720406,0.67068,-0.122839,0.393403,0.677665,-0.545886,-1.013536,-1.713889,clean
3.40127,-0.840632,-2.078318,-2.245267,1.161202,-1.407382,3.344805,-2.480076,0.054574,0.730275,1.457855,-1.477723,-1.262138,-2.008456,0.471038,-0.195848,-0.202104,clean
-1.035317,-0.05557,-0.650517,-0.648365,1.051117,-0.367027,-0.620382,0.443805,0.529169,0.017578,-0.583296,0.523846,-0.683429,-0.210363,0.51594,-0.320618,0.128655,clean
-1.801182,-0.243514,-0.488706,-1.017173,-0.886494,-0.120926,-0.062711,0.27945,-0.368503,0.142079,-0.109094,-0.172506,0.351232,0.327589,0.335352,-0.141645,-0.646653,buggy
-3.579517,-0.016961,-0.150098,0.979495,0.703809,-0.035227,-0.18263,0.127625,0.325561,-0.506987,-0.609483,-0.301562,0.268751,-1.115358,0.081802,-0.444905,-0.785181,clean
-3.008675,-2.191123,0.444887,-0.61093,0.543464,0.045755,0.250179,-0.257271,0.194974,0.221599,0.01822,0.088168,0.216077,-0.346908,0.438291,-0.121388,-0.423131,buggy
3.490888,-0.121734,0.094208,-1.574506,2.094552,-2.85056,1.920444,-1.311707,0.526164,0.125877,1.042119,1.754715,-0.516935,-1.299656,0.758304,-0.924517,0.164871,clean
-0.537415,0.287226,0.032371,1.849115,-0.314179,-0.015309,0.722528,-0.241622,0.011949,-0.935756,-0.847388,-0.822462,0.457176,0.095521,0.157851,-0.293803,0.69197,clean
0.029061,0.507774,-0.468145,1.349697,1.371843,-0.56608,-1.364538,0.009798,1.939763,-0.463749,-1.525642,-0.605123,0.460808,-0.484744,-0.304752,-0.743737,-1.379373,clean
3.442859,1.297015,4.620304,-0.248842,-0.047904,0.104997,-0.421239,-2.179978,-0.294624,-0.187176,-1.390678,0.215018,-0.686055,1.267716,0.111264,0.290891,-1.161454,clean
-2.841169,0.506778,-0.01537,3.991599,-0.387114,0.427607,-0.549015,0.322155,2.246585,-1.478272,0.288866,-1.036406,-0.991219,-0.838318,0.710931,-0.250634,0.635503,clean
-3.269461,-0.232471,0.309389,-1.173533,0.481474,0.201789,0.007091,-0.075221,-0.313705,0.130992,-0.054219,0.296261,-0.190446,-0.051327,0.171447,-0.089032,-0.218041,clean
-1.03261,-0.093392,-0.516738,-0.667998,-0.599401,0.374732,-0.170826,0.322792,0.351257,-0.083781,0.094837,0.160699,0.30353,1.130648,-0.168481,-0.018003,0.95405,buggy
-1.28698,-0.110783,-0.319817,-1.023649,-0.025055,-0.039716,0.544551,-1.125888,-0.988201,-0.277177,0.13137,0.30753,0.137999,-0.219811,0.151725,0.662728,0.128171,clean
