@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-19'

@attribute 0.189WCHU_numberOfLinesOfCode... numeric
@attribute -0.348LDHH_numberOfAttributesInherited... numeric
@attribute -0.288ck_oo_fanIn... numeric
@attribute -0.383ck_oo_lcom... numeric
@attribute 0.302ck_oo_numberOfAttributes... numeric
@attribute -0.272numberOfCriticalBugsFoundUntil:... numeric
@attribute 0.342ck_oo_numberOfPublicAttributes... numeric
@attribute -0.538WCHU_noc... numeric
@attribute -0.319CvsLogEntropy... numeric
@attribute 0.376LDHH_numberOfPrivateAttributes... numeric
@attribute 0.297ck_oo_numberOfPrivateMethods... numeric
@attribute 0.389LDHH_fanOut... numeric
@attribute -0.308LDHH_dit... numeric
@attribute -0.603ck_oo_noc... numeric
@attribute 0.541LDHH_dit... numeric
@attribute -0.321LDHH_dit... numeric
@attribute 0.473WCHU_lcom... numeric
@attribute -0.326WCHU_numberOfAttributes... numeric
@attribute class {buggy,clean}

@data
-1.420722,-1.732844,-1.106143,1.959353,-2.109226,1.658003,2.935324,-5.636876,-2.664635,0.626525,-0.145988,0.844182,-0.866824,2.907422,-0.824503,-1.216829,-0.329487,-0.771248,clean
-1.256926,1.532445,-0.683223,0.949728,-0.890159,-1.028559,0.624098,0.890008,-0.464304,-0.503122,-0.871965,-0.645897,-0.012553,0.240888,-0.190226,-0.217223,0.027186,0.270545,clean
-1.504752,-1.109586,0.254475,1.232825,-1.123033,0.441746,1.473218,0.00375,0.100923,-0.044314,0.281739,-0.949885,0.536709,-0.99504,0.432822,-0.241339,-0.024243,-0.855586,clean
8.082338,-5.799483,-0.286662,1.771214,0.448117,-3.866894,-1.215106,-0.069791,0.480676,-0.107018,-0.760183,-0.195685,2.380108,-0.899166,-1.281171,-0.999716,-1.856488,0.441529,buggy
-1.648141,-3.476818,1.693906,-0.692826,0.573043,0.978981,-0.514243,0.089279,0.811248,-0.363738,0.32222,0.278432,-0.544482,-0.434648,0.212791,-0.321022,-0.531106,-0.558222,clean
4.645652,-3.163735,0.612632,0.582322,1.523417,-1.476086,-0.700673,-6.190662,-4.700616,-1.624547,-1.543267,-0.645281,-1.658685,2.286898,-1.617667,-0.474151,-0.022854,0.304483,buggy
4.138234,1.49328,-0.287177,2.039201,-0.683485,0.875568,0.879833,0.382047,1.1438,-3.03724,-2.440691,-0.115773,-0.390908,-0.568409,-0.225453,1.366065,0.217501,0.458051,buggy
-0.947041,2.692457,0.917433,0.722136,-0.591041,0.74662,-0.750226,0.876154,-1.756214,1.743386,-1.380129,0.480278,1.614151,-1.423321,0.376766,-0.627893,-1.009092,-0.158561,clean
0.706042,1.489867,-1.33498,1.040212,0.441222,-0.215937,0.22176,0.976813,-0.610768,-0.10032,-0.507808,-1.148492,0.528202,0.233631,-0.365905,-0.410036,0.077101,0.595376,buggy
-1.94157,1.228553,-0.506013,-0.237822,0.563147,-0.507627,-0.554634,-0.312968,1.078866,0.119334,0.25368,0.10353,-0.123221,0.178454,-0.030083,-0.111338,-0.252206,0.175013,buggy
-2.428758,-3.823136,1.405817,-1.496802,0.799625,0.618395,-0.874665,0.45304,-0.057832,-0.008274,0.465303,0.564846,-0.136676,0.205175,-0.172881,0.167925,0.177261,-0.174447,clean
0.586423,-1.362282,0.807599,1.400472,0.141995,0.510727,2.227656,-1.660397,-0.482923,-0.743138,0.320555,-1.393198,-0.316357,-0.993252,-0.439775,-0.598931,-0.388601,-0.046917,buggy
1.142578,-1.695871,-0.988968,0.100304,0.556621,1.32856,-0.142015,2.03648,-0.862654,-0.255987,-1.428547,0.12395,-2.114922,0.503778,2.644248,-1.85264,0.780372,0.174306,clean
-1.600125,-0.379802,0.051819,0.657535,-0.712137,-0.840296,0.734291,0.84163,-0.645835,-0.693586,-0.074931,-0.481157,0.251103,-0.004771,-0.481638,0.141395,-0.051952,-0.328984,clean
-1.785271,0.540216,-0.239643,0.675573,-1.233477,-0.561504,1.350869,0.928096,-1.082547,0.310116,0.186096,-0.362569,0.352071,0.192786,-0.230794,0.019789,0.317685,-0.012677,clean
-0.900909,0.415337,-1.870115,1.321002,0.168536,0.388999,0.739018,1.415989,-1.128972,0.347309,1.28913,0.020185,0.643727,0.864576,-0.322943,-0.473535,0.317087,0.148288,clean
-1.772329,1.664647,-0.378544,0.994549,-0.267286,-0.605184,1.065113,0.927623,-0.733556,-0.779134,-0.417781,-0.417896,0.368472,0.288706,0.044165,-0.5475,-0.030359,0.039919,clean
-0.664119,-4.322814,1.206273,-0.253028,0.028574,-1.331393,0.241088,1.111218,-0.988371,0.330517,-0.203222,0.047635,0.176523,0.370791,-0.260528,0.21184,0.196188,0.401812,clean
