@relation 'data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-16'

@attribute 0.176WCHU_rfc... numeric
@attribute 0.352WCHU_numberOfAttributesInherited... numeric
@attribute 0.325ck_oo_fanIn... numeric
@attribute -0.27WCHU_noc... numeric
@attribute -0.293ck_oo_numberOfAttributesInherited... numeric
@attribute -0.299LDHH_noc... numeric
@attribute -0.374LDHH_noc... numeric
@attribute -0.338WCHU_dit... numeric
@attribute -0.368LDHH_dit... numeric
@attribute '0.42 ck_oo_numberOfAttributesInherited...' numeric
@attribute -0.428ck_oo_dit... numeric
@attribute -0.341numberOfCriticalBugsFoundUntil:... numeric
@attribute -0.41CvsExpEntropy... numeric
@attribute 0.486numberOfCriticalBugsFoundUntil:... numeric
@attribute -0.429numberOfHighPriorityBugsFoundUntil:... numeric
@attribute class {buggy,clean}

@data
2.892843,-0.539959,-0.166717,-0.03357,0.341263,0.636966,-0.194721,2.111195,-1.335443,1.349454,0.275895,-1.285965,-0.750225,1.582521,1.147968,buggy
33.698313,-5.914957,-8.408171,-1.277819,1.924946,-5.789673,0.993939,4.57231,-5.160834,-2.366467,1.604567,-2.507911,3.507334,-2.289351,-4.678927,buggy
3.360219,-0.966935,5.372574,-6.795006,2.632479,-3.671408,-2.574272,-0.915403,-0.170235,-0.503684,0.210054,0.306668,-1.159086,-1.110736,1.211788,clean
15.447357,-2.76926,1.383592,1.031611,1.638916,-2.101313,4.648926,-1.486064,0.390399,-0.882957,-3.169476,-3.161775,-0.612991,1.81205,1.224069,buggy
-0.929656,1.392124,0.064951,1.307468,0.619262,-0.119054,-0.191795,0.560726,0.500569,-0.148788,-0.894195,0.291214,-0.223485,-0.083865,-0.249441,buggy
-3.484727,-0.873255,-0.778073,0.22934,0.672094,0.092006,0.207601,-0.142059,-0.004014,0.305529,0.238269,-0.079224,0.115709,0.16546,-0.052024,clean
3.256443,1.713978,-1.654862,0.238168,-2.662545,-3.955164,1.592686,-0.208226,-1.445609,2.050583,-1.025698,-1.011572,0.286302,2.314587,1.894491,buggy
-3.323603,-0.882512,-0.687606,0.270576,0.40395,0.151278,0.104429,-0.17713,0.084536,0.284834,0.136771,-0.05022,0.196157,0.10536,-0.055741,clean
12.863412,-2.179603,-2.902237,0.991076,3.876744,-0.097688,2.239509,-4.34441,3.818705,0.525982,-0.507513,3.06613,-1.08114,-0.595865,-0.03681,buggy
0.409249,-0.026128,1.351573,-0.037167,-0.927878,0.876855,-1.084,0.586432,1.091383,-0.026527,0.943386,-0.313878,-0.619272,-0.08154,-0.535563,buggy
-0.641055,0.472083,2.145763,-4.196817,2.600386,-1.563222,-2.706165,0.475638,0.858469,1.357756,-0.84392,0.917121,-0.461172,-0.578083,1.664566,clean
0.474475,6.568675,2.965518,6.509416,1.049259,-3.229586,-0.195597,3.170151,2.111714,-3.51088,1.359489,2.307532,-0.079506,-0.480584,0.291765,buggy
-3.175156,-0.950487,-0.752765,0.118074,0.227151,0.231071,0.010832,-0.223565,0.214225,0.167496,0.335431,-0.061193,0.095283,0.1543,0.018873,clean
-3.392458,-0.88771,-0.701148,0.244342,0.504642,0.179666,0.12823,-0.159619,0.053653,0.335114,0.191756,-0.098439,0.185188,0.123683,-0.055692,clean
0.148657,8.499445,-6.888926,-7.963406,1.746736,2.646659,0.69976,3.355818,5.928151,1.281961,-2.050597,1.027773,0.372259,0.851696,-1.156185,clean
-3.323603,-0.882512,-0.687606,0.270576,0.40395,0.151278,0.104429,-0.17713,0.084536,0.284834,0.136771,-0.05022,0.196157,0.10536,-0.055741,clean
3.819137,3.352149,-0.87213,0.894384,0.980897,0.688812,-0.875714,-1.962365,-3.540011,-1.319439,-0.391959,-1.56993,2.00985,0.486051,1.125373,buggy
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
7.708,1.446606,1.690191,2.92156,1.399021,-1.105289,1.854754,-1.421575,1.036666,0.872895,0.448442,-0.245875,-1.637327,-2.923103,-1.204417,buggy
-3.484727,-0.873255,-0.778073,0.22934,0.672094,0.092006,0.207601,-0.142059,-0.004014,0.305529,0.238269,-0.079224,0.115709,0.16546,-0.052024,clean
-1.702715,-0.85198,-0.457469,-0.141535,-1.097116,0.248136,-0.589546,0.231872,0.36681,-0.422566,0.528523,-0.058689,-0.562878,-0.460085,0.312411,clean
0.546395,-1.293919,-0.301679,-0.439511,0.100421,0.203542,0.70591,-0.013928,-0.067364,0.396891,-1.26015,-1.037321,-0.136385,0.328943,0.32143,clean
-0.277612,1.946676,1.158876,2.085813,-0.086881,-0.162707,-0.759977,0.52364,-0.244688,-1.059426,-1.260455,1.280979,0.666133,1.339042,-1.371384,buggy
-3.484727,-0.873255,-0.778073,0.22934,0.672094,0.092006,0.207601,-0.142059,-0.004014,0.305529,0.238269,-0.079224,0.115709,0.16546,-0.052024,clean
-2.591739,-0.68428,-0.525366,0.364503,-0.474837,0.340883,-0.512334,0.145561,0.493548,-0.105756,0.597949,-0.044804,0.136439,-0.217718,0.166906,clean
-2.155237,1.298554,0.433153,1.953549,0.138469,-0.840542,-0.259178,1.371998,1.039775,-1.602971,1.005168,0.586214,-0.122644,-0.862685,0.896787,clean
-2.964726,-1.005073,-0.705847,0.364913,0.394883,-0.078438,0.373818,-0.029142,0.137913,0.28288,-0.037275,-0.821162,0.41269,1.076966,0.41514,clean
-3.430624,-0.875734,-0.663498,0.178343,0.575637,0.157254,0.201726,-0.152627,0.007037,0.291321,0.235947,-0.081145,0.160237,0.160617,-0.061224,clean
-1.533417,-1.17931,-0.51461,-0.274203,-1.046318,-0.090257,-0.140401,-0.022362,-0.264979,0.202996,-0.974487,-0.621907,-1.184548,-0.937763,0.202482,buggy
13.478289,0.256684,1.016501,3.212895,-5.208337,4.614923,-5.539608,-3.690578,1.721166,-0.098994,-2.429077,-0.125813,2.260338,-1.773754,0.364938,buggy
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
-3.430624,-0.875734,-0.663498,0.178343,0.575637,0.157254,0.201726,-0.152627,0.007037,0.291321,0.235947,-0.081145,0.160237,0.160617,-0.061224,clean
3.32555,-0.790042,1.86091,-2.209329,-1.317263,2.486461,-0.155914,0.926456,-1.443808,0.631717,0.552694,1.570314,0.554807,0.15551,-0.426669,clean
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
-3.385623,-0.350862,-0.668801,0.396784,0.337539,0.046955,-0.171232,-0.344536,-0.270754,-0.008806,-0.637968,0.267638,0.313942,0.970215,-0.640323,clean
-2.58762,0.284115,0.44631,0.179694,1.031638,-1.260127,-0.725283,0.636457,0.315706,-0.528961,0.596071,0.043247,-0.243715,-0.521567,0.761283,clean
0.216028,-0.442677,5.341867,-3.412264,2.361836,-1.829655,-2.186472,-0.511733,0.291822,0.293478,0.833969,-0.842041,-0.50908,-0.550864,0.011886,buggy
