@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17,44,46,62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-19'

@attribute 0.197WCHU_wmc... numeric
@attribute 0.281LDHH_fanIn... numeric
@attribute -0.282LDHH_numberOfAttributesInherited... numeric
@attribute 0.311WCHU_numberOfAttributesInherited... numeric
@attribute -0.308LDHH_numberOfPublicMethods... numeric
@attribute -0.456LDHH_noc... numeric
@attribute 0.347CvsExpEntropy... numeric
@attribute -0.357LDHH_dit... numeric
@attribute 0.328LDHH_dit... numeric
@attribute -0.445ck_oo_numberOfPublicAttributes... numeric
@attribute -0.343LDHH_numberOfPublicAttributes... numeric
@attribute '0.47 ck_oo_dit...' numeric
@attribute 0.417ck_oo_numberOfPrivateAttributes... numeric
@attribute 0.345ck_oo_fanOut... numeric
@attribute 0.419ck_oo_numberOfPublicAttributes... numeric
@attribute -0.444LDHH_numberOfPublicAttributes... numeric
@attribute 0.372LDHH_numberOfAttributesInherited... numeric
@attribute '0.43 CvsLogEntropy...' numeric
@attribute class {buggy,clean}

@data
-1.599472,1.114347,0.851867,-0.107817,0.535339,0.141187,-0.456936,0.604542,0.048933,-0.694532,-0.23107,-0.775058,-0.057377,-0.190277,0.286796,0.113038,-0.170743,-0.139117,clean
-2.793682,-0.179987,0.823604,-1.409387,0.563333,-0.623294,-0.265934,-0.113136,-0.339838,-0.332116,-0.264347,-0.423706,-0.511259,-0.345839,-0.557455,0.865054,0.218252,-0.155597,clean
3.164531,-5.370485,2.820185,1.17173,-2.611814,0.166827,0.53818,0.020134,2.459083,-1.344577,2.198818,-1.76365,5.324756,-0.598658,-0.333069,-0.831684,3.150222,0.020275,clean
-0.824144,-3.848929,1.965005,1.721457,-1.886559,-0.156029,0.160184,-1.422556,-0.705851,-0.132632,-1.771325,-0.621387,0.538162,-0.653894,-0.823227,-0.333568,0.228477,-0.188045,clean
-2.278706,-0.412268,0.617794,-0.881119,0.372049,-0.156768,-0.419777,-0.482859,-0.493148,-0.287965,-0.167816,0.499172,0.205253,0.136909,-0.556988,0.710958,-0.020293,-0.401887,clean
-2.373403,0.417859,-1.916189,1.125307,-0.291364,-1.310315,-2.837752,-2.473847,2.227496,-1.09349,0.87121,0.340631,-1.210042,-0.098407,0.272894,-0.59487,-0.782087,0.170538,clean
-0.304659,1.187788,0.005387,0.276107,0.715822,-0.742184,-0.426477,0.231781,-0.722977,-0.127146,-0.036695,-0.295164,0.46223,-0.093111,-0.05063,-0.297806,-0.539815,0.257679,buggy
-2.07427,-0.357756,1.002057,-1.143472,0.540362,-0.055667,0.4113,-0.833145,-0.539054,-0.6346,0.044336,-0.476411,-0.207773,-0.026396,-0.611695,0.867525,0.157168,-0.355702,clean
-2.40112,-0.397189,0.455772,-0.612608,0.43713,-0.109518,-0.035864,1.037137,0.428667,-0.522614,0.530305,-0.194977,-0.39758,0.301835,0.597744,0.257289,0.147562,0.262232,clean
5.175189,2.226536,-0.860258,-2.961877,-1.624917,0.930149,0.105679,0.485686,-1.241706,-1.192944,0.122738,-1.420149,0.390003,-2.86792,1.103979,-0.343227,2.115929,1.349095,clean
8.586125,-0.273598,-1.784841,2.424352,2.755699,1.218251,-0.163833,2.64133,-0.194443,-2.583571,-0.226,3.240897,0.189116,0.249935,-1.224096,-1.654138,-0.085183,-1.68542,clean
-1.714257,-0.581008,0.720845,-1.305865,0.71747,0.536963,1.309444,-1.603636,-0.640244,-0.89931,0.259303,-0.51471,-0.006279,-0.041066,-0.540856,0.914889,0.360323,-0.540627,clean
-2.109277,-0.46851,0.372266,-0.350769,0.014262,0.018778,-0.642565,-0.11352,-0.06808,0.666088,-0.49187,1.410402,0.389511,0.338448,-0.964805,0.514839,0.302082,-0.077152,clean
-2.420142,-0.655159,1.087516,-1.026514,0.240974,-0.343509,-0.428944,-0.106822,-0.394523,-0.31685,-0.037136,-0.37584,-0.365876,0.06425,-0.691635,0.754473,0.067019,-0.169438,clean
2.357311,2.040831,-3.69044,-1.522498,-3.842402,-0.154638,-2.509381,1.926217,-4.628899,-1.034896,0.995223,-1.125133,0.225591,-0.457949,1.361597,-1.5302,-0.174857,0.780135,clean
0.157722,0.201977,-0.010589,1.111599,0.848222,0.382347,-0.955364,-0.335353,-0.748723,0.373379,0.073945,1.110022,1.176261,0.592769,-0.564117,-0.470329,-0.50597,-0.215922,buggy
1.049619,0.196087,-2.4101,0.830771,1.263915,-0.929261,-2.141547,-1.425958,0.226735,-1.743233,0.167054,1.11167,-0.209921,-0.894672,-0.375151,-1.809536,-0.463355,0.226974,clean
-1.123649,0.208226,0.370941,0.42217,0.738432,-1.116005,-0.084765,0.005101,-0.339586,0.338066,0.216713,0.246375,0.6137,0.070752,-0.0969,-0.366473,-0.183518,-0.110315,clean
