@relation 'PC1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-7'

@attribute '0.26 total_Op...' numeric
@attribute -0.495lOComment... numeric
@attribute '0.77 L...' numeric
@attribute -0.54ev(g)... numeric
@attribute 0.601I... numeric
@attribute -0.612lOBlank... numeric
@attribute class {buggy,clean}

@data
-2.341047,1.682396,6.863534,-0.929119,-1.756624,0.046245,clean
-2.44601,1.456563,5.183166,-0.696004,-1.233921,0.010841,buggy
4.891017,-4.133775,0.387261,1.660111,-1.506068,-0.514544,buggy
6.852794,-3.432348,0.414266,0.105667,-1.917027,0.686623,buggy
44.913285,-1.759714,6.835724,-0.511977,-4.688289,7.063906,buggy
9.188973,-1.457588,-0.233954,0.696564,-0.056808,-1.008023,buggy
5.404292,-5.764,0.684721,2.176479,-3.095717,-1.687939,buggy
61.610752,8.229692,5.160395,-12.262425,-0.174383,-10.588461,buggy
-0.111907,-0.649745,0.490052,0.137533,1.112608,0.339867,buggy
1.243388,-0.508775,-0.163878,0.823379,1.044243,0.413994,buggy
5.548011,-2.700245,0.586838,1.339855,0.04931,2.00398,buggy
4.818667,-3.612262,0.121448,0.2273,-4.152229,2.036033,buggy
1.401877,-1.353649,-0.424362,0.841999,0.112526,-1.005827,buggy
8.09209,-4.769896,1.60991,0.533499,-2.345653,4.183187,buggy
-0.446733,-1.3069,-0.09954,0.693991,-0.492871,-0.917463,buggy
7.557236,-4.174138,0.48871,0.534409,-0.41457,-2.28069,buggy
0.047498,-0.040046,-0.577071,-0.501942,0.30344,-0.320391,buggy
5.709216,-1.973161,0.905849,0.710891,3.334422,0.803173,buggy
1.843129,-0.537069,-0.666441,0.031194,0.237116,0.447169,buggy
2.547186,-2.627723,-0.082609,2.152964,-1.607698,0.093514,buggy
8.340713,-5.134251,0.580668,3.431199,-3.847939,0.677576,buggy
1.479214,-0.402406,-1.180256,0.683647,-0.005931,-0.126952,buggy
2.007419,-0.583071,-0.33482,-0.302493,0.933579,-0.538052,buggy
1.349245,-0.566368,-0.399022,-0.561654,0.664168,-0.589364,buggy
