@relation 'pc4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-12'

@attribute 0.237LOC_TOTAL... numeric
@attribute -0.294CONDITION_COUNT... numeric
@attribute 0.327PERCENT_COMMENTS... numeric
@attribute -0.367CYCLOMATIC_DENSITY... numeric
@attribute -0.47DESIGN_DENSITY... numeric
@attribute -0.607MAINTENANCE_SEVERITY... numeric
@attribute 0.433HALSTEAD_CONTENT... numeric
@attribute 0.351PERCENT_COMMENTS... numeric
@attribute -0.792PARAMETER_COUNT... numeric
@attribute 0.453HALSTEAD_LEVEL... numeric
@attribute -0.385LOC_CODE_AND_COMMENT... numeric
@attribute class {buggy,clean}

@data
1.549179,-1.30693,1.057688,0.719454,0.785211,0.03784,1.652907,0.495279,-4.370043,-0.95912,-2.089812,clean
-0.594924,-1.677832,-0.437116,-0.60809,0.351781,0.038579,0.341542,-0.56549,0.1162,0.030455,-0.114571,clean
-1.081015,-0.335978,0.329741,0.254415,1.47524,-2.152446,2.097449,-1.956781,1.537955,0.145473,-0.705296,clean
-1.512962,-0.491432,0.274808,-0.481147,0.22616,1.199017,0.013488,-0.743038,0.341487,0.542496,0.442276,clean
-1.174117,0.466292,0.195171,0.406515,1.230401,0.419547,0.161996,0.907378,-1.068508,0.205991,0.301749,clean
0.361419,-1.621896,-0.213129,-0.539242,-0.323191,1.920372,0.032646,-1.085995,0.510341,-0.221154,-0.58905,clean
-3.333602,0.882817,-0.422303,-0.87883,-1.419704,-0.763812,-1.030057,-0.953944,-0.295743,0.580584,0.990775,clean
-1.811402,-0.021045,-0.444414,0.147564,1.453137,0.877913,0.041639,0.563356,-0.292029,0.163347,0.972459,clean
7.683868,-1.96256,4.557365,0.382575,1.111439,-0.789897,-2.191567,1.87662,0.670638,-0.02225,0.572011,buggy
-0.468988,0.727687,-1.241155,0.453369,-0.305472,1.693542,-0.290182,-0.176726,0.423622,-0.468682,-0.161341,clean
-0.231397,-0.628289,1.281549,0.423207,1.731351,0.788923,0.323999,0.240381,0.025851,0.622908,0.18979,clean
2.693868,-4.502643,-7.808941,2.670898,-1.574043,-0.537888,1.545993,2.635857,-1.80385,2.096696,-0.22701,clean
0.255389,0.41145,2.020341,0.828788,1.209771,-0.121129,0.506111,0.685454,-0.726846,0.295084,-0.102922,clean
1.635717,-2.593553,0.174487,-0.471754,0.067486,-0.245045,0.003428,-1.174071,0.389032,0.058211,0.885743,clean
0.200528,-0.029099,1.429234,0.143379,1.13094,1.050416,0.580741,0.061333,0.53401,0.722517,0.823811,clean
-1.816419,0.373973,0.356986,0.211098,0.730182,0.395015,-0.385989,0.595729,0.33992,0.33898,0.586188,clean
-0.133895,-0.716711,-2.802366,-0.038987,0.020794,1.827984,-0.700334,1.138555,0.942025,-0.331961,-0.443752,clean
