@relation 'CM1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-9'

@attribute 0.203LOC_TOTAL... numeric
@attribute -0.443NORMALIZED_CYLOMATIC_COMPLEXITY... numeric
@attribute -0.432ESSENTIAL_DENSITY... numeric
@attribute 0.521DESIGN_DENSITY... numeric
@attribute -0.52HALSTEAD_LEVEL... numeric
@attribute '0.72 PARAMETER_COUNT...' numeric
@attribute -0.439PERCENT_COMMENTS... numeric
@attribute 0.526PARAMETER_COUNT... numeric
@attribute class {buggy,clean}

@data
15.690656,-1.632894,-1.402127,2.804463,-1.768798,0.298442,0.737125,-1.594816,clean
-1.482513,-1.02786,-0.706766,-0.132482,0.34593,-0.842147,0.350009,-0.485856,clean
-2.636367,0.618227,0.945832,0.698094,-0.619022,0.647852,0.302625,0.24957,clean
-0.247343,-0.368135,-1.231859,-0.524947,-0.936742,1.620433,-0.398067,0.49909,clean
-2.37845,-2.745165,-1.19758,-1.454113,-0.289551,-0.659815,-0.674167,-0.554691,clean
1.454679,3.07438,-1.204799,0.844515,1.151391,1.951833,0.513179,1.858115,clean
-3.151118,1.327447,-0.535466,0.007591,-1.746917,-0.030604,-0.892295,0.958025,clean
-4.048946,0.063361,2.154814,2.042155,-3.328079,-0.061451,-1.390015,2.243032,clean
-0.88071,2.171689,-1.319785,-0.8517,-0.301325,0.653537,-0.03166,-0.134669,clean
-2.417725,-2.612943,0.358106,-1.299205,2.90701,-0.339374,-2.210497,1.417608,clean
-0.389987,1.938976,-1.063239,-1.498102,0.138965,0.099314,0.217766,-0.121201,clean
2.474445,3.053129,-1.176549,0.617553,1.236013,2.509141,-0.263836,1.983428,buggy
-0.767708,1.028233,-0.400035,-2.175668,-0.269619,0.277099,-0.511372,-0.459293,clean
-2.210757,-5.898535,1.071827,-1.744588,1.738978,0.563101,0.521593,-0.116524,clean
10.877639,0.228826,-1.776925,1.753268,0.165192,0.97952,-0.927035,-0.014809,clean
-2.323071,0.795962,1.021601,0.720113,0.461255,-0.699534,0.323495,-0.237126,clean
-2.243959,1.747375,0.035721,0.127637,-0.793015,-0.935113,-0.436494,-0.287431,clean
-2.420236,-2.41769,-0.436506,0.520216,0.495617,-0.705442,0.689034,-0.253624,clean
-3.705157,-0.743771,1.975951,1.025509,-0.327744,-0.69604,0.305309,0.251155,clean
-2.059268,2.118615,-0.9875,0.2366,-0.462002,-0.945439,-0.100107,-0.023654,buggy
-2.777392,1.048627,0.257929,1.221032,-0.047688,-0.11931,0.393914,0.683306,clean
-1.772709,1.292664,0.576009,-0.015548,-0.120478,-0.78993,-0.738891,-0.440441,clean
-1.706539,0.963476,0.098846,-0.17901,0.786764,-1.002023,-2.091812,0.323046,clean
-0.213138,-1.953272,-1.42675,-0.00822,0.756787,-1.426451,0.277825,-0.684071,clean
-1.977718,1.609827,0.15024,0.797577,0.186748,0.02693,-0.097144,0.420245,clean
-2.203154,0.488511,0.964076,-0.579114,-0.1387,-0.915956,-0.991672,-0.434356,clean
2.468514,0.823158,-1.316591,0.488898,1.004404,0.893347,0.15856,0.64185,clean
-3.267762,-2.808745,2.579129,-1.441777,0.765081,0.662976,0.697499,-0.38669,clean
7.865483,-0.148274,-1.956305,1.121002,0.119843,1.748163,1.282285,0.816838,clean
-1.988117,0.794174,0.842416,0.296258,0.523733,0.075077,0.572602,0.147071,clean
5.883617,-0.66306,-1.690333,0.568605,0.423341,0.871789,0.192611,0.21405,clean
9.624384,-0.287982,1.049055,-1.978001,1.363353,-0.831165,0.731048,0.561464,clean
-2.077575,-5.316209,-0.309773,-1.406213,0.575628,0.289752,-0.274668,-0.167515,clean
-2.831584,0.851675,-0.531583,-0.502719,-0.909531,0.221735,-0.080449,0.29655,clean
-1.952949,1.754729,0.228231,1.716174,-0.141727,-0.77616,0.815269,-0.301629,clean
-1.991279,0.446861,0.775413,-0.312144,0.210635,0.321208,-0.043564,0.028709,clean
-3.877898,-0.458805,1.044808,-0.513765,-2.767139,-0.080495,-1.491971,0.825504,clean
-0.851552,-0.216485,1.971395,0.104169,1.098486,0.420992,0.867138,-0.297075,clean
2.050837,-1.966037,-1.253491,1.633751,0.986023,-0.850099,1.88861,-0.12667,clean
1.289495,-1.995132,0.495336,-2.877373,0.133507,0.6068,-1.652357,-1.613579,clean
-1.676155,1.354799,-0.282468,-0.36592,-0.725573,1.41393,-0.134668,0.834003,clean
-2.118473,-1.914348,-1.256,2.040616,-0.767385,-0.70791,0.592406,0.09043,clean
-1.945868,-1.561904,-1.320053,2.241732,-0.820499,-0.97333,0.577702,-0.267922,clean
-2.33267,1.621324,0.137058,0.073903,-0.944075,-0.885557,-0.634116,-0.274518,clean
-1.073675,0.408428,2.010756,1.222917,0.816488,0.369631,0.470601,-0.560666,clean
-2.010621,-1.648731,-1.286611,0.509924,0.075231,0.039374,0.272273,0.244024,clean
-2.442857,0.995292,0.77819,0.51255,0.10725,-0.758459,0.706813,-0.319219,clean
-2.067015,1.158531,-0.441313,-1.320061,-0.546494,-0.406556,-0.178964,-0.393971,clean
6.868196,-0.284802,-1.155703,-1.180071,0.374837,-1.12086,0.113978,-0.280868,buggy
4.996437,1.800717,-0.765237,-0.650426,0.587172,-0.375947,0.074755,-0.037661,clean
3.393843,2.363286,-0.214386,-1.517194,0.120157,-0.946045,-0.634684,-1.077561,clean
-0.701549,1.042697,0.014012,-1.404545,0.296566,0.234166,-0.151129,-0.318945,clean
-3.021469,0.267688,0.322404,0.356464,-0.174049,0.533829,1.174041,0.269153,clean
0.171863,0.839087,0.073976,-1.185997,1.271161,1.254888,0.722796,0.753575,clean
-2.588622,0.332935,1.484707,1.100184,0.482593,-0.117687,0.696065,0.180497,clean
1.806732,0.443951,-0.983472,0.366628,0.505572,0.237787,-0.530749,-0.347337,clean
-3.221584,-0.417587,0.624619,-0.390668,-1.007649,0.516516,0.158127,0.288068,clean
-1.707903,0.249033,1.324462,0.292721,0.819009,0.239092,0.799334,-0.064833,clean
2.569052,-2.45524,-0.25152,0.439412,-0.002701,2.825323,0.083599,-0.379137,clean
-1.065891,1.358364,-0.394154,-1.221844,0.37602,-0.087502,0.245794,-0.358165,buggy
-3.861603,-1.305588,1.654618,-0.699163,-1.990025,-0.247509,-1.313373,0.368175,clean
-0.084416,2.226305,-0.108059,-0.393185,-0.008475,-1.045857,-2.083233,-0.499266,clean
5.747723,-0.586719,1.530018,2.426639,0.888753,1.446315,-0.519615,-1.574541,buggy
9.83023,0.780344,-2.856679,-2.273348,-0.362599,1.375712,1.29311,1.940931,clean
-0.60445,-0.127858,-1.066273,0.077831,0.205208,0.499438,-0.517998,0.529195,clean
2.380853,-1.825406,-0.458113,0.675997,0.981987,-0.336388,1.699713,-0.438825,clean
6.241421,-0.248196,-1.068749,-0.063393,-0.087037,0.055793,0.278327,-1.00009,clean
-0.17233,-2.054253,-0.890572,1.367107,0.368112,0.93147,0.121213,0.333528,clean
-1.546212,-0.736006,-2.370943,1.600116,-0.824994,-1.425925,0.134804,-0.283337,clean
1.865331,1.708155,0.696088,0.743898,1.891583,0.983096,1.232544,0.600261,clean
-2.598233,1.266052,-0.142273,0.351688,-0.004385,-1.156235,0.250016,-0.146289,buggy
-1.524142,2.108507,-0.401603,0.259621,0.067696,-0.665277,-0.31588,-0.045726,clean
-2.069301,1.229912,-0.741858,-1.335104,-0.925257,0.57121,-0.73549,-0.088756,buggy
-0.355822,-1.403092,-1.84448,0.185644,0.112169,0.376414,-0.866606,0.530263,clean
-2.730745,1.515039,-0.988398,-0.315549,-0.960431,-0.126829,-0.701856,0.693725,clean
4.023497,1.252597,-0.488934,-2.984308,-0.477397,1.837214,-0.233274,-0.428083,clean
-0.505464,-1.978912,-4.034077,-0.58481,-0.284919,-0.447991,-0.676322,0.26056,clean
2.80082,0.182107,-1.365124,-0.812065,0.102656,0.6287,-0.648062,-0.067789,clean
-1.613347,0.599911,-0.023248,-2.027137,0.151973,-0.531815,0.250594,-0.788593,clean
-1.990124,-1.712936,-1.230938,2.504204,-0.406128,-0.670785,0.942006,0.096282,clean
-2.889743,0.722897,-0.859509,-0.87539,-1.055494,0.954408,0.188126,0.723954,clean
6.186439,-1.031345,-2.719956,1.113304,-1.13528,-1.750051,0.85972,-0.495218,clean
-3.730484,-1.05994,1.422199,-0.065747,-0.593272,0.190246,0.695955,0.187073,clean
5.255007,1.203234,1.384755,1.605263,0.984011,0.62223,-0.428551,-1.71209,buggy
4.871468,4.416142,-0.466062,1.985442,1.529392,-1.017456,-0.181203,-0.300836,buggy
-2.781731,0.288966,0.942665,-0.095853,-0.061223,-0.449702,-0.29442,0.049936,clean
-2.836039,1.353514,-0.513615,0.356242,-0.747334,0.022215,-0.357908,0.876289,clean
-1.434429,2.131294,-0.399973,1.167135,0.436542,-1.009427,0.800719,-0.251895,clean
2.0146,-2.01449,-0.490675,1.510132,0.311721,0.70146,0.011438,-0.530516,clean
-0.632074,1.674254,0.462994,0.316842,0.77261,-0.331552,0.167783,-0.254918,clean
-1.08431,0.934312,0.038586,-1.629874,-0.027372,-0.260039,-0.887622,-0.854059,clean
-0.840763,-1.079303,3.080545,-0.033743,2.004738,-0.05912,0.700948,0.171261,clean
2.317091,0.161998,-1.507777,-0.530981,0.138558,1.319507,-1.272516,0.328793,clean
5.192054,1.387168,-0.346699,-0.777979,0.738239,0.065832,0.33116,-0.09221,clean
-2.288139,1.317072,0.335267,0.361547,-0.206279,-0.541196,-0.462696,0.093116,clean
2.715605,0.627512,-0.716799,-1.578497,0.919966,-0.391978,0.754271,-0.103314,clean
31.417975,-1.757458,1.865027,3.005307,-2.413688,5.814563,-5.156631,-2.050306,buggy
-3.151456,0.097736,0.592398,0.460161,-0.612939,0.576125,0.904579,0.352115,clean
-1.122815,1.37116,0.035682,-1.086746,-0.394737,-0.37383,-0.568836,-0.85149,buggy
-0.162118,1.84872,-0.063653,-0.329583,0.159518,0.344172,-0.169518,0.151037,clean
-3.897783,0.634698,1.632961,1.54285,-3.977018,-0.718593,-2.728525,2.09856,clean
-0.023168,-5.030771,0.007481,1.387166,0.853572,-0.220816,0.349411,-0.42394,clean
-0.130444,1.83525,-0.027434,-0.833371,0.090225,-0.734237,-0.878843,-0.826262,buggy
-0.220832,2.247563,-0.794689,0.455381,0.68217,1.767756,0.602557,1.466165,clean
-3.264175,0.267494,0.139469,-0.160466,-0.902267,0.424496,0.782332,0.280702,clean
-3.062555,-0.93551,2.493523,0.892001,0.294161,-0.022807,0.053085,0.355621,clean
-1.337902,2.205361,-0.10244,1.958973,0.628045,-0.63907,0.555991,-0.217574,clean
1.482146,-2.598585,-0.780354,-0.553009,1.061872,1.218609,1.022946,0.252424,clean
-0.348206,1.574277,0.349021,0.236778,0.825782,0.500987,0.14989,0.248491,clean
-1.058219,1.809959,-0.510187,-0.307622,0.901035,0.272222,0.43945,0.568652,clean
-2.803371,0.165828,0.541193,-1.249059,-0.73187,-0.540008,-0.522332,-0.54364,clean
-3.413381,0.073759,0.733794,-0.279056,-1.360806,-1.110301,-1.403932,0.14762,clean
-1.126194,1.701817,-0.743037,-1.134047,0.069644,-0.571956,0.866216,-0.308209,clean
2.086201,2.395123,-0.442454,0.234506,0.766894,1.873549,-0.263571,0.84886,buggy
0.270118,-3.029388,-0.30531,3.044409,-0.851568,0.228471,0.690191,-0.894488,clean
-3.194568,-11.825116,1.467526,-1.234612,3.369254,-0.415029,-4.33188,2.183262,clean
-1.58075,0.719832,-0.156894,-2.111734,0.055191,-0.577725,0.182695,-0.807686,clean
-2.534916,-0.567342,1.289336,-1.731911,0.158391,-0.440104,-0.434032,-0.55915,clean
-3.522842,-0.521079,0.972323,0.065346,-0.975805,0.51924,0.381194,0.563736,clean
11.561129,0.906848,-0.277783,-2.24285,0.92953,-0.626357,0.577306,2.003534,clean
-2.912899,-0.369426,1.650679,0.361913,0.784637,-0.317439,0.93256,0.03666,clean
0.210172,-1.296832,0.345113,-2.399623,0.606706,0.82061,0.256852,-0.528772,clean
-1.606913,1.187577,0.56424,-0.14466,0.305868,-0.817418,-0.6162,-0.443003,clean
30.645355,-0.227111,2.060346,-0.603634,-0.185394,-4.952314,0.243806,4.913835,clean
-1.554256,-1.401232,0.426612,-3.641207,-0.496929,1.77729,-0.771635,-0.279965,clean
11.097878,-1.443812,-0.300118,-2.960115,-2.034941,-0.535293,0.099037,-3.132136,clean
-1.341182,-2.453233,4.02876,-0.291051,0.98435,0.171806,-0.580214,-0.955383,clean
-1.103707,0.781025,1.977248,1.736722,0.470797,0.570479,0.205157,-0.567681,clean
1.326964,0.577447,-2.928665,0.477428,-0.679182,-1.187746,0.824883,-0.603766,clean
-3.726994,0.176083,1.153065,0.648443,-2.67069,-0.320372,-1.615675,1.475957,clean
-3.025062,0.597324,-0.252484,-0.542424,-0.731435,-0.102185,0.325947,-0.091012,clean
-3.344516,-0.364483,0.736016,0.089382,-0.313807,0.556667,1.141671,0.275427,clean
-2.125942,1.924635,-0.966148,0.226483,-0.062251,-0.483616,0.919715,0.323127,clean
-3.214753,-0.046885,-0.039042,-0.793337,-0.986691,0.757786,0.131113,0.475309,clean
-2.162939,1.928552,-0.616507,-0.423187,-1.230079,-0.282263,-1.219464,0.310292,buggy
-3.555963,-0.703776,0.928805,-0.872138,-1.318303,-0.408657,-0.742267,-0.083671,clean
1.652992,-2.322347,-0.940069,1.809945,0.227808,-0.568423,0.092598,-1.353397,clean
-1.591874,1.15291,-1.602533,-2.711149,-1.037669,2.071882,-0.123451,0.624407,clean
-0.727487,-0.284565,-2.956579,-0.149601,-0.081628,0.547807,-0.84962,0.474514,clean
0.877102,-1.545763,0.39495,-1.653065,1.909816,0.830096,1.237792,0.465871,clean
-1.272343,-2.201938,-0.835556,1.025493,0.213744,-0.653899,0.255327,-0.304362,buggy
1.393864,-1.225335,0.080388,0.446521,1.202707,0.99719,0.378178,0.148856,clean
-2.573275,-1.0676,2.453689,0.160687,0.764259,-0.005365,0.390821,-0.116524,clean
-1.852149,1.158152,0.365292,-0.070216,0.526307,-1.03509,0.645847,-0.397827,clean
-1.870028,0.960657,1.038067,-0.10456,-0.476728,-0.7579,-1.751997,-0.168618,clean
-2.618812,1.269446,-0.953505,-0.902949,-1.149342,-0.146527,-0.266873,-0.148725,clean
-2.226325,0.833162,0.840404,0.41522,0.483881,-0.839209,0.291737,-0.281222,clean
-2.189983,1.156552,-0.366239,-1.376147,-0.690094,-0.749744,-0.92827,-0.613699,clean
-1.287842,1.39477,1.010779,0.658944,0.37097,-0.756988,-0.522137,-0.372457,clean
0.553187,-1.533717,-0.511281,-1.243395,-0.290893,1.433284,1.802195,-0.897165,buggy
-3.647599,-6.295995,0.604166,0.579733,-0.209457,-0.283221,-1.167757,1.10321,clean
-1.682815,-1.370695,-1.360113,0.515493,0.657009,-0.829908,0.27265,0.076259,buggy
-3.491838,0.143357,0.359069,-0.50815,-1.899596,-0.114796,-0.784482,0.400187,clean
-3.146333,0.040957,0.034628,-0.619199,-0.518689,0.372441,0.701203,0.10891,clean
-1.030243,-1.215885,-1.249725,-0.763985,-0.364831,-0.103742,0.770948,-0.920961,clean
-4.068363,-1.542524,2.332636,0.54291,-1.994533,0.638013,-0.384823,1.367254,clean
39.004923,-3.039398,6.45496,-2.376787,-5.539212,-2.814602,4.312984,3.921001,clean
-0.602368,2.674323,-0.607125,2.085829,1.382073,-0.62726,-0.088105,0.318764,clean
