@relation 'MW1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-9'

@attribute 0.217LOC_EXECUTABLE... numeric
@attribute 0.376CYCLOMATIC_DENSITY... numeric
@attribute 0.409DESIGN_DENSITY... numeric
@attribute 0.536PERCENT_COMMENTS... numeric
@attribute -0.437ESSENTIAL_DENSITY... numeric
@attribute 0.603LOC_CODE_AND_COMMENT... numeric
@attribute -0.574PARAMETER_COUNT... numeric
@attribute 0.722PARAMETER_COUNT... numeric
@attribute class {buggy,clean}

@data
-1.035923,-1.636714,2.012147,0.52983,0.267773,-0.019962,-1.156511,0.258821,clean
2.460457,3.751295,-1.543597,0.611038,-1.267234,-0.379904,0.634282,1.310635,clean
-3.67635,0.839175,-1.696279,0.181933,1.137718,0.861769,0.620983,-0.625688,clean
-2.161799,-1.0094,-1.592603,2.249889,1.4046,0.551936,-1.27067,-0.404171,buggy
-3.162271,0.720631,-1.594342,0.329984,0.891243,1.438542,-0.182054,-1.019551,clean
2.022303,0.154506,-3.100773,-1.403312,1.509169,0.130197,1.114597,-0.298793,clean
-3.509343,-1.047498,0.115908,0.600452,0.164778,-0.670042,-0.624249,0.530046,clean
-0.410986,-0.542931,-0.647827,2.336134,0.377608,-0.520902,0.401995,-1.461521,clean
4.004686,0.699761,-0.728188,1.260727,0.72859,-0.642381,-0.739079,0.327821,clean
-1.806976,-1.425768,0.324141,0.878448,0.527825,-0.215263,-1.069252,0.048765,clean
-2.910371,-0.829797,0.676812,0.871816,0.739318,-0.00427,-0.665692,0.232198,clean
7.995534,2.980559,1.027563,0.895094,1.034323,-0.993323,1.228209,-0.552076,buggy
5.598321,1.055345,1.897419,0.456126,0.793351,-0.038414,0.526313,-0.769976,buggy
3.517035,-1.21094,0.333151,1.433904,-0.911029,-0.660048,0.287369,-1.133484,clean
-3.215601,-0.690215,-0.352473,-0.836255,-0.378222,-0.830667,0.029793,0.372605,clean
7.21814,-0.098342,-4.852099,-0.816939,1.803013,0.57614,2.113367,0.33845,clean
-4.771606,0.475531,-0.3764,-0.433339,0.233446,-0.205534,1.271355,-0.23629,clean
-3.013696,4.130014,-0.882302,0.308829,-2.600171,-0.680371,-0.301929,-0.204126,clean
-0.062221,-1.0702,-0.402655,-2.099671,-0.476748,0.148275,-0.176266,-0.601275,clean
-4.0907,-0.240981,0.50368,-0.470275,-0.375927,-0.271562,0.761886,-0.447671,clean
-2.050598,-2.336248,1.783041,4.711592,-2.39831,6.14278,3.835155,2.511056,clean
4.553959,0.690988,-2.627195,-1.09869,-1.090364,-1.154602,1.359546,0.448485,clean
-2.404097,1.113872,-2.214811,1.572541,0.745597,-0.071832,0.078914,-0.111809,clean
-2.351009,2.944447,-1.896603,2.186191,-2.440931,-0.677757,-0.367936,-0.777906,clean
-4.400477,0.488098,-0.541228,-0.472506,0.537322,0.008483,-1.40365,1.522654,clean
-3.528677,0.112697,0.91685,-1.0926,0.108379,0.103825,0.560067,-0.467993,clean
-2.157907,0.790799,-0.520033,-1.55454,0.839179,0.115593,0.813568,-0.306458,clean
-3.962867,-0.593124,-0.182242,-0.350702,0.326415,-1.16405,-0.819059,1.624059,clean
-1.170176,1.688114,0.396542,-1.643432,1.126121,1.353475,-0.070864,-0.624969,clean
-2.803015,-0.863675,0.651294,0.595421,0.434337,0.089063,-0.204964,-0.400364,clean
0.533444,-2.032535,1.420558,1.349812,0.090951,0.169548,0.18361,-1.521513,clean
3.63961,-2.819437,-0.924387,5.343202,1.292644,3.564157,-0.290271,-2.029644,clean
-0.597596,-0.523871,-0.66217,-0.361632,0.598404,0.731178,-0.173289,-1.156539,clean
-2.431479,0.125971,0.887533,-0.557529,0.039223,0.738605,0.141141,-0.800177,clean
-4.163578,-0.507198,0.808684,-0.758767,-0.438764,-0.822766,1.020312,-0.333475,clean
-1.21418,-1.888546,-0.310193,2.409653,0.951105,0.209992,-1.527137,-0.792699,clean
-2.251832,-1.122981,1.654517,-0.575647,-0.367605,-0.573353,0.97886,-0.341706,clean
-0.487344,-2.43765,-0.562491,0.237368,-1.369824,-1.025038,1.042178,-0.350992,clean
-3.321423,1.917168,-0.396893,-2.218665,0.857101,0.815735,0.961069,0.185722,buggy
-2.456403,1.215492,-2.400263,-1.698965,1.287499,0.159709,0.52794,0.878275,clean
-4.898229,2.351856,-1.223634,-2.068173,0.49049,0.727604,-0.024632,0.707733,clean
-1.602434,-2.214866,0.425275,0.854913,-0.356808,-1.050824,-1.28187,1.37242,clean
-4.789207,0.170199,0.737972,-1.077246,-0.313891,-0.454315,1.040766,-0.307323,clean
17.834155,-4.42258,-4.656102,-4.716429,-4.916281,2.332153,-0.850696,2.275923,clean
-4.705454,0.634115,0.896291,-1.532391,-0.405674,-0.017556,0.739935,-0.233358,clean
0.727423,1.442544,-1.236627,1.897158,2.454645,-0.409415,-1.720556,1.489559,clean
-2.249623,-1.080448,2.207648,0.064383,-0.219885,0.024731,0.460459,-0.755544,clean
-3.225681,-1.237878,2.385898,0.307286,-0.661176,-0.445525,0.696607,-0.690931,clean
0.138497,-2.183206,2.666717,-0.00546,-0.360853,-0.499504,-0.848106,0.703653,clean
0.648885,0.421023,-1.045143,1.365438,1.765379,-0.040739,-0.57345,0.152756,clean
-2.646269,-1.342568,-1.688436,4.240022,1.836128,0.4831,-2.587555,0.354248,clean
-1.742629,1.090074,-3.31321,-2.080156,0.784574,0.364649,1.118567,0.40885,clean
2.157184,-0.649882,0.554427,2.174025,0.151163,-1.120113,-1.518824,0.832184,clean
-3.18558,-0.893784,0.644761,-0.739755,-0.780357,-0.82576,0.938803,-0.162543,clean
5.525401,2.949219,1.550603,0.133159,2.094414,-0.158708,1.364262,-0.635612,clean
-2.283292,-0.105546,-0.516292,0.430921,1.670343,-0.070076,-0.882411,1.317277,clean
2.386716,-2.163384,0.48406,0.503482,0.597657,-0.041844,-1.544729,-0.19816,clean
-2.424369,3.093582,1.635825,-2.523599,0.139588,2.635678,-0.94909,-0.559726,clean
6.495077,-1.83996,0.015948,-3.704639,-2.001157,1.529712,-2.479254,-0.063159,clean
-3.14177,-0.494148,1.417614,-1.090199,-0.213278,-0.437981,1.023661,-0.252316,buggy
6.274237,-1.960058,0.896994,-3.082675,-1.526168,1.267481,-2.762134,-0.76539,clean
-0.806982,1.454902,0.198604,-1.638287,0.993528,1.24561,0.008597,-0.530272,clean
-4.563441,1.050689,-0.389901,-1.45719,0.302363,-0.008862,-0.764807,1.026591,clean
-3.606406,-0.968694,1.426038,0.21441,-0.284175,-0.603859,0.216047,0.047494,clean
-3.867044,0.090766,-1.476706,-0.43373,0.092534,-0.393597,1.122467,-0.063997,clean
-2.824221,4.052602,-1.033535,0.299949,-2.660032,-0.686433,-0.335873,-0.177251,buggy
-0.569105,0.995868,1.675377,-1.090953,0.89583,1.177739,-0.077619,-0.881231,clean
-2.800225,0.328367,-2.279189,-0.988499,0.622705,-0.020837,0.909979,-0.083835,clean
-4.103883,-0.266898,-0.338971,0.01648,0.096688,-0.213062,-0.069162,0.004888,clean
-2.232151,-1.949154,0.085204,0.002234,-0.521256,-1.638055,-0.03216,1.00597,clean
-3.397311,5.160329,-0.770948,1.900944,-2.100171,0.488459,-1.540256,-0.324241,clean
9.066142,1.976378,0.459291,4.056717,2.714995,-0.647812,-0.91882,-0.261355,buggy
-3.253974,-0.107737,0.019533,-1.303935,0.07559,-0.327774,0.689423,-0.424673,clean
-0.081979,-2.166522,-0.213047,-0.688297,-0.748464,-0.172,-0.472218,0.005143,clean
-2.341827,-0.701447,-1.830905,0.096512,0.845819,-0.369063,-0.605599,0.603068,clean
0.235495,-2.384476,0.817599,0.278345,-1.101723,-0.447316,0.596211,0.667854,buggy
-0.332824,1.596503,0.428049,-0.959065,0.562646,-0.415363,0.87628,-0.241916,clean
7.311949,-0.025382,-1.74424,-4.284689,-1.35113,2.70345,-2.570785,1.349099,clean
-2.67625,-0.45152,-1.011237,-0.106906,0.459978,-0.110867,0.64904,-0.69591,clean
-4.184306,-0.253559,0.352977,-0.065584,-0.215278,-0.070989,0.60432,-0.654935,clean
-0.13499,-1.620398,0.309767,-1.127485,-0.620887,-0.677565,0.988291,-0.098443,clean
-2.61768,0.108708,0.007683,-0.118754,1.105015,0.28939,0.050104,-0.072958,clean
6.574239,-0.173325,-0.121527,0.363694,1.600223,-0.363955,-0.595203,0.253616,clean
-2.059173,-0.388818,1.235718,-1.237642,0.071729,-0.290628,1.034807,-0.227465,clean
-2.109929,1.608736,-0.912,-0.375055,1.398248,1.687596,-1.052938,-0.466436,clean
-1.190318,1.881234,-0.559626,-0.184058,-0.137882,-0.603324,0.658118,-0.292636,clean
-5.364533,2.200595,1.016246,-2.518827,-0.309973,1.043699,0.433503,-0.194685,clean
-2.037556,4.225746,-3.526436,0.546867,-0.92455,-0.96755,-0.818235,1.457373,clean
-2.809499,-0.36765,-1.85368,0.442396,1.296121,-0.132422,-1.199862,1.296855,clean
-5.004858,0.791927,0.349602,-1.487227,-0.175106,-0.095283,0.772614,-0.29092,clean
9.559361,2.729608,1.59003,-0.182052,1.931186,-0.949086,0.321003,2.523131,clean
-3.934162,-0.481579,0.452236,0.13262,-0.040387,-0.245942,-0.083903,-0.051728,clean
-4.14318,-0.356636,0.282478,-0.503549,0.269681,-0.97447,-0.804024,1.722903,clean
-0.608647,-1.010322,2.875708,-0.666768,0.231322,-0.0542,-0.775218,0.930292,clean
-0.665605,-0.345218,0.39624,-1.401571,0.321867,0.504243,-0.072896,-0.835429,clean
4.118517,-2.811465,-1.990923,-0.713264,-1.110589,-0.234793,1.161657,-0.080095,clean
-2.939678,-1.523577,0.432693,1.128223,-0.096266,-0.364505,-0.410725,0.686032,clean
21.19514,0.507337,0.628619,-0.361502,0.898026,0.170612,1.568374,-0.341239,buggy
-2.953243,0.975708,0.077295,-1.890452,0.663309,0.334638,0.629113,-0.240055,clean
-4.3123,-0.500722,1.573609,0.10346,-0.103821,-0.357347,0.286441,0.007445,clean
4.222598,-2.900265,-2.361463,-0.593941,-1.458799,0.779157,-1.799442,-2.080289,clean
-3.485086,1.947594,0.139888,-2.243504,0.805227,0.876652,1.001273,0.167125,clean
-0.464349,-2.094517,-0.12026,-0.155137,-0.443503,-0.837307,0.03912,0.080159,clean
1.787346,1.924601,0.900727,-1.551403,0.951537,0.016636,0.790272,-0.145459,clean
