@relation 'PC3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.226NUM_OPERATORS... numeric
@attribute -0.384NORMALIZED_CYLOMATIC_COMPLEXITY... numeric
@attribute 0.395ESSENTIAL_DENSITY... numeric
@attribute -0.422MAINTENANCE_SEVERITY... numeric
@attribute -0.496DESIGN_DENSITY... numeric
@attribute 0.436HALSTEAD_LEVEL... numeric
@attribute 0.426NORMALIZED_CYLOMATIC_COMPLEXITY... numeric
@attribute -0.794PARAMETER_COUNT... numeric
@attribute 0.558LOC_CODE_AND_COMMENT... numeric
@attribute class {buggy,clean}

@data
0.244384,0.892974,2.201522,-0.680118,1.948079,0.611264,-0.927887,0.91757,0.620642,clean
-1.708557,-1.027172,0.76891,-2.031039,1.95635,1.490806,-0.767937,0.278974,-0.352676,buggy
-0.304131,-2.005039,2.15255,-1.148001,-0.48184,0.232767,-0.56056,0.647757,0.601847,clean
-1.668891,0.608821,-1.249845,-0.209151,-1.045524,0.203172,-0.880517,0.237005,0.139998,clean
-1.449447,-0.726096,1.346549,-2.518135,0.476355,0.900848,-1.767743,0.749202,-0.133772,clean
0.240428,1.796214,-0.235352,1.187371,0.620572,-0.592723,-0.01202,0.915882,-1.124603,clean
-1.433158,0.285704,-0.942327,0.411294,-0.493914,-0.389429,-0.247867,-0.367149,0.036034,clean
1.090402,3.259673,0.63903,1.375942,-2.318525,0.664983,0.029321,1.050148,-0.687072,clean
-1.702107,-0.193459,-0.800409,0.864281,0.685618,0.17466,0.512248,-0.749392,0.385082,clean
1.14681,3.615684,2.76754,0.832892,0.960358,2.112833,0.032829,0.696184,0.561018,clean
-1.931703,-2.452823,1.270336,-2.298471,0.778898,1.313215,-0.577122,0.701226,-0.102047,clean
-2.42609,-1.811623,-1.712448,0.023637,-0.695042,1.751347,1.195074,0.474554,0.24853,clean
-1.409735,0.390511,-1.287096,0.430235,-1.136871,0.696688,-0.198636,0.875179,0.139656,clean
0.093002,1.368116,-0.865255,0.838123,1.156996,-0.885943,0.223732,0.228832,-0.080114,clean
1.938872,-3.868176,3.276315,0.090482,0.440443,0.344147,1.347744,1.847946,-0.724516,clean
17.150888,0.214043,7.164342,3.449992,-4.85338,3.47081,2.093699,-2.109146,-2.403287,clean
-0.836308,-1.340953,1.243844,-1.713675,0.689618,-1.004616,-1.196033,-0.259774,0.403082,clean
-0.122161,0.894317,-0.024748,0.718469,-0.934282,-0.624346,-0.466433,1.136737,-0.380264,clean
-1.594729,0.475685,-1.280662,0.515035,-1.076216,0.905297,-0.278958,0.731312,-0.014075,clean
1.094417,1.096109,0.926138,1.158316,1.705278,0.606928,0.620478,-0.384191,-0.274315,buggy
-0.636691,0.003734,-1.15321,0.217396,0.109801,-1.995907,-0.319713,0.871337,-0.506822,clean
-0.814645,-0.509543,-1.22841,0.831455,-0.89598,-0.040133,0.522805,1.045068,-0.587894,clean
-2.136457,-0.789312,-1.453453,-0.192933,-0.021481,-0.197772,-0.042695,0.128551,-0.302814,clean
-1.392967,-1.483957,-0.767776,0.864038,0.537662,-1.914599,0.583398,0.089208,-0.298744,clean
-0.87159,-1.020162,1.674289,-1.519738,-0.968661,0.546259,-1.367305,0.478515,-0.114899,clean
-0.522563,-0.377862,1.267512,-1.458989,1.387017,-0.181508,-1.20198,0.819378,0.215237,clean
-0.519886,-0.60164,-0.555373,0.878669,-0.336872,-1.656716,0.044359,0.19474,-0.748362,clean
1.528305,2.582281,1.010025,-0.008292,-0.041125,0.847467,-0.229194,0.79459,0.587217,clean
1.447335,2.132157,1.505582,0.235955,1.049988,-0.70922,-0.998125,1.325165,2.669187,clean
-1.441521,-0.511768,-1.387411,0.275857,-0.958964,-0.481264,0.118427,-0.353894,-0.205666,clean
-2.041695,-1.501819,-0.984732,0.202924,0.228914,-0.693431,0.489073,0.487289,0.028288,clean
-1.220563,-2.826204,1.35318,-1.314038,1.051225,-0.784604,-0.122294,-0.252104,0.70795,clean
-2.540649,-7.595339,-1.077486,0.472773,1.303293,1.819439,7.397175,-0.755201,1.537803,clean
-1.963774,0.27757,-1.388919,-0.15051,0.417401,0.179194,-0.384918,-0.200382,-0.317219,clean
-1.070412,-1.409603,2.177817,-2.103004,1.267082,0.200472,-1.251466,0.263362,-0.551333,clean
-2.019714,-3.648281,0.725993,-1.211051,-0.199898,2.298027,1.404681,0.686863,1.515066,clean
0.699793,0.311943,1.71146,-0.518818,1.152089,0.862497,-0.259185,0.839909,-0.248769,clean
-1.158037,-0.273904,1.018536,-1.995688,-1.440203,0.132011,-1.767426,-1.734464,1.553533,clean
-2.228084,-1.603497,-1.362091,-0.142322,0.265716,-0.090051,0.773776,-0.584097,-0.068143,clean
-2.278492,0.841593,-2.021042,-0.098546,-0.141656,2.881327,-0.080023,-0.491851,0.125425,clean
1.595367,3.49528,2.518231,-0.890272,1.175243,1.342241,-0.633708,-0.362965,1.376995,buggy
