@relation arff_xalan-2.4

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute class {buggy,clean}

@data
49,3,2,43,100,1176,34,12,46,1,743,0,1,0.606838,0.122222,3,21,14.142857,16,1.8571,clean
1,1,0,5,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
9,1,0,8,9,36,7,1,9,2,9,0,0,0,0.333333,0,0,0,1,1,clean
11,2,0,2,20,0,1,1,9,0.2,632,1,0,0.590909,0.381818,1,2,56.181818,1,0.8182,clean
2,1,0,1,3,1,0,1,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,clean
15,3,0,55,96,23,0,55,9,0.798319,1308,1,8,0.811594,0.214286,2,3,85.066667,14,3.1333,clean
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,clean
48,1,0,8,106,388,1,7,26,0.895703,2321,0.901961,2,0,0.236702,0,0,46.291667,21,1.8958,clean
4,1,0,67,4,6,67,0,4,2,4,0,0,0,0.583333,0,0,0,1,1,clean
5,3,0,4,17,10,0,4,5,2,74,0,0,0.98,0.466667,2,5,13.8,16,3.8,clean
8,3,0,1,21,28,1,0,7,1.142857,273,0,0,0.857143,0.225,0,0,17.375,2,0.875,clean
14,1,0,15,36,39,3,12,14,0.826923,343,0.75,0,0,0.196429,0,0,22.642857,2,1.0714,clean
2,1,0,2,3,1,2,0,0,1,38,0,1,0,1,0,0,16,2,1,clean
15,1,0,8,25,49,2,6,12,0.833333,139,0.833333,3,0,0.208333,0,0,7.866667,6,1.2667,clean
7,2,0,14,20,0,1,13,7,0,74,1,1,0.5,0.25974,0,0,9.428571,1,0.7143,clean
11,2,4,12,20,0,6,7,11,0.2,88,1,1,0.75,0.227273,1,7,6.909091,3,1.3636,clean
8,2,1,5,17,0,3,2,8,0,47,0,1,0.740741,0.416667,1,1,4.75,1,0.875,clean
2,5,0,6,8,1,1,5,0,2,19,0,0,0.995327,0.666667,1,1,8.5,1,0.5,clean
