@relation arff_xerces-1.2

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute class {buggy,clean}

@data
6,3,3,0,10,0,0,0,6,0,54,1,0,0.85,0.555556,1,2,7.833333,3,1,clean
63,2,3,27,225,793,7,20,42,0.87208,5680,0.896552,6,0.678947,0.152074,2,11,88.698413,6,1.6984,clean
7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818,0.571429,1,6,4.571429,1,0.8571,clean
12,4,0,3,22,66,0,3,12,2,97,0,0,0.895238,0.316667,1,1,7.083333,3,1.25,clean
17,1,0,8,54,134,7,3,5,0.9375,867,0,1,0,0.2125,0,0,49.882353,19,4.7059,clean
10,1,0,22,10,45,20,2,10,1.111111,51,0,0,0,0.3,0,0,0,1,1,clean
7,1,0,1,9,13,1,0,6,1.083333,720,1,0,0,0.25,0,0,100.142857,11,3.5714,clean
4,3,0,6,9,0,1,5,0,0.380952,583,1,0,0.926829,0.40625,1,3,143,1,0.75,clean
18,1,0,6,18,153,4,2,18,2,18,0,0,0,0.4,0,0,0,1,1,clean
35,4,0,3,43,595,0,3,35,2,200,0,0,0.734375,0.308571,0,0,4.714286,1,0.9714,clean
9,1,0,11,26,16,1,10,9,0.875,191,1,0,0,0.333333,0,0,19.666667,2,1,clean
6,1,0,8,12,3,6,2,6,0.763636,90,0,2,0,0.5,1,1,12.166667,1,0.6667,clean
14,1,0,5,50,91,3,2,13,2,486,0,0,0,0.410714,0,0,33.714286,5,3.7143,clean
3,4,0,2,6,3,0,2,3,2,17,0,0,0.979167,0.666667,0,0,4.666667,1,0.6667,clean
49,1,2,22,121,622,2,20,22,0.91572,1192,1,11,0,0.113889,0,0,22.877551,3,1.0408,clean
12,1,0,0,12,66,0,0,12,2,12,0,0,0,0.75,0,0,0,1,1,clean
10,2,0,7,29,35,1,6,6,0.708333,240,1,3,0.363636,0.263889,0,0,22.2,1,0.7,clean
34,2,0,14,74,0,1,14,21,0.672727,2890,1,2,0.179487,0.160839,1,3,83.558824,2,1.0588,clean
4,1,0,0,4,6,0,0,4,2,4,0,0,0,0.5,0,0,0,1,1,clean
17,2,0,5,36,128,1,4,11,2,263,0,0,0.777778,0.192513,1,10,14.470588,6,1.8824,clean
7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818,0.571429,1,6,4.571429,1,0.8571,clean
5,4,0,2,10,10,0,2,5,2,28,0,0,0.959184,0.45,0,0,4.6,1,0.8,clean
18,2,0,7,58,141,1,6,10,0.847751,1937,1,2,0.2,0.189815,0,0,105.666667,4,1.1667,clean
42,1,0,3,66,375,2,1,29,0.780488,1992,1,0,0,0.226481,0,0,46.142857,33,3.1429,clean
5,1,0,6,7,10,6,0,5,2,107,0,0,0,0.35,0,0,20.4,3,1.8,clean
3,4,0,2,7,3,1,2,3,2,19,0,0,0.979167,0.666667,0,0,5.333333,1,0.6667,clean
30,1,0,0,88,177,0,0,24,0.882033,887,0.736842,9,0,0.126667,0,0,27.933333,4,1.2333,clean
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
5,3,2,2,7,10,2,0,5,2,20,0,0,0.944444,0.6,0,0,3,1,0.2,clean
3,4,0,2,6,3,0,2,3,2,17,0,0,0.979167,0.5,0,0,4.666667,1,0.6667,clean
20,1,0,1,29,58,1,0,14,0.547368,547,0.2,3,0,0.31,0,0,26.1,10,3.95,clean
9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111,0.555556,1,6,4.555556,1,0.8889,clean
1,1,0,0,2,0,0,0,1,2,9,0,0,0,1,0,0,3,0,0,clean
10,4,1,6,29,43,3,4,9,0.944444,115,0.5,0,0.890244,0.325,1,6,10.3,6,1.5,clean
45,2,0,13,63,862,3,10,16,0.89678,962,0.875,6,0.463415,0.119298,1,5,19.844444,5,1.5556,clean
18,1,0,0,19,153,0,0,18,2,40,0,0,0,0.285714,0,0,1.222222,1,0.9444,clean
22,1,0,6,39,89,1,5,12,0.703297,1528,0.692308,4,0,0.232143,0,0,67.863636,24,4.6818,clean
3,4,0,2,6,3,0,2,3,2,17,0,0,0.979167,0.5,0,0,4.666667,1,0.6667,clean
1,4,1,0,2,0,0,0,1,2,11,0,0,1,1,0,0,7,0,0,clean
2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
2,1,0,22,2,1,22,0,2,2,5,0,0,0,0.6,0,0,0,1,1,clean
15,1,0,0,15,105,0,0,15,2,15,0,0,0,0.488889,0,0,0,1,1,clean
4,1,0,3,9,2,3,0,2,0.666667,395,1,0,0,0.5,0,0,97.25,1,0.5,clean
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.75,0,0,0,1,1,clean
3,4,0,2,6,3,0,2,3,2,17,0,0,0.979167,0.666667,0,0,4.666667,1,0.6667,clean
53,1,0,29,143,1146,10,20,20,0.906177,6637,0.090909,6,0,0.192308,1,1,123.603774,147,13.3585,clean
1,1,0,3,1,0,1,2,1,2,1,0,0,0,1,0,0,0,1,1,clean
2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
9,2,0,6,19,0,2,4,1,0.625,120,1,0,0.5,0.388889,1,2,12,2,1,clean
5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488,0.6,1,4,4.6,1,0.8,clean
12,1,0,3,22,0,3,1,6,0.530303,332,0,0,0,0.35,0,0,26.166667,8,2.75,clean
7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818,0.571429,1,6,4.571429,1,0.8571,clean
10,1,0,7,16,0,6,1,1,0.066667,471,0,0,0,0.566667,0,0,45.6,7,2.8,clean
18,2,0,7,54,141,1,6,9,0.891176,1405,0.15,2,0.2,0.189815,0,0,75.944444,4,1.1667,clean
1,4,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,clean
35,1,0,0,35,595,0,0,35,2,35,0,0,0,0.371429,0,0,0,1,1,clean
19,1,0,0,19,171,0,0,19,2,19,0,0,0,0.438596,0,0,0,1,1,clean
10,2,0,6,39,37,1,5,7,0.709877,967,1,2,0.333333,0.285714,0,0,93.9,1,0.8,clean
14,1,0,0,15,81,0,0,14,0.876923,75,1,0,0,0.392857,0,0,4,1,0.7143,clean
10,1,0,4,21,0,2,2,10,0,93,1,0,0,0.533333,0,0,8.2,2,1.1,clean
4,2,0,2,8,4,0,2,2,0.666667,31,1,1,0.666667,0.5,0,0,6.5,1,0.5,clean
8,2,0,2,32,10,1,2,7,1.040816,223,0.214286,0,0.588235,0.46875,1,1,25.125,6,1.5,clean
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
45,1,0,23,108,602,7,17,16,0.942776,2550,0.071429,15,0,0.15303,0,0,54.422222,2,1.0222,clean
1,1,0,16,1,0,16,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
8,1,0,2,8,28,1,1,8,2,8,0,0,0,0.5,0,0,0,1,1,clean
9,4,0,3,12,36,0,3,9,2,50,0,0,0.911111,0.555556,1,4,4.555556,1,0.8889,clean
