@relation arff_tomcat

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute class {buggy,clean}

@data
2,4,0,4,5,1,1,0,2,2,36,0,0,0.97561,0.666667,1,1,17,1,0.5,clean
11,2,0,1,25,35,0,0,11,0.65,283,1,0,0.411765,0.318182,0,0,24.363636,2,1.1818,clean
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
3,2,0,6,9,1,2,0,3,0,35,1,0,0.666667,0.555556,1,1,10.333333,1,0.3333,clean
2,4,0,4,6,1,1,0,2,2,33,0,0,0.97561,0.666667,1,1,15.5,1,0.5,clean
6,1,0,4,12,3,3,0,6,0.2,40,1,0,0,0.583333,0,0,5.5,1,0.8333,clean
37,3,0,8,97,508,2,0,21,0.895425,981,1,3,0.619565,0.242063,2,3,25.054054,11,2.7568,clean
2,1,1,0,3,1,0,0,2,2,5,0,0,0,1,0,0,1.5,1,0.5,clean
2,5,0,2,5,1,0,0,2,2,11,0,0,0.985507,1,1,1,4.5,1,0.5,clean
7,1,0,9,36,0,1,0,5,0.416667,181,0.5,0,0,0.444444,0,0,24.571429,1,0.7143,clean
6,1,0,2,7,7,2,0,6,0.7,29,0,0,0,0.75,0,0,3.5,1,0.8333,clean
11,1,0,2,23,15,1,0,11,0.7,167,0,1,0,0.318182,0,0,13.727273,2,1,clean
3,2,0,2,4,0,2,0,3,0,31,1,0,0.894737,0.444444,0,0,9,2,1,clean
7,3,0,35,12,11,35,0,7,0.166667,77,1,0,0.85,0.52381,1,2,9.714286,4,0.8571,clean
5,1,1,0,6,10,0,0,5,2,8,0,0,0,0.533333,0,0,0.6,1,0.8,clean
3,2,0,3,9,1,1,0,2,0.5,59,1,1,0.75,0.555556,0,0,18.333333,2,1,clean
8,2,0,0,35,28,0,0,7,2,343,0,0,0.5,0.525,0,0,41.875,6,1.75,clean
13,1,0,12,25,40,12,0,13,0.923611,265,0.083333,1,0,0.369231,0,0,18.461538,5,1.4615,clean
4,4,0,0,8,6,0,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
6,1,0,2,22,0,0,0,5,0.666667,161,1,1,0,0.444444,0,0,25.333333,8,2,clean
2,2,0,4,10,1,1,0,2,2,45,0,0,0.916667,0.666667,1,1,21.5,1,0.5,clean
14,5,0,2,34,29,0,0,14,0.769231,263,1,0,0.839506,0.47619,1,1,17.357143,1,0.9286,clean
1,1,0,20,1,0,19,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
4,1,0,8,6,0,7,0,3,0.333333,24,1,1,0,0.333333,0,0,4.75,2,1,clean
5,3,0,5,10,0,2,0,5,2,38,0,0,0.906977,0.55,0,0,6.6,1,0.8,clean
2,1,4,8,3,1,6,0,1,2,5,0,0,0,0.75,0,0,1.5,1,0.5,clean
6,2,0,3,27,13,1,0,6,0.4,139,1,0,0.846154,0.4,1,1,21.833333,1,0.3333,clean
2,5,0,2,5,1,0,0,2,2,11,0,0,0.985507,1,1,1,4.5,1,0.5,clean
15,2,0,10,61,63,0,0,13,0.785714,488,1,1,0.759259,0.714286,0,0,31.333333,3,1.4667,clean
1,3,0,1,2,0,0,0,1,2,4,0,0,1,1,0,0,3,0,0,clean
28,2,2,0,29,374,0,0,27,1.007407,48,0.4,0,0.325,0.171429,0,0,0.535714,1,0.9643,clean
10,2,0,4,27,3,1,0,10,0.4,245,1,1,0.733333,0.4,1,2,23,3,0.6,clean
2,1,0,2,4,1,2,0,1,1.875,20,0,0,0,1,0,0,5,0,0,clean
5,1,0,7,17,0,0,0,2,0.416667,79,1,2,0,0.625,0,0,14.2,3,1.4,clean
8,2,0,4,23,16,1,0,8,0.428571,165,1,0,0.733333,0.46875,1,1,19.25,1,0.5,clean
3,1,0,5,18,3,1,0,2,2,104,0,0,0,0.5,0,0,33.666667,4,1.6667,clean
7,5,0,2,37,15,0,0,5,0.833333,259,1,0,0.942857,0.4,1,1,35.714286,12,2.8571,clean
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
32,4,0,1,63,478,1,0,29,0.387097,223,1,0,0.62963,0.139785,2,9,5.875,2,1,clean
2,1,0,0,2,1,0,0,2,2,4,0,0,0,0.75,0,0,0,1,1,clean
5,1,0,5,21,10,1,0,4,2,129,0,0,0,0.52,0,0,24.8,1,0.8,clean
1,1,0,0,2,0,0,0,1,2,14,0,0,0,1,0,0,3,0,0,clean
2,4,0,4,6,1,1,0,2,2,25,0,0,0.97561,0.666667,1,1,11.5,1,0.5,clean
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
119,1,0,8,121,6959,1,0,118,0.978814,398,1,2,0,0.086241,0,0,2.277311,1,0.9748,clean
19,1,0,22,41,63,20,0,17,0.5,378,0.666667,1,0,0.357895,0,0,18.736842,5,1.9474,clean
4,1,0,2,7,0,1,0,4,0.75,33,0.5,4,0,1,0,0,6.25,1,0.75,clean
4,1,0,2,5,0,0,0,4,0.333333,18,1,1,0,0.5,0,0,3.25,1,0.75,clean
