@relation 'ar3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute -0.229total_operators... numeric
@attribute 0.441normalized_cyclomatic_complexity... numeric
@attribute 0.441decision_density... numeric
@attribute -0.485formal_parameters... numeric
@attribute -0.649formal_parameters... numeric
@attribute class {buggy,clean}

@data
-6.692089,-1.30097,1.412784,-0.468638,1.878895,buggy
3.458198,1.062584,-0.586474,1.461048,-0.39502,clean
-9.070152,2.514708,-0.988161,-0.316721,1.920528,clean
3.52222,-0.719212,-1.644959,0.679922,0.38984,clean
3.571882,-0.4249,-1.560344,0.707644,0.247572,clean
3.498945,-0.616788,-1.385628,0.587388,0.275112,clean
4.065653,-0.47722,-2.475699,2.274404,0.152013,clean
2.057429,0.435468,0.604303,-1.751973,-1.039929,clean
2.109836,0.497858,1.225759,-1.226691,0.233834,clean
3.425469,-1.54949,-1.304038,-0.284749,-0.726023,clean
2.669712,0.071728,0.603066,-2.485765,-2.258753,clean
3.364029,-0.702928,-1.105071,-1.610269,-2.27065,clean
2.046817,0.820535,0.477207,-0.886589,-1.310274,clean
-0.918598,0.657345,0.683766,0.192416,0.397753,clean
-5.861242,-3.764466,3.204316,0.968664,-1.109338,clean
0.739159,0.396056,0.679441,-0.380738,0.439253,clean
-0.562495,-0.930333,1.526158,-0.12812,0.050195,clean
2.608075,-4.06017,-0.049559,1.596299,0.95847,clean
1.787579,-2.373587,-0.38669,0.3096,0.777559,clean
3.326749,-1.402321,-1.127088,1.557395,0.399685,clean
-5.352323,-6.573567,4.314119,1.831565,-1.749792,clean
1.485198,-0.767947,0.520894,-0.656302,0.401727,clean
3.363339,-0.730115,-1.532343,-0.848025,-0.80947,clean
3.35424,-0.748009,-1.535802,-0.86186,-0.798605,clean
2.729106,-0.611699,-1.063768,-2.355737,-2.118117,clean
0.89546,0.43111,0.153457,-0.560216,0.235864,clean
0.920607,0.73138,-0.025883,-0.168988,0.18098,clean
0.169782,0.505049,0.296774,-0.751975,0.738253,clean
-0.955618,-0.034654,1.430582,-0.127035,0.739316,clean
2.191356,-2.161047,0.897261,0.56532,0.490554,clean
2.253008,1.006964,1.307653,-1.070039,0.158365,clean
-0.326403,-0.98487,0.727017,-0.32257,0.972477,clean
-0.511316,-0.387645,0.889525,-1.118709,0.815608,clean
-0.121902,-0.481362,0.605593,-0.517404,0.686782,clean
1.437441,-1.086968,-2.026805,-0.431921,1.66148,clean
2.885708,-1.036721,-2.598429,0.406645,0.679283,clean
2.300809,4.238138,1.67887,3.275688,-1.405099,clean
-0.648401,0.043227,1.182048,0.019376,0.777108,clean
2.639299,-2.297301,-0.941873,0.560574,0.985284,clean
3.027185,-1.401027,-1.073331,0.344365,0.732487,buggy
2.043289,1.045977,0.764436,-1.432189,-1.089656,clean
2.592064,2.754113,1.283268,1.82379,-0.885112,clean
2.343482,0.292007,0.110706,-0.353499,0.30699,clean
3.19421,-0.099245,-1.246515,-0.429893,-1.044424,clean
-2.892727,2.338262,-0.237668,0.485085,0.591545,clean
-0.923696,2.713013,0.675728,0.924477,0.107755,clean
1.385625,0.343258,0.493596,-0.728322,0.473459,clean
3.485196,0.068271,-1.190349,0.976727,0.118803,clean
3.604078,0.28576,-1.400545,1.194331,0.016516,clean
-4.054669,1.177345,0.649638,-0.94479,0.45955,clean
1.768851,0.458677,0.109703,-0.709098,0.301837,clean
-13.086652,0.261442,-1.752174,0.578313,-0.450303,buggy
0.98323,1.04201,0.549456,-0.005073,-0.022277,buggy
-5.158087,1.145784,0.18545,-0.825397,1.619621,buggy
-3.061023,1.212204,0.936165,-0.464664,0.549756,clean
2.540571,1.704066,0.776868,0.698751,-0.281111,clean
-1.256305,1.549595,0.310468,-0.207419,0.204658,clean
-18.902996,-0.362737,-4.682401,0.70833,-2.289731,buggy
-6.369468,1.723592,0.410085,-0.443146,0.150894,buggy
-1.757898,1.222571,0.679379,-0.708796,0.419783,clean
-1.404275,0.475465,0.19351,-0.992811,0.693967,clean
2.150858,3.870988,1.532672,2.692305,-1.320356,clean
-8.107413,-1.009253,-0.160126,0.155706,-1.01737,buggy
