@relation 'ar4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-7'

@attribute -0.23total_operators... numeric
@attribute 0.418decision_density... numeric
@attribute 0.412cyclomatic_density... numeric
@attribute 0.563design_density... numeric
@attribute -0.813formal_parameters... numeric
@attribute 0.814code_and_comment_loc... numeric
@attribute class {buggy,clean}

@data
-0.813129,1.236148,-1.338751,0.56795,0.809676,-0.298862,clean
0.996249,1.380346,-1.025,0.533965,-0.372351,-0.223819,clean
1.578554,1.130439,-1.701289,1.263288,-1.483854,-0.453786,clean
-0.275787,0.980857,-0.247661,-0.920876,0.24427,0.084425,clean
0.934991,0.753559,0.763619,-0.98822,-0.069179,-0.071572,clean
1.704224,1.654485,1.092004,-0.950422,0.004239,0.354978,clean
0.602627,1.4014,0.453054,-0.776891,0.137046,-0.027235,clean
0.787292,0.932069,-1.228304,0.462239,-0.487519,-0.436403,clean
1.090104,0.070539,-1.510409,-0.073693,0.572629,-0.362576,clean
-0.703739,-0.222426,-1.894011,0.747438,0.598945,-0.524696,clean
-0.292439,1.201064,-0.855515,0.025189,0.629533,-0.367531,buggy
1.088564,-0.776848,0.187367,1.461324,0.883684,0.484865,clean
-16.308586,-1.178925,3.659491,-0.43203,-0.654716,-0.247305,clean
-29.418615,-4.333304,3.058597,0.094721,-2.639357,1.526338,buggy
-3.069576,-0.293469,-0.485265,1.218937,1.116009,0.064128,buggy
2.297998,1.166922,0.748675,-0.975365,0.164364,0.354034,clean
0.93067,0.208088,0.489742,0.792976,0.650106,0.550321,clean
-3.041346,1.372329,0.294455,-0.85362,0.444682,-0.295413,clean
2.125142,-1.824296,0.249178,0.722543,0.342666,0.069432,clean
-0.470311,0.11904,0.636912,1.141019,0.98968,0.722432,clean
-0.263476,0.005827,-1.198197,1.139621,1.163286,-0.083559,buggy
1.463336,-0.166779,2.237658,0.130181,0.192925,0.88723,clean
-6.721198,-1.100906,-0.029383,2.405946,1.483552,1.115775,buggy
1.445406,0.029345,1.076971,0.596949,0.600036,0.739497,clean
-2.831349,0.795431,0.232057,-1.257679,0.236361,-0.538463,buggy
2.388817,1.128198,0.766795,-0.719504,-0.02747,0.304372,clean
3.519736,-2.971598,1.648085,0.118897,-0.144711,-0.390623,clean
3.615244,-2.007674,1.891079,-0.895978,-0.53686,-0.393313,clean
3.355346,-3.152717,1.104006,0.286893,0.006182,-0.489239,clean
1.79778,0.592392,0.558377,-0.535681,0.132688,0.209588,clean
3.585802,-1.973753,1.955086,-0.84197,-0.595808,-0.404045,clean
-0.285593,-3.430541,-2.510875,-0.704171,0.35699,-1.539344,clean
3.106191,-5.082581,2.434754,3.245574,1.209422,0.368941,clean
1.390942,-3.278423,-1.507902,-1.057676,-0.747122,-1.417507,clean
-0.95467,-3.826894,-3.340117,-1.346185,0.33195,-1.512494,buggy
1.502751,-2.84818,1.230505,2.756076,1.372061,0.937946,clean
2.232403,-1.135026,-0.506534,-0.325229,0.044239,-0.687366,clean
1.722458,-0.713266,-0.224878,0.564618,0.586406,0.138633,clean
-0.142894,-1.203404,0.849666,1.834227,1.042308,0.854588,buggy
3.048414,-1.732419,-0.108515,-1.02418,-0.391405,-0.850409,clean
-4.125789,1.590354,-1.074038,-0.186176,0.732623,-0.764216,buggy
-0.286498,2.329955,0.217539,-0.551982,0.542958,0.207051,clean
1.073409,0.101029,-0.894974,0.312586,0.622456,0.224186,clean
1.035436,-1.130055,-0.6836,0.862507,0.982178,0.049376,clean
2.744408,1.924673,2.2764,-1.536658,-0.2583,0.813629,clean
2.075728,1.189342,-0.934741,1.644812,-3.705408,-0.370598,clean
-6.946419,0.952384,0.253701,0.081964,0.638883,-0.740005,clean
3.021979,-1.756457,-1.011842,0.446165,-3.365947,-0.923045,clean
3.456575,-2.174621,1.28522,-0.575669,-0.440774,-0.513252,clean
2.75779,0.679344,1.457596,-0.470497,-0.051366,0.518236,clean
3.478572,-2.85983,1.708884,0.03958,-0.112124,-0.3475,clean
2.601394,-2.670824,-0.942011,-0.884827,-0.138629,-1.259281,clean
3.389265,-1.922342,0.597459,-1.221466,-0.657887,-0.830541,clean
1.437346,-0.554402,-0.587011,-0.710819,0.354171,-0.334752,clean
2.675889,1.021,1.462661,-0.485799,-0.035582,0.630557,clean
2.157326,1.439278,1.16184,-0.71145,0.034704,0.579536,clean
-1.093364,2.896396,1.420933,-1.707077,0.271831,0.289136,clean
0.121137,1.338951,-0.287046,-0.723722,0.463367,-0.107251,clean
2.337312,0.797671,0.572388,-0.833155,0.110544,0.205161,clean
2.565276,-1.399235,1.165597,1.455601,0.824653,0.724694,clean
1.54967,0.420326,0.724331,0.201632,0.60981,0.547872,clean
-9.127634,1.587022,-1.706921,-0.117654,0.831038,-1.162724,buggy
0.622794,-0.093873,-0.501476,-0.064084,0.533125,0.302657,clean
3.057398,0.426087,1.298384,-1.08885,-0.224019,0.33462,clean
-6.383,0.573758,-0.452773,-0.04991,1.060904,-0.559292,buggy
2.87669,-0.253798,0.727273,-0.716042,-0.212407,0.017238,clean
3.381085,-2.569291,0.953437,-0.555056,-0.322515,-0.662313,clean
0.393435,0.213322,0.151868,-0.150164,0.461339,-0.056076,clean
1.05831,2.427654,-1.098228,1.686185,-2.465762,-0.139046,buggy
1.681101,-1.596954,-1.001905,3.274318,-2.118165,-0.57455,clean
-0.876983,1.67075,-1.438007,1.785819,1.584202,0.714479,buggy
1.606915,1.994215,-0.359537,1.433422,0.115001,0.854058,clean
1.647214,-1.332783,-1.234424,0.595451,0.483227,-0.822037,clean
1.493782,2.049372,-0.656027,1.441578,-2.647776,-0.009822,clean
0.736635,-3.84963,-4.455126,-2.683599,-1.111775,4.566344,clean
-0.279877,-2.446297,-4.655387,-1.579904,-0.304768,5.328969,clean
3.336486,-0.420918,2.413401,-1.041067,-0.516646,0.088468,clean
2.247194,3.370189,0.766009,0.734156,-1.602551,1.091279,clean
2.689826,-2.620921,-0.801754,-0.997533,-0.201744,-1.180104,clean
0.952264,1.65956,-0.368693,0.192863,0.607575,0.170287,buggy
1.304266,1.414927,0.088427,-0.090438,0.454369,0.235358,buggy
-0.957596,1.244112,-0.610007,-0.138013,0.565731,-0.348955,clean
-1.388164,0.852005,-0.058484,-0.673689,0.443836,-0.493918,clean
-0.426072,1.947671,0.026833,-0.727419,0.285247,0.018834,clean
-7.991089,0.700476,-1.10904,-1.37832,-0.444589,-0.981879,buggy
2.942319,0.36592,1.195888,-0.78738,-1.80415,-0.340923,clean
1.234154,2.345666,0.618038,-0.328172,-0.950946,0.220037,clean
2.921625,-1.506373,1.493272,0.428118,0.141395,0.322769,clean
0.948516,0.447666,0.238009,-0.092864,0.487167,0.105941,clean
-1.573072,0.547474,-0.222069,-0.133296,0.917793,-0.194148,clean
-2.260234,0.840415,-0.265001,-0.140675,0.820353,-0.259368,clean
-2.085293,1.085793,0.356979,-0.281106,0.148302,-0.241137,clean
-0.247349,0.732034,0.54653,-0.336729,0.514053,0.083586,clean
-1.410168,1.054797,-1.409849,2.257959,-1.950925,-0.464176,clean
-7.092319,0.883367,-1.361077,0.524573,0.793527,-1.002211,buggy
-9.890084,0.761173,-1.626382,-0.671175,-0.345102,-0.757356,buggy
-1.05212,0.755952,0.114609,-1.078003,0.22308,-0.508086,buggy
-0.498603,1.373274,0.522752,-0.507673,0.563901,0.073179,clean
-2.796948,1.251841,-0.627869,-0.709503,0.580401,-0.555126,clean
2.042313,-0.376523,0.481437,0.255867,0.542132,0.303294,buggy
2.091964,-2.888481,-1.392345,-0.868985,-0.078447,-1.333642,clean
1.530601,2.783533,-0.149227,0.853486,-1.584592,0.160984,clean
0.452746,1.087848,-1.231913,0.137733,0.595707,-0.266879,clean
0.524611,0.527732,0.106171,-0.336838,0.305578,0.028258,clean
2.017413,3.117588,-0.068891,1.144689,-1.353647,0.810894,clean
-1.284449,1.751811,-1.369462,0.717243,0.782644,-0.497035,clean
3.084622,0.992849,2.337745,-1.01607,-0.218838,0.828315,clean
