@relation 'ar6-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute -0.262total_operators... numeric
@attribute -0.367halstead_level... numeric
@attribute 0.523design_density... numeric
@attribute -0.49decision_density... numeric
@attribute 0.802formal_parameters... numeric
@attribute class {buggy,clean}

@data
2.773536,-0.123383,0.151409,0.004334,-0.082275,clean
1.723199,0.136682,-0.299013,-0.083733,0.11341,clean
0.235656,0.319438,-0.713494,-1.375818,-0.479119,clean
-6.890456,2.130966,-2.903389,-1.960849,0.580834,clean
1.307252,0.528796,-2.631343,-1.708372,0.533476,clean
2.715388,0.16425,-0.041333,-0.195457,-0.89307,clean
2.95709,0.043576,0.472807,0.535519,-0.525235,clean
-1.516752,0.467122,-1.489298,0.39468,-0.880205,clean
-1.16283,0.288763,0.557141,-1.404148,-0.083891,buggy
3.399893,-0.023888,1.226039,0.59426,-0.338998,clean
3.293478,-0.023409,-0.078773,0.471309,-0.332215,clean
3.256637,-0.051144,-0.030097,0.420953,-0.33204,clean
0.43925,0.294836,-0.039995,-0.045077,-0.856009,buggy
2.641098,-0.122527,1.139201,0.235817,-0.002753,buggy
3.399893,-0.023888,1.226039,0.59426,-0.338998,clean
1.894238,0.30502,-1.855328,-0.276124,1.67344,clean
1.386882,0.131816,0.089155,0.037095,1.934037,clean
1.994065,0.082737,0.025382,-0.261123,-0.858148,clean
3.376193,-0.042604,0.443754,0.380777,-0.413308,clean
1.612486,0.08454,2.118557,-0.315159,0.525299,clean
1.727448,0.154834,-0.835134,0.010008,2.161659,clean
1.207304,0.014072,4.475923,-0.191795,0.748021,clean
0.515283,0.343906,-1.434028,-0.027545,1.235166,clean
-2.414428,0.859355,0.0876,0.309493,-0.607996,clean
2.926435,0.253137,-1.194201,-0.329018,-1.223542,clean
0.834815,0.096856,0.026499,0.5439,-0.923218,clean
-7.290364,1.281874,-2.136152,1.881435,0.993148,buggy
-0.723573,0.215486,-0.959393,0.819018,-1.303571,clean
-8.671448,1.560479,0.369622,1.486083,-1.300146,buggy
0.691183,-0.241378,0.594404,0.726794,-1.479998,buggy
0.019682,0.615714,-1.820192,-0.206435,-1.297941,buggy
1.842532,0.321291,-1.294494,0.244924,-1.464853,buggy
-10.20943,1.291835,-0.759915,2.972504,0.38038,clean
-0.815122,0.306979,-0.835716,0.617283,-1.312718,clean
-5.195658,1.080732,0.019895,0.134326,-0.729282,buggy
3.06914,-0.052724,-0.123703,0.331746,-0.246308,clean
3.244303,-0.03704,0.536664,0.493319,-0.293783,clean
-1.018344,0.357921,-0.918502,0.062178,-0.895281,clean
2.447094,0.103445,-0.677848,-0.150748,-1.471989,clean
1.988151,0.285165,-0.689688,-0.519279,-0.97976,buggy
1.78336,0.188269,-0.465505,-0.076094,0.075873,clean
-0.423669,0.436952,-1.592072,-1.260455,-0.389363,clean
-0.319745,0.404454,-1.469612,-1.809066,-0.160901,clean
0.927601,0.568456,-2.064487,-1.325346,-1.042887,clean
3.512254,0.068897,-0.97365,0.835943,1.18645,clean
3.512254,0.068897,-0.97365,0.835943,1.18645,clean
3.027361,-0.102295,0.719365,0.495153,-0.170293,clean
2.90385,-0.105297,0.174317,0.476981,-0.149276,clean
1.39044,0.149273,-0.396182,-0.186659,0.252369,clean
0.778205,0.282668,-1.251253,1.349813,0.419752,clean
0.778205,0.282668,-1.251253,1.349813,0.419752,clean
-0.759583,0.684209,-2.043667,-1.148835,-0.878887,clean
-3.559655,1.164202,-1.138427,-2.286476,0.452077,clean
2.167952,0.335665,-1.443944,-0.719864,-1.12088,clean
3.512254,0.068897,-0.97365,0.835943,1.18645,clean
3.512254,0.068897,-0.97365,0.835943,1.18645,clean
