@relation 'ar5-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute -0.226total_operators... numeric
@attribute '0.43 normalized_cyclomatic_complexity...' numeric
@attribute 0.494decision_density... numeric
@attribute -0.462formal_parameters... numeric
@attribute -0.712formal_parameters... numeric
@attribute class {buggy,clean}

@data
-0.008816,-2.954513,4.283601,0.51341,0.964917,clean
3.331737,0.21651,-1.190017,-0.27336,-0.813265,clean
2.115222,1.525097,0.180985,0.317829,0.475985,clean
-17.598251,-1.86794,-2.870758,0.749836,-1.397623,buggy
3.762748,-0.801758,-1.657791,0.549564,0.414221,clean
3.779908,-0.219712,-1.700067,0.554486,0.45534,clean
3.747276,-0.607824,-1.457407,0.43611,0.322048,clean
4.203036,-0.713652,-1.920572,2.371911,-0.254627,clean
2.191762,0.399442,0.444078,-1.685476,-0.596975,clean
2.331059,0.424442,0.784265,-1.266053,0.998304,clean
3.794917,-2.726785,-0.52043,-0.170016,-1.711367,clean
2.893411,-1.007769,1.700816,-1.927301,-2.056816,clean
3.625578,-0.972946,-0.675245,-1.551161,-2.553348,clean
2.039824,0.687957,0.793831,-0.550341,-1.311917,clean
0.451969,-0.006567,-0.006086,-0.777785,1.166173,clean
-1.652728,0.695609,-0.098652,-0.790845,0.260875,clean
-2.769345,-2.224955,1.70492,0.105985,0.977364,buggy
2.55382,-1.144681,-2.483522,0.067433,1.439223,clean
3.160432,-0.750186,-2.553648,0.584164,1.124831,clean
0.603719,-1.562981,2.230095,1.105201,0.347573,clean
3.122745,-4.031276,-0.146752,0.696375,-0.66246,clean
1.230728,1.358564,0.066059,-0.464675,0.502583,clean
1.636842,4.36627,1.524236,3.16087,-1.83995,clean
2.473623,0.329522,-0.103208,-0.254804,0.640128,clean
-4.306652,1.225587,-0.374263,-1.227073,0.722501,clean
1.903174,0.662888,-0.507095,-0.801455,0.77005,clean
-6.413419,-2.036626,1.924727,1.088704,-0.06775,buggy
0.396578,1.21148,1.308774,0.656079,0.283882,clean
-4.296745,0.338768,0.263601,0.071506,0.453407,buggy
-3.615451,0.251715,1.543147,0.026079,0.454615,buggy
2.506131,2.389902,0.671683,1.154405,-0.352424,clean
-3.675828,1.78895,-0.372818,-0.020397,-0.074805,clean
-6.745088,0.444616,-0.372444,-0.383174,0.641336,buggy
-5.33266,2.269291,-0.438778,-0.809077,-1.029578,clean
-2.287345,1.296682,-0.034109,-0.750592,0.59465,buggy
0.846089,1.746882,0.058844,-0.506362,0.7129,buggy
