@relation 'ar1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-7'

@attribute 0.235total_operators... numeric
@attribute -0.422design_density... numeric
@attribute 0.498halstead_level... numeric
@attribute -0.473code_and_comment_loc... numeric
@attribute 0.797formal_parameters... numeric
@attribute -0.63blank_loc... numeric
@attribute class {buggy,clean}

@data
-2.824564,-0.433737,-0.423295,0.286387,-0.342886,0.532215,clean
-2.136997,-0.045622,-0.852115,0.726507,-0.372643,0.29284,clean
0.368536,-0.06278,-0.93763,-3.515314,0.769248,1.554868,clean
4.098961,1.981646,-0.713712,-0.898276,-0.335847,0.053533,buggy
-2.857129,0.059957,-0.063837,-0.338888,-0.560276,-0.209658,clean
-3.136333,-0.243445,0.957055,0.335953,-0.162384,0.229441,clean
1.404731,1.027569,-0.748086,0.11155,-1.158078,0.038091,clean
1.434809,-0.074904,-0.196473,-0.480508,-1.07371,-0.16116,clean
-0.650166,-1.472515,-0.832259,0.390056,-0.855425,0.048753,clean
-2.112582,0.998255,-0.497826,-0.807944,-0.480239,-0.355542,clean
-3.858389,0.588612,0.849392,0.127361,-0.038158,0.369073,clean
-2.198108,0.550375,-1.103161,0.59132,0.616973,-0.601044,clean
-2.434001,0.561336,-0.648674,-0.527472,-0.512705,-0.217078,clean
3.294833,-0.896335,-0.587744,-0.164889,-1.119977,0.170224,clean
-1.903731,0.171167,1.026974,-3.222927,0.968115,1.171544,clean
-1.609418,0.448211,-1.61473,1.302301,1.185034,-0.269507,clean
-1.123637,-1.059723,-0.953388,1.629431,1.09404,-0.13928,clean
-1.912626,-0.369556,-0.382946,0.066098,-0.737467,-0.312908,clean
-1.695169,-2.660108,0.066096,1.777697,-0.57798,0.528727,buggy
-1.554391,-0.331825,-1.78009,1.767671,1.036307,0.16322,clean
-3.0635,-2.329447,0.910702,1.384288,-0.569125,0.753003,clean
-2.182926,0.319497,-1.434053,0.300446,0.744992,-0.575901,clean
0.6239,-0.572377,-0.442192,0.106184,-0.627206,-0.082614,clean
-3.086778,-1.343676,0.096404,1.436642,-0.571513,0.816199,clean
-3.351914,-0.594676,-0.048486,1.114454,-0.463026,0.727002,clean
-1.231015,-0.62977,-1.453407,1.3043,-0.549955,0.625668,clean
-1.06504,0.41115,-1.018849,0.91567,0.214498,-0.379031,clean
-1.028792,0.343343,-1.065272,0.982476,0.181187,-0.364822,clean
-0.405176,0.188168,-1.318038,0.445914,0.299469,-0.290335,clean
2.400312,1.234934,-1.011904,-1.331337,-0.417465,-0.048267,clean
3.47001,0.140846,-1.569242,-0.362364,-0.383996,0.251185,clean
-2.1742,1.356182,-0.385774,-1.359411,-0.322118,-0.552034,clean
-3.423518,0.18453,-0.4207,1.217618,1.095418,-0.096703,clean
-3.423518,0.18453,-0.4207,1.217618,1.095418,-0.096703,clean
-3.526771,0.740319,-0.015542,0.688544,1.303777,-0.228273,clean
-3.488753,0.723226,0.005746,0.664842,1.309725,-0.187088,clean
-3.488753,0.723226,0.005746,0.664842,1.309725,-0.187088,clean
-3.488753,0.723226,0.005746,0.664842,1.309725,-0.187088,clean
-0.943323,0.755432,-2.029562,-0.942563,-0.805804,-0.749391,buggy
0.904931,-5.488963,-0.068562,0.322508,-0.746012,1.737744,clean
1.267329,0.579053,-1.135325,-2.863172,0.683241,1.354219,clean
-1.297757,1.847807,-0.741753,-1.794845,-0.355945,-0.815487,buggy
0.104804,0.381202,-1.107747,-0.108762,-0.982575,-0.019615,buggy
0.984189,-2.39353,-0.344874,1.300962,-0.205613,0.61674,clean
-1.91291,-1.983248,-1.06152,2.107217,0.714362,0.237386,clean
-3.250139,-2.419849,1.320968,1.376669,-0.535651,0.958084,clean
-0.118505,-0.08511,-0.476461,-0.417586,-0.895174,-0.176296,buggy
5.182637,-8.944565,3.366615,-2.988355,0.562891,-5.739509,clean
-2.024619,-0.21448,-1.049948,1.058796,-0.462647,0.327552,clean
-0.582919,-1.961908,-0.752,-0.470694,-0.919395,-1.304395,clean
1.926159,-3.957325,1.926892,0.23639,0.270089,-2.337116,clean
-2.397829,1.75657,-0.107333,-2.052382,1.01735,-1.368314,clean
-4.476195,0.691959,2.095452,0.097922,0.147364,0.848858,clean
3.869874,-3.114516,-0.979731,-1.734021,0.562692,1.483046,clean
6.945857,-0.484449,-0.727724,-1.049575,-0.822495,0.987565,clean
6.789589,-0.821473,-1.828876,0.548438,0.320304,0.874756,clean
-1.455703,-4.464087,1.199115,0.667803,-0.476474,-0.215034,clean
11.680976,-1.722882,-0.172192,-1.578646,2.233849,2.62387,clean
-3.147439,-1.96281,1.28895,0.758083,-0.407,0.703797,clean
3.509802,-0.968068,-1.41235,-0.890633,-0.881786,0.130504,clean
4.725793,-2.229039,-2.023732,-1.42866,1.946084,1.668334,clean
5.555931,-2.132737,-1.825229,-1.6783,2.043748,1.599804,clean
-2.095155,-3.233909,0.595844,1.167467,-0.65535,0.7494,clean
-1.843107,-1.139259,-0.414523,0.763695,-0.422874,0.371006,clean
-3.107666,0.341951,-1.061957,1.73965,2.48967,-0.552007,clean
-3.423518,0.18453,-0.4207,1.217618,1.095418,-0.096703,clean
1.272767,-1.555238,-0.541934,0.195589,-0.711552,0.038644,clean
2.223835,-3.468394,1.286874,0.935235,0.116625,0.293827,clean
-2.873533,-3.465328,1.581912,2.110857,-0.718393,0.874062,clean
-2.655502,-3.829653,2.48721,1.045724,-0.472638,1.041236,clean
7.997022,-4.375928,0.468217,-4.61203,1.650868,1.113764,clean
-0.934215,-1.820332,-0.175177,-0.744173,-0.532384,-1.295361,clean
2.209897,1.554764,-0.633346,-0.423351,-1.190574,-0.095587,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
0.837239,0.699241,-0.588676,0.22341,-1.278893,-0.234269,clean
8.259225,0.671151,0.73694,1.31105,0.442065,-0.496722,clean
2.630376,2.024728,-0.280899,-0.735184,-1.256837,-0.171623,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
0.837239,0.699241,-0.588676,0.22341,-1.278893,-0.234269,clean
8.778876,0.898294,0.822846,1.290798,0.443631,-0.457414,buggy
-3.677445,0.656906,1.006161,-0.586573,0.052405,0.451733,clean
-3.942311,0.607874,0.871036,0.146175,-0.043135,0.33594,clean
-3.942311,0.607874,0.871036,0.146175,-0.043135,0.33594,clean
8.735773,0.894625,0.813921,1.283816,0.434601,-0.476639,clean
4.374667,1.914487,-0.315855,-0.357046,-1.413527,0.210512,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
0.837239,0.699241,-0.588676,0.22341,-1.278893,-0.234269,clean
18.568042,3.631072,4.111628,2.915096,0.331553,0.239239,buggy
1.747263,1.086178,-0.937711,-0.190919,-1.128515,-0.008925,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
0.837239,0.699241,-0.588676,0.22341,-1.278893,-0.234269,clean
2.906018,0.462517,-0.727404,0.565699,0.415339,-0.693016,clean
3.123747,2.461288,-0.000372,-0.925504,-1.324897,-0.240426,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
0.837239,0.699241,-0.588676,0.22341,-1.278893,-0.234269,clean
2.906018,0.462517,-0.727404,0.565699,0.415339,-0.693016,clean
3.089779,1.555519,-0.614626,-0.277443,-1.245926,0.085737,clean
-3.942311,0.607874,0.871036,0.146175,-0.043135,0.33594,clean
-3.487277,0.022601,-0.069945,0.69238,-0.306045,0.293769,clean
18.568042,3.631072,4.111628,2.915096,0.331553,0.239239,clean
3.531808,2.865992,0.295309,-1.167192,-1.419689,-0.313948,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
0.837239,0.699241,-0.588676,0.22341,-1.278893,-0.234269,clean
2.906018,0.462517,-0.727404,0.565699,0.415339,-0.693016,clean
0.107316,1.893032,-2.025265,-0.170522,2.368855,-1.339002,clean
-3.212867,1.041386,-0.777324,1.6767,4.128035,-0.943518,clean
1.522092,2.26402,-1.945216,0.482163,2.441104,-1.145835,clean
-2.198108,0.550375,-1.103161,0.59132,0.616973,-0.601044,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
-3.39931,2.029979,0.704894,-1.567853,-0.044492,-0.667966,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
-4.665598,1.875154,2.96184,-1.025496,0.580785,0.566394,clean
1.747263,1.086178,-0.937711,-0.190919,-1.128515,-0.008925,clean
-3.044354,2.123962,0.685804,-1.5435,-0.140668,-0.696163,clean
-2.598673,0.604236,0.162931,-0.376233,-0.550218,-0.346442,clean
1.022971,0.586916,-0.647307,0.244037,-1.306206,-0.141581,clean
6.876664,0.951896,0.084797,-0.438333,0.511628,-1.526163,buggy
