@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute numberOfNonTrivialBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute WCHU_fanIn numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute WCHU_numberOfMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute WCHU_wmc numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfMethods numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_cbo numeric
@attribute WCHU_rfc numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_cbo numeric
@attribute CvsLinEntropy numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute numberOfBugsFoundUntil: numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute LDHH_cbo numeric
@attribute WCHU_numberOfLinesOfCode numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0,0,2,0,0,0.001672,0,0,0,3.1496,0,0,0,0,0,0,5,0,0,0.101419,0,0,0,4,20,1,2,2,1,0,1.01,1,0,10,0,0,0.001481,2.02,0,5,1.01,0,0,0,0,0,0.00166,2.02,0.014346,1.03,2,0.003567,0.002071,0.00154,3,2,0.003986,1.01,0.039834,0,clean
0,0.002821,0.014049,1,0,1.01,0.043605,0.002945,8.16,0.0007,19.1174,0,0,2.02,0,9,0,6,0,1.01,0.481436,6.06,0,2.02,1,25,0,7,1,17,0.011634,0,21,0,14,0.002996,0.000752,0.010829,2.02,2.11,18,4.1,2,0,2,0,2.02,0,9.18,0.038785,0,3,0.002884,0,0.005125,0,4,0.01624,5.39,0.046112,0.003152,clean
18,0.002694,0,5,0,1.04,0.24729,0.001089,0,0.000273,11.5775,0,2.07,2.08,0,0,0,92,0.002564,1.04,0.326755,0,0.001986,4.49,29,482,2,29,5,2,0,0,406,1.01,200,0.005764,0.000547,0.012517,2.11,3.96,30,5.09,15,0,15,0,1.01,0,2.1,0.034437,4.35,7,0.002189,0.009652,0.005462,75,7,0.002366,7.32,0.054811,0.002885,clean
0,0.008192,0,2,0,0,0.039517,0,0,0,16.1857,0,0,1.01,0,0,0,5,0,0,0.429977,0,0,3.06,5,41,0,5,1,1,0,0,10,0,19,0.010072,0,0.015601,2.02,1.04,6,4.1,4,0,4,0,0,0,2.02,0.044419,0,2,0.001874,0,0.01021,0,1,0.002066,4.3,0.101605,0.00887,clean
6,0.007336,0.006355,8,0,3.03,0.106021,0.002406,4.04,0.001406,19.2704,0,1.02,5.07,0,2,0,65,0.000711,2.02,0.561836,1.01,0,7.29,13,250,0,23,1,4,0.002064,0,253,0,140,0.014381,0.007673,0.0203,3.05,6.33,17,8.59,5,0,3,1,3.03,0,6.07,0.068253,1.05,9,0.004771,0.001646,0.01582,30,10,0.010728,10.14,0.162104,0.007859,clean
4,0,0,2,0,0,0.093037,0,0,0,8.24327,0,0,0,0,2,0,13,0,0,0.228435,0,0,0,3,152,0,12,1,1,0,0,66,0,47,0,0,0.000947,1.01,0,4,1.01,6,0,5,0,0,0,1.01,0.023735,1.01,2,0.000547,0.001646,0.000911,6,5,0.001303,1.01,0.043708,0,buggy
0,0,0,0,0,0,0.00582,0,0,0,1.56044,0,0,0,0,0,0,8,0,0,0.052586,0,0,0,2,29,13,8,5,1,0,0,28,0,14,0,0,0.003115,0,0,3,0,1,0,0,0,0,0,0,0.008031,2.04,2,0,0.005123,0,80,7,0,1.04,0.024708,0,clean
2,0.002948,0.007774,8,0,2.03,0.08726,0.001708,3.06,0.001228,15.0607,0,1.01,3.09,0,5,0,70,0.001809,2.04,0.40016,0,0,6.28,12,313,0,35,3,10,0,0,595,0,117,0.007078,0.001726,0.010756,3.03,5.7,22,6.42,15,0,13,0,1.04,0,5.09,0.036932,1.02,12,0.004691,0.002598,0.007099,14,16,0.01061,7.16,0.051975,0.003359,clean
2,0.003717,0.008619,10,0,0,0.146628,0.00333,4.06,0,23.0493,0,4.05,4.1,0,0,0,74,0.004075,0,0.637645,0,0,11.42,15,241,0,8,1,12,0,0,28,0,142,0.021447,0,0.027221,6.1,4.79,26,13.09,0,0,0,1,4.07,0,9.15,0.06736,1.01,10,0.009715,0.001646,0.023218,6,6,0.015433,14.78,0.13037,0.003818,buggy
0,0,0,0,0,0,0.00005,0,0,0,1.76682,0,0,0,0,0,0,4,0,0,0.061715,0,0,0,1,12,5,4,3,1,0,0,6,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.010097,0,1,0,0,0,14,3,0,0,0.033928,0,clean
8,0.013786,0,13,0,7.07,0.16008,0.002267,0,0.01013,32.4055,0,8.15,11.18,0,0,0,47,0.011482,7.07,0.877723,0,0.004845,16.67,16,166,1,17,4,1,0,0,136,2.02,91,0.029262,0.009112,0.023277,11.14,13.5,17,16.33,4,0,4,2,3.03,0,11.14,0.090603,6.1,20,0.018977,0.008387,0.026246,39,5,0.025295,19.44,0.152441,0.015431,clean
2,0.008192,0.000731,6,0,0,0.039654,0,1.01,0,11.8849,0,0,1.01,0,0,0,12,0,0,0.327927,0,0,1.01,2,82,0,11,1,0,0,0,55,0,27,0.008289,0,0.008872,0,1.1,2,2.03,8,0,8,1,0,0,1.01,0.038,0,6,0,0,0.008426,0,5,0.000697,1.04,0.100611,0.00887,clean
0,0,0.008959,0,0,0,0.004124,0,5.07,0,6.41569,0,0,0,0,0,0,3,0,0,0.169334,0,0,0,1,8,0,2,1,11,0,0,1,0,6,0,0,0.004997,0,0,12,0,0,0,0,0,0,0,5.07,0.016324,1.01,0,0,0.001646,0,6,2,0.009409,1.08,0.034357,0,clean
0,0,0,0,0,0,0.004118,0,0,0,6.41569,0,0,0,0,0,0,14,0,0,0.169334,0,0,0,6,40,0,10,1,0,0,0,45,0,20,0,0,0.004997,0,0,6,0,3,0,3,0,0,0,0,0.016324,1.01,0,0,0.001646,0,6,10,0,1.01,0.034357,0,clean
0,0,0.00188,3,0,0,0.002763,0,2.02,0,9.16954,0,0,0,0,0,0,2,0,0,0.250493,0,0.00164,0,2,8,4,3,8,3,0,0,3,2.02,6,0,0,0,0,0,5,0,1,0,1,0,0,0,2.02,0.025501,8.13,3,0,0.008624,0,160,3,0.001853,0,0.049098,0,clean
3,0.004994,0.00243,7,0,1.01,0.038878,0.002932,1.01,0.001922,17.2555,0,1.03,3.09,0,0,0,32,0.00236,1.01,0.44291,0,0,5.22,26,153,1,21,3,1,0,0,210,0,92,0.006522,0.001995,0.012451,1.12,4.48,27,5.58,1,0,1,2,2.02,0,1.13,0.038099,12.22,8,0.002203,0.0179,0.006999,72,5,0.002537,8.24,0.054363,0.005409,buggy
1,0,0,0,0,0,0.011331,0,0,0,7.26436,0,0,0,0,0,0,11,0,0,0.19472,0,0,1.01,1,42,0,6,2,1,0,0,15,0,17,0.000724,0,0,1.01,0,2,0,2,0,1,0,0,0,1.01,0.019169,3.05,0,0.000989,0.003028,0,18,5,0.001022,0,0.037348,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,27,4,4,3,1,0,0,6,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,2,0,0,0,0,clean
3,0.001137,0.001994,2,0,0,0.03079,0.00117,2.02,0,6.84217,0,0,1.02,0,4,0,23,0,0,0.186014,5.08,0,1.02,2,59,0,11,1,2,0.003887,0,55,0,27,0.001157,0,0.001142,0,1.19,4,1.02,5,0,5,0,1.01,0,2.02,0.018667,1.01,4,0,0.001646,0.001164,6,2,0.002213,1.06,0.035558,0.001227,clean
3,0,0,2,0,0,0.024371,0,0,0,7.61847,0,0,0,0,0,0,19,0,0,0.211703,0,0,0,4,92,0,3,1,0,0,0,3,0,33,0,0,0.004532,1.02,0,4,1.02,0,0,0,0,0,0,1.02,0.022008,1.01,2,0.002006,0.001646,0.001627,6,0,0.001619,1.01,0.039724,0,clean
0,0,0,4,0,0,0.023639,0,0,0,5.85726,0,0,0,1,0,0,5,0,0,0.184515,0,0,0,4,18,6,2,2,1,0,0,1,0,9,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0.024722,0,4,0,0,0,11,2,0,0,0.061849,0,clean
17,0.001189,0.001632,11,0,3.12,0.185011,0.000549,2.09,0.001283,18.208,0,2.05,2.04,0,0,0,172,0.001419,2.02,0.458825,0,0.001986,5.22,28,724,0,33,3,2,0,0,528,1.01,352,0.004482,0.002087,0.011039,3.03,3.38,29,6.65,8,0,4,1,1.04,0,4.11,0.037296,3.04,13,0.003533,0.005131,0.005155,22,6,0.004117,10.25,0.04733,0.00137,clean
0,0,0,1,0,0,0.000531,0,0,0,3.18664,0,0,0,0,0,0,2,0,0,0.095785,0,0,0,1,6,0,2,1,1,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.012297,0,1,0,0,0,0,1,0,0,0.034176,0,clean
4,0,0,0,0,0,0.01178,0,0,0,8.62288,0,0,0,0,0,0,24,0,0,0.226977,0,0,0,7,88,0,10,2,1,0,0,45,0,43,0,0,0.005439,5.05,0,8,1.01,2,0,1,0,0,0,5.05,0.021197,3.05,0,0.007272,0.003028,0.000607,18,5,0.007824,2.05,0.037588,0,clean
4,0.001331,0.001037,8,0,0,0.043682,0,1.01,0,18.2366,0,2.04,2.04,0,0,0,47,0.001485,0,0.508446,0,0,13.39,30,118,0,6,1,1,0,0,15,0,69,0.020806,0,0.023586,13.39,2.14,31,15.74,1,0,1,0,0,0,13.4,0.054174,1.01,19,0.021739,0.001646,0.023908,6,2,0.025296,15.21,0.109583,0.001523,clean
0,0,0.007634,1,0,0,0.004795,0,6.1,0,7.47927,0,0,0,0,1,0,6,0,0,0.194515,1.01,0.001237,0,1,32,1,6,4,12,0.000201,0,15,1.01,10,0,0,0.004997,0,0,13,0,0,0,0,0,0,0,6.1,0.017889,3.03,1,0,0.006642,0,31,2,0.007837,1.01,0.034528,0,clean
7,0.001927,0.001897,2,0,0,0.021139,0.001764,2.02,0,9.94289,0,1.01,3.03,0,0,0,38,0.0006,0,0.2527,0,0,3.04,13,132,0,17,1,3,0,0,136,0,69,0.002248,0,0.006519,4.05,3.45,16,4.1,4,0,4,0,3.04,0,6.07,0.02132,1.01,2,0.003179,0.001646,0.003131,6,10,0.005761,4.15,0.032576,0.002081,buggy
0,0,0.000833,0,0,0,0.003501,0,1.01,0,3.30831,0,0,0,0,0,0,3,0,0,0.096281,0,0,0,1,9,4,3,5,3,0,0,3,0,6,0,0,0,0,0,4,0,1,0,1,0,0,0,1.01,0.011635,3.07,0,0,0.004833,0,64,3,0.000766,0,0.031038,0,clean
0,0.001781,0,3,0,0,0.024412,0,0,0,5.7361,0,0,1.01,0,0,0,16,0,0,0.186302,0,0,1.04,5,69,1,6,4,1,0,0,15,0,23,0.002274,0,0.002171,1.01,1.05,6,1.04,2,0,2,0,0,0,1.01,0.028105,1.01,3,0.002679,0.001646,0.002123,34,2,0.002659,1.23,0.089645,0.00192,clean
6,0.001157,0,2,0,3.03,0.031842,0,0,0.001283,15.1891,0,0,1.01,0,0,0,16,0,2.02,0.383475,0,0,1.01,14,102,0,10,2,3,0,0,45,0,58,0.001313,0.002087,0.007926,4.05,1.09,17,4.12,6,0,5,0,0,0,4.05,0.031518,8.18,3,0.00441,0.012269,0.003861,28,2,0.003988,4.24,0.042994,0.001394,clean
1,0.00081,0,2,0,1.01,0.019338,0.0009,0,0.000997,3.88096,0,1.01,1.02,0,0,0,11,0.001086,1.01,0.115222,0,0,2.04,3,46,0,5,1,1,0,0,10,0,16,0.002038,0.001042,0.007113,1.02,1.07,4,2.07,2,0,2,0,1.01,0,1.02,0.014164,0,3,0.00133,0,0.00207,0,4,0.001471,3.27,0.035222,0.000893,clean
1,0.003472,0.005081,1,0,1.01,0.056409,0.004368,4.08,0.000775,11.9472,0,1.01,2.04,0,0,0,37,0.000747,1.01,0.324418,0,0.000311,4.19,10,156,7,20,2,11,0,0,190,1.01,82,0.005607,0.000565,0.010079,1.04,2.7,21,4.33,6,0,6,0,3.05,0,5.12,0.03188,1.01,3,0.001011,0.001646,0.00563,23,19,0.006409,5.96,0.052581,0.00381,clean
0,0.008192,0.003122,3,0,0,0.177304,0,1.01,0,8.96501,0,0,1.01,0,0,0,11,0,0,0.329377,0,0,2.02,10,82,0,7,1,3,0,0,21,0,28,0.010563,0,0.015854,2.02,1.06,12,3.05,4,0,4,0,0,0,2.02,0.060323,0,5,0.005018,0,0.012218,0,2,0.005559,4.1,0.209759,0.00887,clean
11,0,0,3,0,1.01,0.010164,0,0,0,5.20137,0,0,0,0,0,1,35,0,0,0.18445,0,0,2.06,11,152,0,15,1,1,0,0,105,0,65,0.008756,0.001097,0.013188,2.02,0,12,2.09,5,0,0,1,0,0,2.02,0.031932,0,4,0.008204,0,0.008384,0,3,0.00931,3.1,0.106445,0,clean
1,0.001698,0.00135,0,0,1.01,0,0.000777,1.02,0.002713,0,0,2.02,3.03,0,1,0,21,0.001319,1.01,0,0,0.002952,5.16,9,71,1,7,4,4,0,0,21,2.02,53,0.004215,0.001748,0.009217,2.06,3.21,12,6.44,2,0,2,0,1.01,0,3.07,0,5.08,0,0.001872,0.006404,0.004942,64,6,0.003455,7.58,0,0.002157,clean
0,0,0,1,0,0,0.000727,0,0,0,2.91017,0,0,0,0,0,0,6,0,0,0.089251,0,0,0,2,19,5,4,3,1,0,0,6,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.011895,1.01,1,0,0.001646,0,14,3,0,0,0.034148,0,clean
23,0,0,1,0,0,0.007707,0,0,0,1.76682,0,0,0,0,0,0,85,0,0,0.061715,0,0,0,12,425,14,36,1,3,0,0,630,0,153,0,0,0.004997,0,0,15,0,9,0,9,0,0,0,0,0.010097,0,1,0,0,0,0,13,0,1.4,0.033928,0,clean
1,0.002423,0.001867,6,0,1.02,0.050549,0.002033,1.01,0.0005,16.7735,0,1.01,2.03,0,0,0,46,0.000451,1.02,0.432571,0,0,6.24,10,152,10,19,3,5,0,0,171,0,87,0.006197,0.000492,0.010699,6.07,2.52,15,7.6,4,0,4,2,1.02,0,6.08,0.037274,4.06,6,0.005841,0.005595,0.007299,76,17,0.006373,8.17,0.048973,0.002659,clean
1,0,0,1,0,0,0.001222,0,0,0,1.76682,0,0,0,1,0,0,33,0,0,0.061715,0,0,0,2,84,0,9,1,3,0,0,36,0,36,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0.010097,0,1,0,0,0,6,4,0,0,0.033928,0,clean
0,0,0,3,0,0,0.021183,0,0,0,4.41258,0,0,0,0,0,0,18,0,0,0.138856,0,0.00374,0,10,59,0,13,4,2,0,0,78,1.01,34,0,0,0.004532,0,0,12,1.02,0,0,0,0,0,0,0,0.018583,2.02,7,0,0.006116,0.003553,70,8,0,1.02,0.046384,0,clean
0,0,0,1,0,0,0.001821,0,0,0,1.76682,0,0,0,0,0,0,11,0,0,0.061715,0,0,0,7,50,5,4,3,0,0,0,6,0,30,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0.010097,0,2,0,0,0,14,3,0,0,0.033928,0,clean
0,0,0,3,0,1.01,0.059526,0,0,0,8.16318,0,0,0,0,0,1,10,0,0,0.212081,0,0,3.07,7,35,0,3,1,3,0,0,3,0,17,0.003435,0.000904,0.001404,3.03,0,10,4.07,0,0,0,1,0,0,3.03,0.019643,0,3,0.003279,0,0.004094,0,3,0.003532,2.18,0.038618,0,clean
2,0.000725,0,3,0,0,0.00983,0,0,0,10.1254,0,0,1.01,0,0,0,15,0,0,0.260074,0,0,2.02,12,93,3,10,4,1,0,0,45,0,42,0.001818,0,0.006668,3.03,1.09,13,2.02,1,0,0,0,0,0,3.03,0.022639,9.11,3,0.004675,0.01083,0.001889,51,2,0.00502,3.07,0.036103,0.000779,buggy
