@relation PC3

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute class {buggy,clean}

@data
1,13,5,0,0,22,7,0.37,10,2.2,4,0.57,28,7,1,19,1,25.13,19,9073.67,0.16,91,0.05,504.09,477.56,1,6,11,23,0.33,38,53,19,19,21,0,19,clean
13,11,1,4,8,20,6,0.2,10,2,2,0.33,23,1,0,26,1,56.04,22.34,27977.56,0.42,228,0.04,1554.31,1252.14,0.17,5,10,19,0.12,110,118,32,13,52,31.58,30,clean
1,3,0,0,0,4,2,0.25,2,2,1,0.5,6,1,0,8,1,12.48,8.33,866.67,0.03,26,0.12,48.15,104,0.5,1,2,6,0.2,10,16,6,10,10,0,8,clean
0,5,2,0,0,8,3,0.75,4,2,3,1,10,3,1,4,0,12.61,6.75,574.49,0.03,23,0.15,31.92,85.11,1,2,4,9,0.6,6,17,4,9,5,0,4,clean
5,3,2,1,6,4,2,0.22,2,2,2,1,8,1,0,8,0,19.72,4,315.48,0.03,22,0.25,17.53,78.87,0.5,1,2,8,0.1,8,14,6,6,21,46.67,9,clean
1,5,1,0,0,8,3,0.38,4,2,2,0.67,10,3,1,8,1,10.76,14.86,2375.83,0.05,37,0.07,131.99,159.91,1,2,4,9,0.3,16,21,7,13,10,0,8,clean
24,21,7,8,19,40,11,0.18,20,2,8,0.73,45,1,0,52,0,100.29,13.93,19463.42,0.47,225,0.07,1081.3,1397.13,0.09,10,20,36,0.11,101,124,58,16,104,34.18,60,clean
36,25,8,12,24,44,13,0.23,20,2.2,8,0.62,50,6,0.42,44,3,75.71,19.73,29480.66,0.5,237,0.05,1637.81,1494,0.46,12,22,39,0.11,109,128,58,21,117,45,56,buggy
1,3,1,0,0,4,2,0.25,2,2,1,0.5,7,1,0,8,2,13.56,5.33,385.81,0.02,19,0.19,21.43,72.34,0.5,1,2,7,0.2,8,11,6,8,10,0,8,clean
1,7,0,0,0,12,4,0.29,6,2,1,0.25,14,3,0.67,14,1,15.86,13.3,2805.08,0.07,46,0.08,155.84,210.91,0.75,3,6,12,0.25,19,27,10,14,16,0,14,clean
3,19,12,0,0,34,10,0.22,16,2.13,8,0.8,62,3,0.22,45,2,48.13,38.75,72273.89,0.62,291,0.03,4015.22,1865.13,0.3,9,17,54,0.2,135,156,54,31,49,0,45,clean
5,11,0,4,2,18,6,0.24,8,2.25,1,0.17,20,3,0.4,21,3,35.4,12.07,5158.69,0.14,84,0.08,286.59,427.35,0.5,5,9,16,0.18,39,45,21,13,33,22.22,25,clean
0,5,3,0,0,6,3,0.5,2,3,2,0.67,9,3,1,6,0,19.25,6.5,813.14,0.04,30,0.15,45.17,125.1,1,2,3,8,0.43,13,17,9,9,7,0,6,clean
10,11,1,0,0,16,6,0.67,6,2.67,4,0.67,17,3,0.4,9,0,33.68,10.74,3883.05,0.12,73,0.09,215.72,361.66,0.5,5,8,13,0.3,34,39,19,12,20,0,9,buggy
10,3,1,0,15,4,2,0.33,2,2,1,0.5,6,1,0,6,1,22.54,6.14,848.67,0.05,32,0.16,47.15,138.3,0.5,1,2,6,0.06,15,17,11,9,32,71.43,6,clean
15,5,4,1,25,8,3,0.2,4,2,3,1,11,1,0,14,1,49.71,9.92,4895.11,0.16,94,0.1,271.95,493.31,0.33,2,4,10,0.05,43,51,26,12,56,65,15,clean
1,19,10,0,0,16,13,0.3,8,2,9,0.69,51,3,0.17,43,1,47.44,23.4,25974,0.37,185,0.04,1443,1110,0.23,4,8,40,0.29,78,107,40,24,45,0,43,clean
30,21,7,7,27,40,11,0.21,20,2,5,0.45,49,7,0.6,46,3,58.55,21.92,28134.83,0.43,222,0.05,1563.05,1283.46,0.64,10,20,40,0.1,98,124,38,17,111,42.5,53,buggy
1,7,1,0,0,12,4,0.25,6,2,1,0.25,15,1,0,16,1,13.27,21,5851.26,0.09,60,0.05,325.07,278.63,0.25,3,6,13,0.22,28,32,10,15,18,0,16,clean
1,3,1,0,0,4,2,0.18,2,2,2,1,8,1,0,11,1,22.15,6.4,907.38,0.05,34,0.16,50.41,141.78,0.5,1,2,8,0.15,16,18,10,8,13,0,11,clean
2,15,4,3,0,20,9,0.43,10,2,7,0.78,33,4,0.38,18,2,19.75,23.8,11186,0.16,94,0.04,621.44,470,0.44,5,10,26,0.2,42,52,15,17,44,14.29,21,clean
25,3,1,0,10,4,2,0.1,2,2,1,0.5,8,1,0,21,0,46.11,14.5,9695.39,0.22,124,0.07,538.63,668.65,0.5,1,2,8,0.04,58,66,28,14,57,32.25,21,clean
9,13,0,1,0,24,7,0.21,12,2,1,0.14,30,1,0,33,0,48.23,21,21270.06,0.34,176,0.05,1181.67,1012.86,0.14,6,12,25,0.16,84,92,36,18,44,2.94,34,clean
7,25,10,0,0,44,13,0.38,22,2,9,0.69,51,6,0.42,34,1,68.44,31.61,68400.43,0.72,353,0.03,3800.02,2163.64,0.46,11,22,40,0.31,107,246,44,26,42,0,34,clean
2,143,8,0,0,186,72,1.24,88,2.11,71,0.99,221,70,0.97,58,0,89.69,33.23,99019.72,0.99,483,0.03,5501.1,2980.07,0.97,49,93,151,1.18,215,268,55,17,61,0,58,clean
3,26,4,4,1,32,14,0.33,10,3.2,5,0.36,43,9,0.62,38,1,39.75,37.71,56535.7,0.5,257,0.03,3140.87,1499.05,0.64,11,16,31,0.3,120,137,35,22,47,11.63,42,buggy
6,5,2,5,15,8,3,0.14,4,2,1,0.33,19,1,0,16,2,50.16,27.35,37530.39,0.46,247,0.04,2085.02,1371.98,0.33,2,4,18,0.07,106,141,31,16,43,55.56,21,clean
14,3,3,2,9,4,2,0.18,2,2,2,1,9,1,0,9,1,32.85,9.12,2731.26,0.1,63,0.11,151.74,299.56,0.5,1,2,9,0.06,31,32,17,10,35,55,11,clean
2,9,1,0,0,14,5,0.63,6,2.33,4,0.8,18,4,0.75,8,1,7.35,21.12,3281.21,0.05,38,0.05,182.29,155.32,0.8,4,7,15,0.45,13,25,4,13,11,0,8,clean
