@relation 'Apache2.0_golden-weka.filters.unsupervised.attribute.Remove-R1-2,63-weka.filters.unsupervised.attribute.Remove-R12,15,18-20,23-24,28,35-38,46-47,51,53-54-weka.filters.unsupervised.attribute.Remove-R31-33-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute '0.24 SumCyclomatic...' numeric
@attribute -0.325AvgCyclomatic... numeric
@attribute 0.714RatioCommentToCode... numeric
@attribute 0.863AvgLine... numeric
@attribute -0.728CountSemicolon... numeric
@attribute class {buggy,clean}

@data
4.926007,-0.058153,-0.424895,-0.308742,0.120279,buggy
-3.583378,0.967825,-0.59253,-0.172085,0.646938,clean
5.473659,2.482845,-6.445057,-6.384607,-9.366342,buggy
1.345794,0.883512,-0.104793,-0.081214,0.258662,clean
-3.027733,0.2964,0.376257,-0.045753,-0.119858,clean
-3.978237,0.642027,6.405325,0.730001,-5.182141,clean
-3.783095,0.574608,3.071139,0.287489,-2.459766,clean
-2.741907,0.385288,-0.553837,-0.220205,0.478677,clean
-2.253966,0.370396,0.293357,-0.058801,0.005615,clean
-2.242119,0.68905,-0.426257,-0.178561,0.411506,clean
-1.359343,-0.955595,0.23155,-0.063643,0.09524,buggy
-0.054218,-0.850096,0.031835,-0.134121,0.256417,buggy
-2.301178,-1.217597,1.777465,0.132242,-0.784627,clean
-3.454408,1.058557,-0.573731,-0.161769,0.661638,buggy
-0.846196,-2.48001,-0.857829,-0.400331,0.205271,clean
4.666972,2.805535,-0.211481,0.043204,0.429594,buggy
-2.094685,-0.997362,0.888639,0.083257,-0.238952,buggy
12.403356,7.813965,-0.311344,0.202733,0.541333,buggy
-0.787559,1.453335,-0.092222,-0.050921,0.374094,buggy
0.103727,-5.038203,-0.933848,-0.78637,0.065891,clean
-3.690401,0.892534,-0.608129,-0.180646,0.634739,clean
-3.696229,0.888167,-0.608905,-0.18086,0.634103,clean
-3.403086,0.513026,-0.074984,-0.13084,0.124268,buggy
-3.211428,0.356918,-0.276815,-0.174753,0.25954,clean
-1.801339,0.063042,-0.424434,-0.185752,0.295883,clean
-1.081202,-3.230164,0.258519,-0.240493,0.041363,clean
-2.935227,0.435462,1.69076,0.116073,-1.25719,clean
-0.498667,-0.102682,-0.628068,-0.272837,0.408886,buggy
-2.014215,0.060355,-0.587269,-0.263029,0.414719,buggy
-0.467969,-0.853567,-0.131264,-0.204611,0.209173,buggy
-1.875959,0.013498,0.085598,-0.065013,0.190169,buggy
8.528065,3.306338,0.406531,0.249608,0.15876,buggy
-0.914155,-0.373832,0.617601,0.052169,0.009994,buggy
0.237152,-3.636519,-0.923242,-0.383189,0.358847,clean
3.743492,2.64953,-0.145505,-0.061583,0.381904,clean
-3.444894,0.504452,0.537055,-0.044932,-0.354714,clean
-1.390823,-0.125019,-0.320133,-0.14094,0.359455,buggy
-2.751363,0.315898,-0.298836,-0.15669,0.328418,clean
2.155251,1.745602,-0.060387,-0.023715,0.302463,buggy
-0.094846,0.542657,-0.119477,-0.06564,0.349699,buggy
-0.921863,-1.312836,-0.505979,-0.337985,0.154681,buggy
0.224555,-2.21206,-0.372242,-0.184074,0.348335,buggy
-1.500394,-0.511707,-3.659977,6.760698,-2.188515,clean
-2.183015,-0.214651,-0.14823,-0.138272,0.170355,clean
-1.019162,0.494998,-0.527508,-0.186193,0.491658,buggy
-1.906915,-1.455087,-0.335232,-0.186258,0.214939,clean
-1.51659,-0.501601,-3.414328,6.824338,-2.297118,buggy
-2.237817,-0.073189,0.054604,-0.091913,0.082474,clean
-1.77672,-0.049292,-0.473756,-0.184842,0.352812,clean
4.421062,2.127043,-0.226245,-0.00401,0.35327,buggy
2.236856,-0.813861,-0.348603,-0.147269,0.324827,buggy
7.110024,0.766171,-0.613176,-0.248369,0.239902,buggy
-1.943311,-0.864234,-0.203308,-0.185448,0.29431,buggy
1.456636,-0.714394,0.677937,0.133125,0.140134,buggy
-2.893646,0.347829,-0.229213,-0.149774,0.325078,buggy
-2.501293,0.005466,-0.372799,-0.163002,0.366593,buggy
-1.805818,-0.060115,0.463103,-0.015014,-0.167853,buggy
1.493982,0.314238,-0.408549,-0.16294,0.395424,buggy
3.409063,1.811754,-0.485377,-0.165404,0.371918,buggy
1.266384,0.476453,0.079967,-0.059954,0.238606,buggy
14.11121,6.287388,0.888598,0.627872,0.236676,buggy
-3.199107,0.614583,-0.160763,-0.133727,0.217309,clean
1.755849,-1.586902,-0.269036,-0.099292,0.332825,buggy
-1.720131,-0.569006,-0.097013,-0.105676,0.281622,clean
0.089449,1.707147,-0.211563,-0.076334,0.385128,buggy
-2.401793,0.220152,-0.361189,-0.178879,0.370869,clean
-2.993259,0.286873,-0.184922,-0.145357,0.249227,clean
-2.686834,0.360853,-0.143958,-0.119131,0.285152,buggy
-0.554677,1.652561,2.859971,0.552557,-1.3978,clean
-1.107288,-0.066547,0.635116,0.015524,-0.191736,buggy
0.580467,0.295575,-0.558307,-0.207771,0.451893,buggy
-2.01093,0.219219,0.243398,-0.032366,0.012226,buggy
-0.688464,0.797828,-0.211498,-0.098181,0.27345,buggy
1.960394,-0.685572,0.166928,0.077391,0.177034,clean
12.717621,3.171322,-0.747401,-0.187733,-0.043147,buggy
-0.472589,-0.318266,-0.733968,-0.30866,0.418105,buggy
5.885726,-1.745568,0.363484,0.043711,0.132558,buggy
2.03006,2.954765,-0.301098,-0.06932,0.411108,buggy
-2.126274,0.48694,-0.522057,-0.213873,0.442652,clean
-2.964052,0.722826,0.058777,-0.080545,0.085124,buggy
1.316686,1.709162,-0.197788,-0.082298,0.375031,buggy
1.805235,-0.20854,-0.662441,-0.259597,0.434041,buggy
5.993148,2.573242,0.222317,0.158418,0.277633,clean
8.118598,3.181339,1.205864,0.510231,0.074094,clean
-3.693478,0.890179,-0.609573,-0.181113,0.634455,clean
2.458437,0.8566,-0.621915,-0.154486,0.447213,clean
-3.498634,0.528689,0.464922,-0.046839,-0.299901,clean
-3.456596,0.596394,0.196242,-0.084807,-0.089633,clean
-3.496863,0.523851,0.273457,-0.073281,-0.143824,clean
-3.479678,0.511707,0.221693,-0.083355,-0.106497,clean
1.689042,1.801831,-0.464308,-0.118772,0.466076,buggy
13.597113,6.363037,0.358158,0.282803,0.023135,buggy
-0.379708,-0.348497,-0.034337,-0.1161,0.126718,buggy
-1.341688,-1.165508,1.006508,0.122671,-0.35932,clean
-0.419233,-0.983751,0.68755,0.108105,0.000881,clean
-2.177678,0.031746,-3.169153,6.871432,-2.281121,buggy
2.532499,-3.677288,-0.862407,-0.505119,0.344044,buggy
-3.037892,0.47799,-0.065971,-0.129092,0.121065,buggy
-1.765565,-0.548353,1.745004,0.250668,-0.610132,clean
-1.224519,-1.099686,0.819223,0.098013,-0.19615,buggy
-1.204222,-0.052842,-0.067278,-0.073181,0.239563,buggy
0.145061,-3.527743,-0.283001,-0.210999,0.000595,clean
-0.419057,-1.165401,-0.389224,-0.263865,0.271965,buggy
-3.605818,0.952038,-0.5958,-0.17388,0.64438,clean
-3.720775,0.954328,0.494554,-0.036578,-0.270157,clean
-3.461514,1.142688,-0.335999,-0.143964,0.429855,clean
-1.073339,0.195305,-0.341891,-0.162944,0.403406,buggy
1.574105,1.1975,-0.324336,-0.169371,0.284381,clean
-3.316068,1.155881,-0.553566,-0.150703,0.677406,buggy
-0.695754,0.222479,-0.403211,-0.17276,0.358818,clean
-0.229932,-0.927373,-0.621541,-0.229508,0.455016,clean
-2.098916,-0.789541,-0.351416,-0.255813,0.382601,clean
-2.997064,0.51054,-0.41015,-0.19444,0.346994,clean
-3.677936,0.515868,2.231188,0.165505,-1.77225,clean
-3.659232,0.513399,1.955516,0.129065,-1.547411,clean
26.401516,-8.826238,2.08172,1.222596,-0.835379,clean
-1.172099,-2.979135,0.834182,0.074553,0.150512,clean
-0.153325,-0.6144,-0.579238,-0.189054,0.360452,clean
-1.557373,-0.532575,0.340706,-0.046708,-0.176654,clean
11.814427,-11.244315,-1.317427,-0.513606,-0.174977,clean
3.7806,2.856693,-0.513809,-0.19549,0.352171,buggy
-0.884509,-1.906722,-0.567113,-0.228098,0.26139,clean
-2.878357,0.19835,-0.315811,-0.188856,0.294618,buggy
-2.864268,0.190776,-0.305616,-0.190733,0.283179,buggy
1.449088,0.641616,0.103449,-0.039184,0.2235,buggy
0.97559,0.143247,0.675138,0.158165,0.088106,clean
2.689843,1.307784,0.121909,0.049465,0.22915,buggy
-2.76628,-0.291596,-0.384028,-0.191524,0.319697,clean
-3.641897,0.561387,1.415329,0.069487,-1.099875,clean
-0.068509,-2.677812,0.789525,0.130499,-0.04862,clean
8.516447,-4.502974,1.093898,0.35827,-0.025668,buggy
5.053585,-1.041587,0.766501,0.160417,0.175978,buggy
1.354844,0.875949,-0.183289,-0.097517,0.260758,buggy
4.104047,2.261658,0.261423,0.182682,0.437211,clean
5.088245,-1.133233,1.153786,0.352261,0.064008,buggy
-1.310508,-1.81187,0.546748,-0.010876,-0.119645,clean
1.679051,-7.087751,-1.225177,-1.099059,0.327647,buggy
-2.062177,0.733562,-0.411323,-0.175493,0.371127,buggy
2.086141,0.961547,-0.439722,-0.459445,-0.375024,buggy
