@relation 'openintents2703_golden-weka.filters.unsupervised.attribute.Remove-R1-2,14,17,26,33-34,39-42,47,54-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-5'

@attribute 0.236CountStmtExe... numeric
@attribute -0.364AvgLineBlank... numeric
@attribute -0.414MaxCyclomaticStrict... numeric
@attribute -0.761RatioCommentToCode... numeric
@attribute class {buggy,clean}

@data
0.735628,-3.875668,-1.861351,0.214561,clean
5.533332,3.008884,0.221167,1.269036,buggy
-1.428145,-3.082762,0.167334,-0.922901,clean
2.780674,1.190962,0.357678,0.388182,buggy
2.864766,0.437848,-0.402082,0.345402,buggy
4.590904,-3.475352,0.675235,0.426155,buggy
7.152769,4.336997,1.821863,-0.39548,buggy
0.610817,-3.527467,1.754721,0.010348,buggy
5.378573,-2.564413,-0.509009,-0.384166,buggy
3.776765,2.312383,0.833293,0.557742,buggy
-1.12263,-0.544707,0.578363,0.05413,buggy
2.180405,-0.082861,-0.306438,0.662123,clean
0.724853,-0.473303,-0.195565,0.721722,buggy
3.583556,0.028776,-2.912398,-0.64659,clean
0.22556,0.25689,-1.515596,-1.018094,clean
-3.17212,0.717423,-0.139144,0.936438,buggy
-3.793181,1.972133,0.007824,0.222444,buggy
-0.572538,-0.579438,1.001136,-0.330276,clean
-3.492645,0.941604,-0.701692,-2.197682,clean
-2.936086,-0.039324,0.189809,0.717167,clean
-3.505876,0.493893,-0.300163,0.894264,clean
1.20697,-0.491378,-0.249431,1.261838,clean
-3.302037,0.601998,-0.271515,0.916206,clean
-2.17345,0.205726,0.470519,-0.064733,clean
-2.140333,0.130097,0.678133,-0.101691,clean
-2.138208,-1.085612,0.448713,0.563652,clean
2.471693,-2.60202,-2.335549,-0.078149,clean
-4.279168,2.269482,-0.748777,-2.770084,clean
7.005697,-0.210179,0.183872,-0.740893,buggy
-4.288237,1.609784,-0.112561,0.631331,clean
-3.424896,0.459808,-0.235258,0.891456,clean
-4.300734,1.686881,-0.197767,0.19984,clean
-4.243059,1.687244,-0.144444,0.363678,clean
13.072758,1.067782,0.865248,-1.938383,buggy
-1.925824,-0.600796,0.148345,0.07881,clean
-3.357812,0.44538,-0.227741,-0.106708,clean
-2.636501,-0.229413,-0.292824,0.407783,clean
-4.235282,1.644814,-0.087383,0.637408,clean
12.812473,3.911642,-0.748075,0.661713,buggy
-1.80333,-0.169632,-0.196062,0.728014,buggy
-0.111229,0.297139,1.590289,0.004882,clean
-2.976383,0.039408,0.165942,0.407812,clean
-2.757202,0.171772,0.140324,0.522745,clean
-4.034486,1.842783,-0.091366,0.19446,clean
-3.64082,3.030173,-1.055817,-5.410545,buggy
6.255235,0.782664,1.854366,0.362025,buggy
1.488846,-1.677862,-1.292869,-0.080347,buggy
-0.771181,0.207754,0.567641,0.451264,buggy
-2.409782,0.091162,0.466065,0.606192,clean
-0.054822,-0.308235,-0.204463,0.655514,buggy
-3.024692,0.761886,-0.188851,0.941596,buggy
-1.825569,-3.11347,3.7978,-1.497437,clean
0.821902,-6.981865,1.64023,-1.088562,clean
-0.362123,1.57931,-0.421133,1.223992,clean
3.616152,-3.939318,-3.74617,0.289921,clean
-2.649949,-0.567409,1.065584,-0.649126,clean
