@relation 'zxing1.6_golden-weka.filters.unsupervised.attribute.Remove-R1-2,54-weka.filters.unsupervised.attribute.Remove-R12,15,20,24,31-32,37-40,45-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute 0.228SumCyclomatic... numeric
@attribute -0.321AvgCyclomaticStrict... numeric
@attribute -0.598RatioCommentToCode... numeric
@attribute 0.588RatioCommentToCode... numeric
@attribute -0.581AvgLineBlank... numeric
@attribute class {buggy,clean}

@data
-0.994803,-0.113927,-1.458397,1.279744,0.025683,clean
-2.674885,-0.188266,-0.303304,-0.140372,0.10516,buggy
-0.97678,1.102721,0.269705,-0.492585,-0.947518,clean
1.643594,2.333558,-0.47172,0.1479,-0.418686,clean
6.96605,3.417517,-0.333657,-3.198962,-0.66154,buggy
-1.414265,0.684318,0.318276,-0.215511,-0.035411,buggy
1.139017,-2.145977,-0.17277,-0.505883,-1.615148,clean
-0.000335,-1.92257,-0.194388,-0.860476,-1.803387,clean
-0.346052,-1.819406,-0.265428,-0.744499,-1.801843,clean
-0.349274,-0.948661,0.484323,-0.374782,0.344711,clean
-0.229398,-1.875313,-0.331213,-0.71195,-0.431275,clean
-0.356433,-0.856639,0.051866,-0.02326,-0.301128,clean
-2.148634,0.202426,-0.352114,0.266082,-0.018427,clean
-0.683967,-0.839093,0.451504,-0.328627,-0.365164,buggy
-3.20849,-0.135122,0.225839,-0.057596,0.374504,clean
-3.084786,-0.194511,0.190819,-0.204507,0.334405,clean
-2.990123,-0.048601,0.238987,-0.125518,0.356915,clean
13.456881,-13.991304,-3.111827,0.135734,0.565732,clean
-3.053389,0.048249,-0.006248,0.219484,0.226242,clean
-0.777489,0.956034,0.092775,0.174011,-0.076204,buggy
-2.84115,0.152762,0.281722,-0.028526,0.275334,clean
0.216836,-1.294519,-0.572635,0.182917,-0.39931,clean
-2.643577,0.274179,0.354423,-0.007834,0.417112,clean
-3.053389,0.048249,-0.006248,0.219484,0.226242,clean
-3.053389,0.048249,-0.006248,0.219484,0.226242,clean
3.485043,2.911064,-0.102278,1.646688,0.397112,clean
-2.358541,-0.793241,0.258472,-0.269436,0.371305,clean
0.308204,0.629426,-1.085736,0.519804,-0.155199,buggy
0.226162,0.14315,0.212445,0.532467,0.493271,buggy
-2.273246,-0.294537,-0.414959,-0.54988,-0.149426,clean
-2.939954,0.08628,0.232956,-0.075495,0.275841,clean
1.710301,0.620764,0.776774,-0.668157,0.011862,clean
-2.029448,0.51506,0.445769,0.092916,0.231095,buggy
9.939133,-0.732523,1.037856,1.567038,0.885309,buggy
-2.049674,0.676741,-0.924466,1.027257,-0.142845,clean
8.037573,-0.851815,1.505878,0.913875,0.464613,clean
16.281351,1.032983,2.383815,0.967439,0.05798,clean
12.849152,6.435267,0.54571,0.99758,-0.398591,clean
0.819372,0.900857,0.367834,0.097768,-0.062413,buggy
-2.196011,0.339731,0.427823,0.041936,0.272965,buggy
-0.998147,0.351724,0.557292,-0.478755,0.012539,clean
-2.505391,-0.102134,-0.122941,-0.391241,-0.03521,clean
3.573621,-0.963514,1.361004,-0.338242,0.4301,clean
0.406804,-0.141152,-1.288234,0.823324,-0.660532,buggy
10.06026,-5.678458,-0.374323,0.146198,-1.288325,clean
2.468325,3.306401,0.172346,1.035339,-0.091687,clean
1.388562,-0.765981,-1.711588,1.322142,0.393258,clean
-2.570056,0.28505,0.310314,-0.087138,0.186369,clean
10.724353,-1.368953,1.355624,-0.526904,-2.329951,buggy
2.934003,-1.307623,0.067097,0.728044,0.09675,buggy
22.366819,-13.540846,-1.162143,-2.762056,-1.181104,buggy
-2.81729,0.175648,0.278955,-0.028574,0.245619,clean
-1.97596,-0.511253,-0.43465,0.612287,0.200476,clean
-1.757547,0.558967,0.496758,0.144326,0.23778,clean
-2.791134,0.041214,0.234963,-0.219384,0.219621,clean
-3.20849,-0.135122,0.225839,-0.057596,0.374504,clean
-2.045122,0.316035,0.371641,-0.087888,0.380611,buggy
-3.077443,-0.190971,0.217583,-0.187956,0.305387,clean
0.233794,-2.840997,0.792482,0.759284,0.689597,clean
2.868937,2.222185,-0.048413,1.330441,0.43368,clean
-3.059233,-0.017317,0.243324,-0.024697,0.324114,clean
3.077019,0.034149,0.748803,0.206322,0.500538,buggy
2.220856,-0.74587,-0.629063,1.337528,0.961675,buggy
-1.38963,0.926541,-2.11888,1.828383,-0.619654,buggy
5.713322,1.599993,0.380984,0.666919,-0.545936,buggy
-1.125257,2.051003,-4.921886,2.551532,-1.26084,buggy
1.000085,-0.932402,-0.739382,-0.635151,0.043919,clean
5.713341,-9.781832,0.4463,-0.040577,-0.831616,clean
-2.637466,-0.23959,0.124089,-0.431354,-0.438151,clean
-1.961986,-0.73467,-0.205697,-0.992259,-2.006933,clean
-2.180127,-0.129993,0.111906,-0.313622,-0.520801,clean
2.329838,-0.346535,0.732844,0.301974,0.553746,clean
-2.781907,-0.43154,0.093149,-0.4872,-0.438976,clean
-1.366889,0.728281,0.231963,-0.26276,0.018411,buggy
-2.439858,0.452878,0.382551,0.076983,0.197889,clean
