JC,Wei,improvement
0.64,0.539,-0.101
0.752,0.668,-0.084
0.717,0.641,-0.076
0.537,0.498,-0.039
0.835,0.801,-0.034
0.701,0.669,-0.032
0.65,0.636,-0.014
0.767,0.757,-0.01
0.489,0.483,-0.006
0.694,0.691,-0.003
0.734,0.733,-0.001
0.911,0.91,-0.001
0.783,0.782,-0.001
0.818,0.817,-0.001
0.692,0.692,0
0.717,0.717,0
0.639,0.639,0
0.391,0.391,0
0.738,0.739,0.001
0.655,0.656,0.001
0.816,0.823,0.007
0.682,0.696,0.014
0.823,0.837,0.014
0.818,0.836,0.018
0.727,0.746,0.019
0.701,0.727,0.026
0.751,0.783,0.032
0.717,0.763,0.046
