Target       , HDP-JC , HDP-Scipy , N-50  , N-100 , N-150 , N-200,Improvement 
pc3          ,0.738,0.496,0.643,0.524,0.572,0.635,-0.242
xalan-2.4    ,0.751,0.59,0.561,0.708,0.66,0.666,-0.161
ant-1.3      ,0.835,0.726,0.702,0.736,0.714,0.729,-0.109
tomcat       ,0.818,0.716,0.519,0.758,0.658,0.763,-0.102
cm1          ,0.717,0.633,0.603,0.633,0.631,0.633,-0.084
pc1          ,0.752,0.671,0.669,0.683,0.671,0.671,-0.081
EQ           ,0.783,0.716,0.62,0.767,0.669,0.694,-0.067
JDT          ,0.767,0.702,0.559,0.639,0.671,0.688,-0.065
ML           ,0.692,0.635,0.515,0.636,0.657,0.615,-0.057
PDE          ,0.717,0.665,0.619,0.615,0.634,0.636,-0.052
safe         ,0.818,0.772,0.538,0.514,0.719,0.604,-0.046
arc          ,0.701,0.67,0.609,0.671,0.669,0.671,-0.031
ar1          ,0.734,0.704,0.512,0.621,0.584,0.702,-0.03
redaktor     ,0.537,0.508,0.502,0.5,0.524,0.524,-0.029
zxing        ,0.65,0.624,0.532,0.635,0.615,0.621,-0.026
skarbonka    ,0.694,0.669,0.5,0.698,0.682,0.669,-0.025
ar4          ,0.816,0.798,0.619,0.53,0.797,0.766,-0.018
mw1          ,0.727,0.71,0.5,0.553,0.587,0.704,-0.017
ar5          ,0.911,0.897,0.451,0.656,0.683,0.84,-0.014
ar6          ,0.64,0.626,0.523,0.528,0.558,0.581,-0.014
LC           ,0.655,0.647,0.56,0.65,0.54,0.653,-0.008
apache       ,0.717,0.71,0.593,0.698,0.709,0.691,-0.007
xerces-1.2   ,0.489,0.489,0.51,0.485,0.485,0.49,0
poi-1.5      ,0.701,0.712,0.577,0.657,0.645,0.686,0.011
pc4          ,0.682,0.694,0.636,0.617,0.696,0.696,0.012
camel-1.0    ,0.639,0.655,0.627,0.653,0.566,0.655,0.016
ar3          ,0.823,0.842,0.812,0.83,0.827,0.836,0.019
velocity-1.4 ,0.391,0.432,0.45,0.451,0.476,0.451,0.041
